date,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,SOOCHOW SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CHINA INDUSTRIAL SECURITIES,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,MORGAN STANLEY HONG KONG SECURITIES LTD
2024-03-01,36.76456867465118,0.0,0.0,34.620359926149504,28.615071399199323,0.0,0.0,0.0,0.0,0.0
2024-03-04,33.10015928996973,0.0,0.0,30.77204458497709,25.470180718363817,10.657615406689368,0.0,0.0,0.0,0.0
2024-03-05,21.84367938366926,31.775304203177633,0.0,20.350485775986236,16.811239237170444,7.033245124252975,0.0,0.0,0.0,2.1860462757434465
2024-03-06,21.884321107694184,31.84051715448206,0.0,20.39643979374536,16.842948939003115,7.0476795626730535,0.0,0.0,0.0,1.9880934424022243
2024-03-07,22.09827210280538,31.75274167228825,0.0,20.341604745751347,16.79651759627353,7.028251063162201,0.0,0.0,0.0,1.9826128197192898
2024-03-08,22.106274439607382,31.764240133890425,0.0,20.26122527612449,16.79285051596963,7.139433668811505,0.0,0.0,0.0,1.9359759655965652
2024-03-11,21.068592890000257,30.27130076353662,0.0,19.322208142532357,15.995611964691204,6.803875772218664,0.0,0.0,4.693426595896448,1.8449838711244522
2024-03-12,21.082902847925027,30.33007732113553,0.0,19.354405675858942,16.00805134364697,6.81708658200003,0.0,0.0,4.702539632062447,1.704936597371057
2024-03-13,21.08626797272709,30.334918423718882,0.0,19.404048968912686,16.010606451498944,6.931234545049512,0.0,0.0,4.7032902228545534,1.5296334152383304
2024-03-14,21.106153739023394,30.37693947148844,0.0,19.37498591453845,15.960859172929403,6.940835946769183,0.0,0.0,4.7098053939312665,1.53042036131986
2024-03-15,21.16122294006776,30.36804069784195,0.0,19.373304813624905,15.942867834970532,6.938802663328443,0.0,0.0,4.708425679817573,1.5073353703488386
2024-03-18,21.24869077178268,30.35793478157273,0.0,19.350884237203747,15.897628589758547,6.936493559510323,0.0,0.0,4.706858803766743,1.5015092564052281
2024-03-19,21.436648220584416,30.296232819481094,0.0,19.287642354123438,15.866645362356508,6.9223952598157865,0.0,0.0,4.697292197027178,1.4931437866115802
2024-03-20,21.461548950479916,30.33330455115415,0.0,19.301933199488218,15.81955818769737,6.93086579082655,0.0,0.0,4.703039999301993,1.449749321051802
2024-03-21,21.471160704159214,30.345009019323594,0.0,19.25748930111246,15.854934639508869,7.086554371435401,0.0,0.0,4.704854723506492,1.2799972409539722
2024-03-22,21.887083195042024,30.340568330329106,0.0,19.318528619822644,15.845962609435057,7.09616023496991,0.0,0.0,4.704166215008175,0.8075307953930888
2024-03-25,21.898445025032608,30.356318459120367,0.0,19.33920551921156,15.824905230260958,7.099843931214732,0.0,0.0,4.7066082003703205,0.7746736347894588
2024-03-26,21.89873650911867,30.356722523597647,0.0,19.33813186590269,15.825115871154994,7.099938435254498,0.0,0.0,4.706670848717643,0.7746839462538654
2024-03-27,22.17215929800656,30.201548832146536,0.0,19.244578698152324,15.713764860737585,7.2146124187846254,0.0,0.0,4.682611878271373,0.7707240139010008
