date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,DEUTSCHE BANK AG,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-04-08,447036811.0,28425097.0,25480531.0,2090237.0,4461493.0,4453217.0,1302007.0,735019.0,0.0,0.0
2024-04-09,447376164.0,28230296.0,25413330.0,2091337.0,4314763.0,4425555.0,1457479.0,798519.0,663000.0,0.0
2024-04-10,447523960.0,28461670.0,25396005.0,2090887.0,4328500.0,4341804.0,1374079.0,538272.0,0.0,0.0
2024-04-11,446874454.0,28531168.0,25393455.0,2110237.0,4293813.0,4398061.0,1735043.0,588576.0,0.0,3017800.0
2024-04-12,447151375.0,28535160.0,25438229.0,2110387.0,4308924.0,4393164.0,1588254.0,610979.0,603900.0,3033900.0
2024-04-15,447606308.0,28653111.0,25430039.0,2106089.0,4397377.0,4409496.0,1329279.0,638034.0,609095.0,0.0
2024-04-16,447582784.0,28726788.0,25721539.0,2103739.0,4423582.0,4419164.0,1487079.0,632032.0,608445.0,0.0
2024-04-17,447752771.0,28556705.0,25671859.0,2108189.0,4311544.0,4427297.0,1448733.0,621873.0,568845.0,3024200.0
2024-04-18,447494372.0,28616198.0,25642759.0,2115239.0,4319472.0,4486057.0,1613406.0,721704.0,568695.0,0.0
2024-04-19,447114903.0,28714533.0,25649009.0,2151889.0,4346290.0,4584289.0,1710756.0,646371.0,569841.0,0.0
2024-04-22,446885891.0,28755255.0,25592859.0,2154389.0,4375542.0,4512289.0,1480956.0,804767.0,569741.0,3032900.0
2024-04-23,446877663.0,28495858.0,25569609.0,2157964.0,4365506.0,4480189.0,1635682.0,813415.0,569591.0,0.0
2024-04-24,446392736.0,28710103.0,25535114.0,2189914.0,4367208.0,4171043.0,1514994.0,966035.0,569641.0,3058100.0
2024-04-25,447099396.0,28841694.0,25620714.0,2211864.0,4345693.0,4375993.0,1539170.0,885670.0,0.0,3058000.0
2024-04-26,447407250.0,29247281.0,25570304.0,2217414.0,4395697.0,4391272.0,1408690.0,679213.0,0.0,3073400.0
2024-04-29,447820568.0,29422781.0,25624504.0,2217314.0,4507638.0,4475487.0,1438333.0,676597.0,569691.0,3088800.0
2024-04-30,447783803.0,28779774.0,25674354.0,2211014.0,4580159.0,4543931.0,1860788.0,666250.0,582541.0,3082050.0
2024-05-02,447497001.0,28974413.0,25669912.0,2220659.0,4517330.0,4445843.0,1606039.0,841554.0,592981.0,3083250.0
2024-05-03,447599302.0,28706316.0,26000712.0,2233459.0,4518018.0,4602895.0,1452842.0,697804.0,593881.0,3073700.0
2024-05-06,446256300.0,28443872.0,26012662.0,2232409.0,4487190.0,4563439.0,874850.0,649005.0,594031.0,3080450.0
2024-05-07,446510809.0,28343553.0,26028712.0,2219509.0,4450116.0,4508012.0,930200.0,548715.0,0.0,0.0
2024-05-08,446663277.0,28217392.0,25936106.0,2205059.0,4481474.0,4560676.0,1045535.0,638487.0,0.0,3094050.0
2024-05-09,446846978.0,28503174.0,25923756.0,2180809.0,4608366.0,4453464.0,1016301.0,561678.0,594220.0,3080250.0
2024-05-10,447146486.0,28659544.0,25877156.0,2194909.0,4606210.0,4426520.0,1639745.0,423206.0,599910.0,3066400.0
2024-05-13,447348193.0,28638639.0,25879798.0,2110009.0,4648173.0,4374238.0,903742.0,415175.0,598360.0,3072500.0
2024-05-14,447259533.0,28859693.0,25874348.0,2167659.0,4717013.0,4335252.0,1015442.0,384796.0,598260.0,3081950.0
2024-05-16,448029370.0,28839820.0,25773023.0,2167532.0,4761209.0,4329554.0,950142.0,370458.0,674260.0,3074950.0
2024-05-17,447824714.0,28515051.0,25807073.0,2192882.0,4727571.0,4263167.0,888319.0,539733.0,674510.0,0.0
2024-05-20,448067442.0,28222030.0,25797303.0,2183932.0,5226584.0,4298310.0,941985.0,645451.0,676360.0,3041910.0
2024-05-21,448321621.0,28031675.0,25848705.0,2174782.0,5436266.0,4312872.0,1038341.0,654918.0,678410.0,0.0
2024-05-22,448486069.0,27871066.0,25818562.0,2066632.0,5440524.0,4327476.0,1001773.0,648976.0,0.0,0.0
2024-05-23,448616909.0,27876428.0,25933437.0,2074272.0,5418586.0,4295022.0,949182.0,690612.0,0.0,3040882.0
2024-05-24,447896196.0,28362198.0,25920818.0,2114622.0,4820236.0,4248067.0,922332.0,884240.0,676560.0,0.0
2024-05-27,447215927.0,28949730.0,25949118.0,2113602.0,4828929.0,4261849.0,917665.0,832139.0,676460.0,0.0
2024-05-28,447315183.0,29331939.0,25885418.0,2119412.0,4791438.0,4211874.0,884347.0,808444.0,663310.0,3040582.0
2024-05-29,447106771.0,29902700.0,25633418.0,2125542.0,4880872.0,4058421.0,886291.0,796905.0,664010.0,2992932.0
2024-05-30,447101942.0,30272126.0,25450418.0,2126172.0,4765399.0,4009094.0,877605.0,869665.0,0.0,0.0
2024-05-31,446844827.0,30447356.0,25306388.0,2152972.0,4910284.0,4011239.0,896581.0,942927.0,647223.0,0.0
2024-06-03,446905923.0,30522843.0,25120458.0,2154530.0,5044766.0,4023600.0,1050891.0,802316.0,0.0,2983182.0
