date,FUTU SECURITIES INTERNATIONAL,USMART SECURITIES LTD,TIGER FAITH SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,TIGER BROKERS (HK) GLOBAL LTD,CGS INTERNATIONAL SECURITIES HK LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.
2024-03-01,89.64354355490866,0.0,0.0,0.0,0.0,0.0,2.144071704681779,4.133239146295953,0.0,4.079145594113615
2024-03-04,82.01440524951236,0.0,0.0,8.489899626896017,0.0,0.0,1.9533489379032523,3.826055029746279,0.0,3.7162911559420824
2024-03-05,81.9656749695678,0.0,0.0,8.54021798684733,0.0,0.0,1.943604932507468,3.835708812655867,0.0,3.7147932984215313
2024-03-06,77.52087152252315,0.0,0.0,8.050271926112366,5.428762295217884,0.0,1.8321017388215874,3.6684249102211046,0.0,3.499567607103908
2024-03-07,77.53057049335025,0.0,0.0,8.047554149531608,5.426929541844597,0.0,1.8314832201870572,3.6671864477939,0.0,3.4962761472925736
2024-03-08,77.54194327327275,0.0,0.0,8.043480923630172,5.424182730880127,0.0,1.8305562248848952,3.6653303212557007,0.0,3.494506526076349
2024-03-11,77.60962071856092,0.0,0.0,8.034331223954148,5.418012561093358,0.0,1.828473912530729,3.6190301632808666,0.0,3.4905314205799747
2024-03-12,77.62187720654732,0.0,0.0,8.029933233063174,5.415046742380305,0.0,1.8274730063709583,3.6170491070798465,0.0,3.4886207045583846
2024-03-13,77.62068439703673,0.0,0.0,8.03111683380711,5.415844912572597,0.0,1.8256366793158791,3.617582254976563,0.0,3.4891349222911323
2024-03-14,77.3225319806486,0.0,0.0,8.136581658119118,5.491232613528738,0.0,1.8496109852095635,3.6650884343598964,0.0,3.534954328134079
2024-03-15,77.32446697095938,0.0,0.0,8.135887391604978,5.490764065545678,0.0,1.8494531642688823,3.664775704975709,0.0,3.5346527026453725
2024-03-18,77.30251797211044,0.0,0.0,8.143225036195805,5.484212779478807,0.0,1.8472464956519525,3.6923623725084584,0.0,3.530435344054539
