date,FIRST SHANGHAI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,HANG SENG SECURITIES LTD,SHANGHAI COMMERCIAL BANK LTD
2024-03-14,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,67.7538342594466,32.24616574055339,0.0,0.0,0.0
2024-04-08,0.0,43.35063438675947,38.38211728662293,18.2672483266176,0.0,0.0,0.0
2024-04-29,0.0,43.350550656633985,38.382236299253876,18.26721304411214,0.0,0.0,0.0
2024-05-20,0.0,39.39730881620635,34.88206709334851,16.601381588221777,0.0,0.0,9.119242502223365
2024-05-27,0.0,39.39364040151982,34.88417858187686,16.602386506499254,0.0,0.0,9.119794510104066
2024-06-12,62.66978306728797,14.705731419579838,13.0223395398093,6.197706898883481,0.0,0.0,3.40443907443941
2024-06-14,62.66128739814882,14.703737874645178,13.020574199596952,6.196866722571113,0.0,0.0,3.41753380503793
2024-06-17,59.83626164212536,14.04083355316586,12.433553744074635,5.917486760479474,0.0,4.508406822338805,3.263457477815865
2024-06-27,59.84504155838232,14.028220561274175,12.43537814883612,5.918355047313959,0.0,4.509068351539764,3.263936332653668
2024-06-28,59.829549326600514,14.024589041623386,12.43215897218323,5.916822948316743,0.0,4.5079010780246485,3.28897863325147
2024-07-18,59.8218062182042,14.022773986782003,12.430550008792975,5.9160571962432895,0.0,4.507317667868967,3.30149492210857
2024-08-08,59.827263446116696,14.021019880290323,12.428995073336829,5.9148858133611775,0.0,4.5067538482432115,3.3010819386517607
2024-08-13,59.848046623678286,14.013766171164091,12.422564990806235,5.911825774821092,0.0,4.5044223001962225,3.2993741393340734
2024-08-14,59.86880830819958,14.006519963502061,12.416141557981756,5.908768900837122,0.0,4.5020931633327965,3.2976681061466824
2024-08-19,59.86945324916566,14.006670849727659,12.415198054680578,5.908832553467446,0.0,4.502141662449385,3.297703630509273
2024-08-29,59.87464028842457,14.004860429549847,12.413593338948276,5.908068812404572,0.0,4.501559742006154,3.2972773886665703
2024-09-05,59.877220081262564,14.005463850939256,12.409819541168106,5.908323370820875,0.0,4.501753698771927,3.297419457037272
2024-10-03,59.91117280007957,14.013405495113574,12.41685639279347,5.911673620578916,0.0,4.447602468975653,3.2992892224588224
2024-10-07,56.99934729659651,13.332320655604853,11.790591616870014,5.6243522210444565,4.883013881498371,4.231438409865458,3.138935918520336
2024-10-08,57.001685260839096,13.332867512550447,11.791075236120173,5.624582917271767,4.8832141699646865,4.227510233786591,3.1390646694672384
