date,THE HONGKONG AND SHANGHAI BANKING,UOB KAY HIAN (HONG KONG) LTD,REALINK FINANCIAL TRADE LTD,BOCI SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,GET NICE SECURITIES LTD,HANG SENG BANK LTD,TAI FUNG KUENTAI SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,60.941639542805234,0.0,0.0,39.058360457194766,0.0,0.0,0.0
2024-03-08,0.0,0.0,60.920407393436435,0.0,0.0,39.079592606563565,0.0,0.0,0.0
2024-03-15,0.0,0.0,40.592614951202336,33.57983700573499,0.0,25.82754804306268,0.0,0.0,0.0
2024-03-19,0.0,0.0,40.70530481390573,33.43685818764715,0.0,25.857836998447127,0.0,0.0,0.0
2024-03-21,0.0,0.0,40.70122714750814,33.433508640120216,0.0,25.865264212371653,0.0,0.0,0.0
2024-04-03,54.8206062388975,0.0,18.38856767857345,15.105056516672136,0.0,11.685769565856916,0.0,0.0,0.0
2024-04-05,49.84209281033649,0.0,16.718616588998962,13.733296299725334,0.0,10.638932609120555,0.0,9.06706169181866,0.0
2024-04-09,49.85241028911127,0.0,16.715177570477945,13.730471361425089,0.0,10.636744181262792,0.0,9.065196597722903,0.0
2024-04-22,49.8319094469975,0.0,16.74942684719695,13.724824969928754,0.0,10.632370025393497,0.0,9.061468710483298,0.0
2024-04-24,49.81961703308563,0.0,16.749406432117418,13.721439363571891,0.0,10.65030372174771,0.0,9.059233449477352,0.0
2024-04-25,49.833958772425845,0.0,16.75422813961857,13.72538940009253,0.0,10.624582326633423,0.0,9.06184136122963,0.0
2024-04-29,37.82600552512057,24.088120990775856,12.723384994771425,10.418129887156436,0.0,8.066051723868833,0.0,6.878306878306878,0.0
2024-04-30,37.885122381167804,24.07609628254528,12.717033524172036,10.412929192081494,0.0,8.033945369171489,0.0,6.874873250861895,0.0
2024-05-02,37.920572774493436,24.07384298616419,12.715843329329735,10.41195463975417,0.0,8.00355644293313,0.0,6.874229827325337,0.0
2024-05-03,37.917453087709994,24.07384298616419,12.715843329329735,10.41195463975417,0.0,8.006676129716576,0.0,6.874229827325337,0.0
2024-05-17,37.87907136286387,24.063333177417093,12.767981040584997,10.407409139810094,0.0,8.010976503422361,0.0,6.871228775901586,0.0
2024-05-20,37.87907136286387,24.06489233983504,12.767981040584997,10.407409139810094,0.0,8.009417341004413,0.0,6.871228775901586,0.0
