date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,GOLDMAN SACHS (ASIA) SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,MERRILL LYNCH FAR EAST LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING
2025-03-03,3251071.0,29050.0,182524.0,1834389.0,454534.0,1289247.0,4141100.0,168500.0,512020.0,131264258.0
2025-03-04,3614124.0,27150.0,169952.0,1478208.0,464234.0,1286747.0,0.0,0.0,0.0,0.0
2025-03-05,5930559.0,197450.0,1158026.0,1645900.0,1212338.0,1385485.0,1724822.0,610500.0,359300.0,0.0
2025-03-06,6126006.0,226750.0,866096.0,1843768.0,1147378.0,1669800.0,1580325.0,670000.0,400500.0,0.0
2025-03-07,6230166.0,293050.0,1092653.0,1909968.0,1189678.0,1531469.0,1527931.0,679400.0,398600.0,0.0
2025-03-10,6454968.0,241250.0,1037528.0,1928536.0,1216978.0,1505926.0,1340221.0,671000.0,398100.0,0.0
2025-03-11,5937433.0,180450.0,1035536.0,1914806.0,1275723.0,1517389.0,1353340.0,686200.0,395100.0,0.0
2025-03-12,5995668.0,132650.0,1103043.0,1620722.0,1687823.0,1442466.0,1270672.0,669300.0,398650.0,0.0
2025-03-13,5773225.0,293350.0,1101426.0,1531292.0,1908923.0,1405713.0,1240276.0,689100.0,400500.0,0.0
2025-03-14,5723505.0,341450.0,1016678.0,1538956.0,1909378.0,1351499.0,1220926.0,731900.0,422700.0,0.0
2025-03-17,5819633.0,394550.0,1073329.0,1502340.0,1814978.0,1315394.0,1223388.0,718100.0,395700.0,0.0
2025-03-18,6004534.0,383150.0,1102025.0,1495606.0,1817678.0,1304932.0,1181092.0,701100.0,391700.0,0.0
2025-03-19,6067784.0,352150.0,1108893.0,1511304.0,1798878.0,1287342.0,1201605.0,685400.0,391200.0,0.0
2025-03-20,5927939.0,415450.0,1126285.0,1513650.0,1830778.0,1277042.0,1125853.0,732900.0,548900.0,0.0
2025-03-21,6007762.0,376050.0,1070385.0,1520650.0,1841078.0,1295742.0,1117825.0,720500.0,523600.0,0.0
2025-03-24,6030169.0,374450.0,1030820.0,1540350.0,1862678.0,1263300.0,1145529.0,721300.0,527600.0,0.0
2025-03-25,5947969.0,230050.0,1003151.0,1613719.0,1797478.0,1413100.0,1218505.0,726900.0,535900.0,0.0
2025-03-26,5998070.0,217350.0,1070420.0,1556750.0,1806278.0,1413600.0,1222842.0,720900.0,505400.0,0.0
2025-03-27,5949955.0,244850.0,1053333.0,1627250.0,1781978.0,1392655.0,1230396.0,712700.0,516900.0,0.0
2025-03-28,6019055.0,279200.0,1077292.0,1549400.0,1744278.0,1399130.0,1193809.0,721300.0,513400.0,0.0
2025-03-31,6004928.0,314300.0,1007339.0,1564800.0,1582778.0,1500030.0,1147680.0,695900.0,553600.0,0.0
2025-04-01,6002327.0,351200.0,1013320.0,1558300.0,1566478.0,1557049.0,1120816.0,731300.0,556100.0,0.0
2025-04-02,6141295.0,2541100.0,828891.0,2095800.0,1552178.0,1434678.0,1123839.0,732700.0,558800.0,0.0
2025-04-03,5990996.0,2638600.0,1223672.0,1861649.0,1480878.0,1406417.0,1110533.0,733200.0,575100.0,0.0
2025-04-07,5946373.0,2515000.0,1328221.0,1884780.0,1398778.0,1404600.0,1143326.0,756400.0,545600.0,0.0
2025-04-08,5950973.0,0.0,1511998.0,1898570.0,1388078.0,1259097.0,1160869.0,764500.0,545700.0,0.0
2025-04-09,5940596.0,2513200.0,1582874.0,1776070.0,1554278.0,1260321.0,1073048.0,760800.0,607500.0,0.0
2025-04-10,6034510.0,2512200.0,1359307.0,1824958.0,1564878.0,1470300.0,1036191.0,758200.0,597200.0,0.0
2025-04-11,6051916.0,2505200.0,1386090.0,1790770.0,1553978.0,1502900.0,1000780.0,737900.0,595100.0,0.0
2025-04-14,6035131.0,2492700.0,1528893.0,1785021.0,1545778.0,1395146.0,989686.0,740000.0,603400.0,0.0
2025-04-15,6063224.0,0.0,1589212.0,1767999.0,1581278.0,1349237.0,958688.0,727900.0,599700.0,0.0
2025-04-16,6114797.0,2490600.0,1631953.0,1750770.0,1582378.0,1355737.0,910972.0,713600.0,564500.0,0.0
2025-04-17,6147347.0,2480800.0,1636251.0,1747970.0,1598978.0,1350239.0,892129.0,701200.0,555600.0,0.0
2025-04-22,6092747.0,2549800.0,1599790.0,1743970.0,1730678.0,1343800.0,871514.0,721900.0,477900.0,0.0
2025-04-23,6298232.0,2492400.0,1652040.0,1744470.0,1693278.0,1423600.0,837259.0,728100.0,490000.0,0.0
2025-04-24,6310132.0,2484100.0,1618740.0,1746170.0,1639378.0,1486900.0,842511.0,725200.0,501400.0,0.0
2025-04-25,6382632.0,2506300.0,1658045.0,1704870.0,1605278.0,1505695.0,840440.0,729500.0,512500.0,0.0
2025-04-28,6357322.0,2525500.0,1677219.0,1742970.0,1566378.0,1457665.0,886774.0,759700.0,511400.0,0.0
2025-04-29,6358864.0,2504400.0,1793687.0,1713370.0,1559778.0,1347534.0,912028.0,767300.0,512200.0,0.0
2025-04-30,6360662.0,2512700.0,1788530.0,1729170.0,1551278.0,1335191.0,928025.0,761800.0,510900.0,0.0
2025-05-02,6368442.0,2517600.0,1783663.0,1719070.0,1555278.0,1386629.0,904782.0,748200.0,509690.0,0.0
