date,LUK FOOK SECURITIES (HK) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD,PRUDENTIAL BROKERAGE LTD,CHINA CITIC BANK INTERNATIONAL LTD,ICBC INTERNATIONAL SECURITIES LTD
2024-03-18,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-28,66.19703391173189,0.0,33.80296608826811,0.0,0.0,0.0,0.0
2024-09-03,66.18933718174674,0.0,33.81066281825326,0.0,0.0,0.0,0.0
2024-09-05,58.7778256505605,0.0,30.02473402633239,0.0,0.0,11.197440323107108,0.0
2024-09-27,58.73537435138684,0.0,30.07527248905582,0.0,0.0,11.189353159557344,0.0
2024-10-07,58.84465895586448,0.0,30.13123134340585,0.0,0.0,11.024109700729673,0.0
2024-10-08,58.83857692109047,0.0,30.138452802211567,0.0,0.0,11.02297027669796,0.0
2024-10-09,59.61182345352425,0.0,30.555470357640697,0.0,0.0,9.83270618883506,0.0
2024-10-10,45.55844185361425,24.15103289304728,23.35207244052369,0.0,0.0,6.9384528128147895,0.0
2024-10-21,45.54021911393978,24.141372817606296,23.382730539740333,0.0,0.0,6.9356775287135966,0.0
2024-10-23,45.532934099168024,24.21749535710518,23.378990032103342,0.0,0.0,6.870580511623454,0.0
2024-10-24,45.56026492970713,24.232031742136837,23.393023110080506,0.0,0.0,6.814680218075529,0.0
2025-01-17,41.21067776326966,21.918626970568457,21.15971754742044,9.546887343935017,0.0,6.164090374806434,0.0
2025-02-11,41.1946635837809,21.895636810159743,21.117990645836443,9.630013907575805,0.0,6.161695052647111,0.0
2025-02-12,36.389669334840114,19.415215413704427,18.661155566818522,8.609034656360082,6.789698340583927,5.442987659115851,4.692239028577082
2025-02-13,36.38269225190552,19.411492885563597,18.67675086828148,8.607384024466961,6.788396534623911,5.441944061385953,4.69133937377258
2025-02-14,36.38734334321643,19.407582511403582,18.672746566157347,8.608484375391203,6.78926434979049,5.442639748735396,4.691939105305552
2025-02-18,36.383854913259,19.405721919614965,18.670956422593022,8.607659085825548,6.788613467616343,5.451704898809259,4.691489292281859
2025-02-20,39.76767233021957,18.37350879618928,17.67782633827344,8.14980759711681,6.427519150168916,5.161722317130243,4.4419434709017445
2025-02-21,39.766469130468195,18.372952892362882,17.680317055307604,8.149561018780691,6.427324680918134,5.161566145480139,4.441809076682354
2025-02-25,39.811036065314646,18.393543762319286,17.675899970571198,8.158694365615169,6.434527889212832,5.079510861925975,4.446787085040889
2025-02-27,55.73782390090989,13.526371279252569,12.998625430009472,5.999797024939448,4.731867570538433,3.7354057882070406,3.270109006143143
2025-02-28,55.81366074425753,13.544775250343912,13.038616256787321,6.00796034448179,4.738305746171674,3.582123343838959,3.274558314118809
2025-03-03,55.862254836316325,13.552103126313353,13.0499683112889,6.0131911674411205,4.7424311459853,3.50264210854474,3.2774093041102605
2025-03-04,55.877223892695504,13.555734597981456,13.026668859264737,6.014802484382551,4.743701945372233,3.5035806894765793,3.278287530826934
2025-03-05,55.934679669849544,13.569673287342912,13.040063536575024,6.020987207371507,4.748579658738628,3.4043582088695477,3.2816584312528354
2025-03-13,55.99225372647481,13.58364067113492,13.053485788403108,6.027184662339754,4.753467413451366,3.4078623446480485,3.182105393547998
2025-03-20,55.99350665273035,13.581706951409323,13.053777883362358,6.027319531315511,4.753573780738461,3.4079386016286612,3.1821765988153365
2025-04-14,55.997265767957,13.575905272952657,13.05465424667911,6.027724174460413,4.753892911163547,3.4081673930485015,3.1823902337387695
2025-04-16,55.99332659319748,13.577120603416143,13.055822914158535,6.028263783176549,4.754318485057805,3.408472496065512,3.1826751249279766
2025-04-17,55.977562838844975,13.581984102004824,13.060499677234583,6.030423184514879,4.756021542864952,3.4096934545926096,3.1838151999431767
2025-04-22,55.95866618746869,13.586765946794882,13.074225367482747,6.030558198466585,4.756128024490412,3.4097697935448403,3.183886481751848
2025-04-25,55.95768013268187,13.587070145020489,13.074518090281796,6.030693218464027,4.756234510883971,3.4098461359154215,3.183957766752419
2025-04-29,55.982748427525344,13.54835830423731,13.080375300116911,6.0333948886432145,4.758365240549332,3.411373701534713,3.1853841373931755
2025-04-30,55.81648195935437,13.599534550011116,13.129783832585606,6.056184845384694,4.776339024794154,3.424259491462593,3.19741629640747
2025-05-02,55.79958736715855,13.604734647252444,13.13480430975238,6.058500568028851,4.778165368724907,3.425568836445663,3.198638902637204
