date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,HENIK SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,LEGO SECURITIES LTD,CMB WING LUNG BANK LTD,UPMAX SECURITIES LTD,THE BANK OF EAST ASIA LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,54.98017261488221,45.0198273851178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,54.96966868875408,45.03033131124592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,54.98249708284714,45.01750291715286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,54.995331465919705,45.0046685340803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,25.68127316328755,21.15761935905821,26.45519947678221,0.0,0.0,15.075212557226948,11.630695443645084,0.0,0.0
2024-03-11,0.0,25.67008062758771,21.181085203748093,26.443669644802792,0.0,0.0,15.068642405752888,11.636522118108521,0.0,0.0
2024-03-12,23.87193098871931,19.542136695421366,16.133045786330456,20.13105507631055,0.0,0.0,11.471466489714665,8.85036496350365,0.0,0.0
2024-03-13,23.87193098871931,19.53384207033842,16.141340411413406,20.13105507631055,0.0,0.0,11.471466489714665,8.85036496350365,0.0,0.0
2024-03-14,20.9873842339386,17.158900313571063,14.205498432144681,17.698534237584774,12.083424487712389,0.0,10.078028148472253,7.788230146576241,0.0,0.0
2024-03-15,20.9873842339386,17.158900313571063,14.220083132793699,17.698534237584774,12.068839787063371,0.0,10.078028148472253,7.788230146576241,0.0,0.0
2024-03-18,20.9873842339386,17.158900313571063,14.23466783344272,17.698534237584774,12.054255086414353,0.0,10.078028148472253,7.788230146576241,0.0,0.0
2024-03-19,20.9873842339386,17.158900313571063,14.227375483118209,17.705826587909282,12.054255086414353,0.0,10.078028148472253,7.788230146576241,0.0,0.0
2024-03-20,20.9873842339386,17.158900313571063,14.227375483118209,17.698534237584774,12.054255086414353,0.0,10.085320498796763,7.788230146576241,0.0,0.0
2024-03-21,20.9873842339386,17.158900313571063,14.154451979873114,17.77145774082987,12.054255086414353,0.0,10.085320498796763,7.788230146576241,0.0,0.0
2024-03-27,20.9873842339386,17.158900313571063,14.161744330197623,17.77145774082987,12.054255086414353,0.0,10.078028148472253,7.788230146576241,0.0,0.0
2024-03-28,21.009261284912128,17.158900313571063,14.161744330197623,17.77145774082987,12.032378035440823,0.0,10.078028148472253,7.788230146576241,0.0,0.0
2024-04-02,21.009261284912128,17.158900313571063,14.154451979873114,17.77145774082987,12.032378035440823,0.0,10.078028148472253,7.795522496900752,0.0,0.0
2024-04-03,21.009261284912128,17.158900313571063,14.154451979873114,17.77875009115438,12.032378035440823,0.0,10.078028148472253,7.788230146576241,0.0,0.0
2024-04-05,21.001968934587616,17.173485014220084,14.161744330197623,17.77875009115438,12.017793334791802,0.0,10.078028148472253,7.788230146576241,0.0,0.0
2024-04-08,20.99620770128355,17.174737456242706,14.170070011668612,17.78004667444574,12.01137689614936,0.0,10.078763127187864,7.788798133022171,0.0,0.0
2024-04-09,20.99620770128355,17.174737456242706,14.162777129521587,17.78004667444574,12.01137689614936,0.0,10.078763127187864,7.7960910151691944,0.0,0.0
2024-04-10,21.010793465577596,17.174737456242706,14.162777129521587,17.78004667444574,11.996791131855309,0.0,10.078763127187864,7.7960910151691944,0.0,0.0
2024-04-11,21.001603732322497,17.20367400495699,14.295086747339262,17.772270010205567,11.933226417845166,0.0,10.074354862224814,7.719784225105701,0.0,0.0
2024-04-12,20.994314039947515,17.20367400495699,14.295086747339262,17.772270010205567,11.933226417845166,0.0,10.074354862224814,7.727073917480682,0.0,0.0
2024-04-15,20.987024347572532,17.20367400495699,14.295086747339262,17.772270010205567,11.925936725470185,0.0,10.074354862224814,7.741653302230646,0.0,0.0
2024-04-16,20.97244496282257,17.19638431258201,14.295086747339262,17.772270010205567,11.925936725470185,0.0,10.074354862224814,7.763522379355592,0.0,0.0
2024-04-17,20.965155270447585,17.19638431258201,14.295086747339262,17.779559702580553,11.925936725470185,0.0,10.074354862224814,7.763522379355592,0.0,0.0
