date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK LTD,PHILLIP SECURITIES (HONG KONG) LTD,BOCI SECURITIES LTD
2024-03-01,72.19965328302176,19.818498215272047,7.981848501706199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,72.14794558884583,19.871925610719597,7.980128800434572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,72.18280711081444,19.858817973202854,7.95837491598271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,72.1594678032576,19.88491225664026,7.95561994010215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,69.62132619805116,19.185040845291738,7.675613124695035,0.0,0.0,0.0,3.518019831962069,0.0,0.0,0.0
2024-03-08,64.64120681674831,17.815136283537385,7.13226735679869,7.142405345764537,0.0,0.0,3.2689841971510774,0.0,0.0,0.0
2024-03-11,64.59577865677217,17.837279239469282,7.142611939105932,7.1512828510668776,0.0,0.0,3.2730473135857507,0.0,0.0,0.0
2024-03-12,64.6335100548879,17.848107113161017,7.146947762908846,7.126012417887254,0.0,0.0,3.245422651154968,0.0,0.0,0.0
2024-03-13,64.59184090589986,17.883808651523704,7.149382359858693,7.128439883243471,0.0,0.0,3.246528199474276,0.0,0.0,0.0
2024-03-14,58.680037270751775,16.303047169247648,6.5013077598415725,6.4674766398404095,4.583484277007165,4.514853126646811,2.9497937566646226,0.0,0.0,0.0
2024-03-15,58.76334670540203,16.288407887060515,6.519678057614995,6.371349907372342,4.586940981718495,4.51825807212729,2.9520183887043276,0.0,0.0,0.0
2024-03-18,58.737183490336534,16.292357321783904,6.521258877734715,6.389059365582435,4.588053172922997,4.519353609852217,2.952734161787202,0.0,0.0,0.0
2024-03-19,58.414992796827136,16.441513273798673,6.5646777664956995,6.439734176885626,4.61724465620037,4.549443706770115,2.972393623022382,0.0,0.0,0.0
2024-03-20,58.47997001825659,16.416358463803924,6.55328014678923,6.429881659849106,4.610180469948664,4.542483253062487,2.9678459882900063,0.0,0.0,0.0
2024-03-21,58.46786638236768,16.412580771267464,6.573430246220386,6.428402031098901,4.609119586416457,4.541437947849403,2.967163034779699,0.0,0.0,0.0
2024-03-22,57.801418248519155,16.343556469518763,6.54578520738326,6.401366918965085,4.589735598878946,4.5223386003638355,2.943900895139975,0.0,0.851898061230982,0.0
2024-03-25,57.78735396332046,16.34622653531555,6.539305978837236,6.410872537436579,4.596551061270068,4.518254449947406,2.9482723987705812,0.0,0.8531630751021096,0.0
2024-03-26,58.309850512940564,16.14097428694526,6.449458914734886,6.334559161901408,4.547170390170963,4.4644703126729866,2.910509179041666,0.0,0.8430072415922699,0.0
2024-03-27,58.27399970892855,16.156922226509664,6.450490482097103,6.34081796418219,4.55166317959509,4.468881391054493,2.913384880573918,0.0,0.8438401670589901,0.0
2024-03-28,57.04149338205251,16.64748440954371,6.611949312616678,6.533340120266286,4.689862385762849,4.60456714730075,3.0018421020048507,0.0,0.8694611404523674,0.0
2024-04-02,56.9986394947671,16.66996369230871,6.616744739131801,6.531141463339371,4.696195158937759,4.610784745369516,3.005895522675914,0.0,0.8706351834698339,0.0
2024-04-03,57.00317162595972,16.63345900083864,6.61647129612385,6.528116497193695,4.696001084391919,4.610594200486874,3.0415870913280605,0.0,0.8705992036772346,0.0
2024-04-05,56.08121092757582,16.377900778028458,6.5185940767344945,6.431546307133411,4.6265333110398394,4.542389848064049,2.9965930040410576,0.0,0.8550061560443235,1.5702255913385434
2024-04-08,55.8672651053578,16.45511818927742,6.550956032541332,6.463476109006478,4.649502016375413,4.5649408180723094,3.0114697718266092,0.0,0.8592508859831358,1.5780210715595049
2024-04-09,55.90157473222674,16.458400091273003,6.554979155146088,6.467445507779768,4.652357403676141,4.513155158098268,3.0133191983915864,0.0,0.8597785756280341,1.5789901777803736
2024-04-10,55.84537426923598,16.485697357662254,6.565862771590606,6.467288881892793,4.658142361794323,4.518767025653807,3.017066099982947,0.0,0.8608476643973082,1.580953567789977
2024-04-11,55.92968056158665,16.454220519210168,6.553326292406492,6.454940614000824,4.649248373785931,4.510139152863032,3.0113054882133574,0.0,0.8592040115826156,1.5779349863509307
2024-04-12,56.01720904083828,16.47916726993193,6.408917143860872,6.46472714835736,4.656297242499523,4.516977113800506,3.0158710212493247,0.0,0.8605066772586388,1.5803273422035635
2024-04-15,55.87602088662369,16.531553282320747,6.430660826947625,6.485278021525696,4.671099255309762,4.531336238577114,3.025458244565548,0.0,0.8632421621722352,1.5853510819575811
2024-04-16,55.87057883277458,16.532221815367276,6.432824350487751,6.48607788665411,4.671675367759109,4.531895113282303,3.025831391027314,0.0,0.8633486305920325,1.5855466120555262
2024-04-17,55.87110049415626,16.53562086432661,6.434146948572769,6.4874114337439694,4.6726358710401845,4.532826877538835,3.016858771534012,0.0,0.8635261363318616,1.5858726027554984
2024-04-18,55.053782085458224,15.613415028734376,6.339091011723322,6.769688002865065,4.603603910186916,4.465860408034065,2.97228870821983,1.7555544392029891,0.8642729546845486,1.5624434508906602
2024-04-19,55.03435238923466,15.65167197150441,6.354623439549218,6.786275505728466,4.5810405568292705,4.476802931865956,2.9227147051401876,1.7598560058741286,0.8663906490457248,1.5662718452279745
2024-04-22,54.97903995853534,15.670748435045015,6.362478598095271,6.794664243557199,4.58670333137793,4.48233685486608,2.9263275686894064,1.7620314216286377,0.867461622955637,1.5682079652494871
2024-04-23,54.984858775942435,15.653399967015893,6.366448002291528,6.7989032784466215,4.589564870190179,4.478352009860512,2.9281532372164887,1.7631307125435085,0.8680028123291119,1.5691863341637227
