date,CMB WING LUNG BANK LTD,CITIBANK N.A.,CITRUS SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES (INTERNATIONAL),BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,GET NICE SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,KGI ASIA LTD
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,90.436844992469,0.0,9.563155007530995,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,90.46804575225875,0.0,9.531954247741252,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,90.46217930486382,0.0,9.537820695136185,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,90.07739636607276,0.0,9.504688182252464,0.0,0.0,0.0,0.0,0.0,0.41791545167478067
2024-03-08,0.0,89.43535304275927,0.0,9.439534705686459,0.0,0.0,0.0,0.7365676741426661,0.0,0.38854457741160836
2024-03-11,0.0,89.34754021994793,0.0,9.390768024108459,0.0,0.0,0.0,0.8734986181989812,0.0,0.38819313774463376
2024-03-12,0.0,89.41393942820788,0.0,9.397759922496334,0.0,0.0,0.0,0.7998078819925653,0.0,0.38849276730321786
2024-03-13,0.0,89.53080077798761,0.0,9.410501317723252,0.0,0.0,0.0,0.669678422116438,0.0,0.38901948217270077
2024-03-14,0.0,89.61410051669502,0.0,9.416172668430919,0.0,0.0,0.0,0.6857225396459045,0.0,0.28400427522815763
2024-03-15,0.0,89.58785128650297,0.0,9.410845117450188,0.0,0.0,0.0,0.6942577152985803,0.0,0.30704588074826183
2024-03-18,0.0,89.53928087032791,0.0,9.438127218702801,0.0,0.0,0.0,0.7157116162409269,0.0,0.30688029472834866
2024-03-19,0.0,89.53949577393428,0.0,9.43793332308708,0.0,0.0,0.0,0.7156969127577789,0.0,0.30687399022086326
2024-03-20,0.0,89.55441727528553,0.0,9.439533200212203,0.0,0.0,0.0,0.7214687552532185,0.0,0.2845807692490445
2024-03-21,0.0,89.53755197316663,0.0,9.438040075691651,0.0,0.0,0.0,0.7398644540584878,0.0,0.28454349708323656
2024-03-22,0.0,89.52662379654878,0.0,9.436779885563567,0.0,0.0,0.0,0.7520908137460837,0.0,0.2845055041415708
2024-03-25,0.0,89.47752387915811,0.0,9.438182631722732,0.0,0.0,0.0,0.7683727115793434,0.0,0.3159207775398035
2024-03-26,0.0,89.46097891532064,0.0,9.430725974354734,0.0,0.0,0.0,0.7875336174082651,0.0,0.3207614929163673
2024-03-27,0.0,89.45155862477964,0.0,9.4247122171811,0.0,0.0,0.0,0.8031765684570893,0.0,0.3205525895821716
2024-03-28,0.0,89.49591508624987,0.0,9.403342943101531,0.0,0.0,0.0,0.8167043572434717,0.0,0.28403761340512823
2024-04-02,0.0,89.49894142817266,0.0,9.397178122849757,0.0,0.0,0.0,0.8198275300984154,0.0,0.2840529188791693
2024-04-03,47.78134663581744,46.72754483425421,0.0,4.90201941469891,0.0,0.0,0.0,0.43799941036840845,0.0,0.15108970486102896
2024-04-05,47.77608129063037,46.720243854855084,0.0,4.899243620204382,0.0,0.0,0.0,0.43795482743058006,0.0,0.16647640687957524
