date,SDHG INTERNATIONAL SECURITIES LTD,CHINA SECURITIES (INTERNATIONAL),BOCI SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,SHANGHAI COMMERCIAL BANK LTD,CITIC SECURITIES BROKERAGE (HK) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,54.3527353959422,0.0,36.952005399520885,8.151045915764879,0.0,0.0,0.0,0.5442132887720397,0.0,0.0
2024-03-04,54.37460911296321,0.0,36.91876672304408,8.164182084582214,0.0,0.0,0.0,0.5424420794105004,0.0,0.0
2024-03-05,54.55087645943826,0.0,36.76608974767254,8.142409512777036,0.0,0.0,0.0,0.54062428011217,0.0,0.0
2024-03-06,54.55299217375935,0.0,36.76088349479296,8.145188170828451,0.0,0.0,0.0,0.5409361606192418,0.0,0.0
2024-03-07,52.2374509726559,0.0,35.170622010794276,7.790758508610107,0.0,0.0,0.0,0.5155004748326592,2.7421209083329465,1.5435471247741177
2024-03-08,52.2687632472143,0.0,35.16132009073093,7.7702768976368946,0.0,0.0,0.0,0.516103939070639,2.7403969376513237,1.543138887695904
2024-03-11,47.104808339780185,0.0,31.687515467200477,7.0092702480720925,9.874202413509002,0.0,0.0,0.46353138828362445,2.469989505366144,1.3906826377884722
2024-03-12,47.07131315729763,0.0,31.664983179088047,7.009116350576576,9.867181087589906,0.0,0.0,0.46320178141366414,2.4678867059995504,1.4563177380346297
2024-03-13,47.06190680215311,0.0,31.658655501837313,7.015142794487623,9.865209308955327,0.0,0.0,0.47566533019606444,2.4673935432374345,1.4560267191331295
2024-03-14,47.05739308688806,0.0,31.655619114952042,7.02382787253582,9.864263135098879,0.0,0.0,0.4753199897887244,2.467689729366793,1.4558870713696823
2024-03-15,47.067785333510855,0.0,31.66267662271181,7.0042274989082385,9.866441578240913,0.0,0.0,0.47442567552574916,2.4682346987876187,1.4562085923148118
2024-03-18,45.27170702666367,0.0,30.449363604061258,10.539052244745182,9.488399698141956,0.0,0.0,0.47714656213424395,2.3739182577245708,1.4004126065291138
2024-03-19,42.50586462735519,0.0,28.58902146946646,9.828166727751206,8.90871273888393,0.0,6.174080264941852,0.44933059655510543,2.229968170090814,1.3148554049554453
