date,SUPREME CHINA SECURITIES LTD,KOALA SECURITIES LTD,SUCCESS SECURITIES LTD,CITIBANK N.A.,MINERVA HOLDING FINANCIAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,37.65043121055698,32.68885342551562,29.66071536392741
2024-03-06,78.93119134725828,0.0,0.0,0.0,0.0,5.953623292425956,5.709227810736783,4.908272513913305,4.497685035665679
2024-03-08,78.95542284403258,0.0,0.0,0.0,0.0,5.93754297293209,5.7109805162631835,4.909779330009176,4.486274336762968
2024-03-11,78.93226896514743,0.0,0.0,0.0,0.0,5.96610566604551,5.708935797736737,4.908021467812265,4.48466810325806
2024-03-14,78.93630636361844,0.0,0.0,0.0,0.0,5.961295816966219,5.709227810736783,4.908272513913305,4.4848974947652405
2024-03-19,78.96660002244512,0.0,0.0,0.0,0.0,5.937998707205397,5.711418860805246,4.910156178602147,4.473826230942092
2024-03-21,55.42156871941587,29.817304929924184,0.0,0.0,0.0,4.167498705954752,4.008476910358494,3.445260352509231,3.1398903818374757
2024-03-22,55.41858336621929,29.815698782919636,0.0,0.0,0.0,4.163683133662082,4.0172387003611725,3.4450747691841097,3.139721247653711
2024-04-03,55.45841453879851,29.837128313803607,0.0,0.0,0.0,4.166675710725378,4.020126022956711,3.4475508585993313,3.070104555116475
2024-04-05,50.856083261586924,27.355714593523672,0.0,8.317188935769757,0.0,3.820152876228338,3.6857910371731037,3.1502909062312643,2.814778389486939
2024-04-10,51.55738084049168,26.976192343022877,0.0,8.201799580761243,0.0,3.767153602095448,3.634655845492358,3.0870905089900993,2.775727279146287
2024-04-12,51.556777795699524,26.975876813955274,0.0,8.201703647794073,0.0,3.7671095392993172,3.6344833705173962,3.0883540200915194,2.7756948126428904
2024-04-19,51.578050427266206,26.97850644841121,0.0,8.202503157765829,0.0,3.767476760765821,3.634837663457217,3.0626601522868406,2.775965390046874
2024-04-23,51.59188609348948,26.97894477066509,0.0,8.202636424582451,0.0,3.7675379713042316,3.6348967189961208,3.0480875295529715,2.7760104914096493
2024-04-24,51.629714075317246,26.95967205567436,0.0,8.196776778279476,0.0,3.7648465878511375,3.6323000893250397,3.0426629967024175,2.774027416850321
2024-04-29,51.65007440928353,26.97030368392383,0.0,8.200009202003718,0.0,3.766331266494692,3.6316535362701288,3.00650653906832,2.7751213629557814
2024-05-07,51.641686824664,26.969171758894845,0.0,8.198677582023508,0.0,3.778711042413166,3.631063782979497,3.006018304960354,2.7746707040646283
2024-05-10,51.6333019637638,26.964792878813725,0.0,8.197346394463269,0.0,3.7813448303448634,3.630474221200785,3.018519519896599,2.7742201915169566
2024-05-13,49.96178710557454,29.357427235908375,0.0,7.931975291416525,0.0,3.632223408143488,3.511374485372435,2.9208015736226534,2.6844108999619904
2024-05-14,49.983218138225304,29.355250371917503,0.0,7.931387132541104,0.0,3.6398089891584497,3.5106742406113285,2.920584995115313,2.659076132430996
2024-05-20,49.99028771134455,29.354789213362302,0.0,7.931262533807167,0.0,3.6334679786483983,3.510619089405324,2.9205391139615293,2.6590343594707297
2024-05-21,49.990444777089145,29.354881443914206,0.0,7.930973260721013,0.0,3.6334793947329946,3.510630119507901,2.920548290076962,2.6590427139577852
2024-05-22,50.01558605509603,29.36595331935638,0.0,7.933964611520563,0.0,3.6379929561390654,3.511954235208419,2.874503188993371,2.660045633686166
2024-05-27,50.02202950034486,29.366045620075305,0.0,7.933989548924418,0.0,3.6380043907879474,3.5119652737024607,2.867911671635877,2.6600539945291355
2024-05-28,50.023600318621895,29.365122638995373,0.0,7.9337401819399505,0.0,3.637890047533672,3.511854891884529,2.8678215325600855,2.659970388464488
2024-05-29,50.03145490606339,29.362354043836664,0.0,7.932992175029568,0.0,3.6344043358844424,3.5115237880586987,2.8675511493265917,2.6597196018006506
2024-05-31,50.031895168230236,29.362612423962513,0.0,7.933061983039972,0.0,3.6344363175793806,3.5106747176950135,2.8675763829378247,2.6597430065550656
2024-06-03,50.033467596365696,29.363535247248564,0.0,7.93331130739238,0.0,3.6314076910779187,3.5107850529857725,2.867666506603338,2.659826598326326
2024-06-04,50.03032283892671,29.3648323125763,0.0,7.932812674358367,0.0,3.6343220998247916,3.510564389339168,2.867486264936861,2.6596594200378054
2024-06-05,50.031895168230236,29.365755176625907,0.0,7.933061983039972,0.0,3.631293564915989,3.5106747176950135,2.8675763829378247,2.6597430065550656
