date,QUAM SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,KINGSTON SECURITIES LTD,CMB WING LUNG BANK LTD,GRANSING SECURITIES CO LTD,FORTUNE ORIGIN SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-04,0.0,64.64915980942797,0.0,0.0,0.0,0.0,0.0,35.35084019057202,0.0
2024-03-05,0.0,64.70247031835538,0.0,0.0,0.0,0.0,0.0,35.297529681644626,0.0
2024-03-07,0.0,64.64600382150708,0.0,0.0,0.0,0.0,0.0,35.35399617849292,0.0
2024-03-08,0.0,64.63141645406931,0.0,0.0,0.0,0.0,0.0,35.36858354593069,0.0
2024-03-11,0.0,29.50029504755436,0.0,30.825928534634684,0.0,23.526057910618377,0.0,16.147718507192582,0.0
2024-03-12,0.0,29.496975431742307,0.0,30.823177174626338,0.0,23.52395809861055,0.0,16.15588929502081,0.0
2024-03-13,0.0,24.72726893051289,0.0,25.974886528825802,0.0,19.83041413337368,15.844158357690233,13.623272049597398,0.0
2024-03-14,0.0,24.736288470205317,0.0,25.95656984753743,0.0,19.837647492136263,15.849937686398224,13.619556503722762,0.0
2024-03-15,0.0,21.24790825071975,0.0,22.348411560172067,13.941130231435132,17.080065399393952,13.646677226587196,11.73580733169191,0.0
2024-03-18,0.0,21.248861585000412,0.0,22.349414270961628,13.941755730999791,17.08083173421002,13.64280279424884,11.736333884579306,0.0
2024-03-19,0.0,21.247802329968977,0.0,22.348300153416012,13.94106073494807,17.079980255325694,13.642122700990909,11.74073382535034,0.0
2024-03-20,0.0,21.24610774156508,0.0,22.346517796365685,13.939948885379227,17.078618065672853,13.64103469280189,11.747772818215264,0.0
2024-03-21,0.0,21.24218198011867,0.0,22.34763173620422,13.940643770575752,17.079469408742227,13.641714677581696,11.748358426777436,0.0
2024-03-25,0.0,21.24048789062396,0.0,22.345849485765388,13.93953198751207,17.07810730056861,13.640626734471766,11.755396601058205,0.0
2024-03-27,0.0,21.23995854306992,0.0,22.345292590800018,13.939184591670688,17.07768168631842,13.64028678783614,11.757595800304813,0.0
2024-03-28,0.0,21.2424996519839,0.0,22.347965939812106,13.94085224964411,17.079724828214164,13.619985029132495,11.768972301213228,0.0
2024-04-02,0.0,21.242374130372934,0.0,22.347860107588115,13.940786230597817,17.07964394455484,13.619920529602192,11.769415057284098,0.0
2024-04-03,0.0,21.23898435673735,0.0,22.34429392489406,13.938561615339006,17.076918442857473,13.63171107816846,11.76953058200365,0.0
2024-04-05,0.0,21.234000253745666,0.0,22.34429392489406,13.938561615339006,17.076918442857473,13.63171107816846,11.774514684995333,0.0
