date,THE HONGKONG AND SHANGHAI BANKING,HUAFU INTERNATIONAL SECURITIES LTD,CHINA SUNRISE SECURITIES (INTL) LTD,FUTU SECURITIES INTERNATIONAL,MONMONKEY GROUP SECURITIES LTD,SOOCHOW SECURITIES INTERNATIONAL,ADEN FINANCIAL GROUP LTD,VALUABLE CAPITAL LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,1.2155,0.0,3.6425,1.29525,2.95475,0.0,0.0,1.2642499999999999,0.0,0.0,10.37225
2024-03-04,1.2155,0.0,3.592,1.32575,2.9667499999999998,0.0,0.0,1.30175,0.0,0.0,10.40175
2024-03-05,1.2149999999999999,0.0,3.592,1.32525,2.9667499999999998,0.0,0.0,1.30175,0.0,0.0,10.40075
2024-03-06,1.2145,0.0,3.592,1.33125,2.92975,3.0025,0.4555,1.30125,0.0,0.0,13.826749999999999
2024-03-07,1.2145,0.0,3.2815,1.34275,2.65925,3.472,0.4555,0.94125,0.0,0.0,13.36675
2024-03-08,1.2145,0.0,3.1620000000000004,1.35275,2.67875,3.472,0.4555,1.00875,0.0,0.0,13.344249999999999
2024-03-11,1.2145,0.0,3.2390000000000003,1.31525,2.67875,3.472,0.4555,1.01325,0.0,0.178,13.566249999999998
2024-03-12,1.252,0.0,3.2925000000000004,1.25075,2.67875,3.472,0.7055,1.01825,1.06898875,0.178,14.91673875
2024-03-13,1.2675,0.0,3.2925000000000004,1.24175,2.67875,3.7624999999999997,0.7055,0.89325,1.06898875,0.0125,14.923238750000001
2024-03-14,1.257625,0.0,3.283,1.2502499999999999,2.67875,3.7624999999999997,0.7055,0.8927499999999999,1.06898875,0.013999999999999999,14.91336375
2024-03-15,1.259125,0.0,3.283,1.25075,2.67875,3.7624999999999997,0.7055,0.8927499999999999,1.06898875,0.013999999999999999,14.91536375
2024-03-18,1.259125,0.0,3.3649999999999998,1.38225,2.61275,3.7600000000000002,0.7055,0.89125,1.06898875,0.013999999999999999,15.05886375
2024-03-19,1.258625,0.0,3.4525,1.2642499999999999,2.63625,3.7159999999999997,0.7055,0.89125,1.06898875,0.013999999999999999,15.00736375
2024-03-20,1.258625,0.0,3.4525,1.3507500000000001,2.5767499999999997,3.6249999999999996,0.7055,0.89175,1.06848875,0.013999999999999999,14.94336375
2024-03-21,1.258625,0.0,3.4525,1.3572499999999998,2.5767499999999997,3.743,0.7055,0.89175,1.06848875,0.013999999999999999,15.067863749999999
2024-03-22,1.258625,0.0,3.4525,1.3582500000000002,2.5767499999999997,3.743,0.7055,0.8927499999999999,1.06848875,0.013999999999999999,15.069863750000001
2024-03-25,1.258625,0.0,3.4525,1.3572499999999998,2.60775,3.7504999999999997,0.7055,0.86175,1.06848875,0.0135,15.075863749999998
2024-03-26,1.259625,0.0,3.4985000000000004,1.3627500000000001,2.60775,3.7504999999999997,0.7055,0.86175,1.06848875,0.0135,15.128363750000002
