date,HALCYON SECURITIES LTD,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,EVER-LONG SECURITIES CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,89.330485653264,0.0,0.0,0.0,0.0,10.669514346736001
2024-03-08,0.0,89.47805237919587,0.0,0.0,0.0,0.0,10.52194762080413
2024-03-11,0.0,89.4790225910558,0.0,0.0,0.0,0.0,10.520977408944214
2024-03-12,0.0,89.48774645292058,0.0,0.0,0.0,0.0,10.512253547079418
2024-03-13,0.0,89.48871487793643,0.0,0.0,0.0,0.0,10.511285122063565
2024-03-14,0.0,89.53114964675657,0.0,0.0,0.0,0.0,10.468850353243417
2024-03-15,0.0,89.54841073555005,0.0,0.0,0.0,0.0,10.451589264449941
2024-03-18,0.0,89.57419590643275,0.0,0.0,0.0,0.0,10.425804093567251
2024-03-19,0.0,89.6102713531233,0.0,0.0,0.0,0.0,10.389728646876707
2024-03-20,0.0,89.61310878470641,0.0,0.0,0.0,0.0,10.386891215293582
2024-03-21,0.0,89.61499954491671,0.0,0.0,0.0,0.0,10.385000455083281
2024-03-22,0.0,89.64703747391344,0.0,0.0,0.0,0.0,10.352962526086563
2024-03-25,0.0,89.64891590311169,0.0,0.0,0.0,0.0,10.351084096888325
2024-03-26,72.80480510110323,24.38070806174111,0.0,0.0,0.0,0.0,2.814486837155666
2024-03-27,72.77967167436212,24.406813096038025,0.0,0.0,0.0,0.0,2.813515229599857
2024-03-28,72.74379686623905,24.444074751843843,0.0,0.0,0.0,0.0,2.812128381917103
2024-04-02,72.69721245558833,24.492460021797896,0.0,0.0,0.0,0.0,2.8103275226137767
2024-04-03,72.6649966455965,24.525921229988985,0.0,0.0,0.0,0.0,2.8090821244145183
2024-04-05,72.65068767114859,24.540783360511984,0.0,0.0,0.0,0.0,2.8085289683394357
2024-04-08,67.92883815398069,22.964194682424154,0.0,6.480975368381079,0.0,0.0,2.6259917952140666
2024-04-09,67.95386129609697,22.935816780536097,0.0,6.483362783978082,0.0,0.0,2.626959139388846
2024-04-10,67.94760378238074,22.94291321588692,0.0,6.482765765195421,0.0,0.0,2.626717236536923
2024-04-12,67.92883815398069,22.964194682424154,0.0,6.480975368381079,0.0,0.0,2.6259917952140666
2024-04-15,67.9272748194816,22.96596760737608,0.0,6.4808262132850025,0.0,0.0,2.6259313598573115
2024-04-16,67.92571155693894,22.967740450724648,0.0,6.480677065054169,0.0,0.0,2.625870927282247
2024-04-17,67.85543913695693,23.047434033186008,0.0,6.473972492513895,0.0,0.0,2.6231543373431654
2024-04-18,67.60365787318838,23.33297067631716,0.0,6.449950468686476,0.0,0.0,2.613420981807979
2024-04-19,67.4553339313568,23.50117985841699,0.0,6.435799132675507,0.0,0.0,2.6076870775506937
2024-04-22,67.41527480371164,23.546609564596714,0.0,6.431977159172019,0.0,0.0,2.606138472519629
2024-04-24,67.38141576252904,23.585007961738,0.0,6.42874672541421,0.0,0.0,2.604829550318755
2024-04-25,67.14229655874475,23.85618498950733,0.0,6.405932767278786,0.0,0.0,2.595585684469139
2024-04-26,67.07668357868064,23.93059445823793,0.0,6.399672744007409,0.0,0.0,2.5930492190740244
2024-04-29,66.97166520123663,24.05649941855518,0.0,6.389653118529654,0.0,0.0,2.5821822616785317
2024-04-30,17.888030303030302,6.433333333333334,0.0,1.7066666666666668,1.2933333333333332,0.0,0.6915151515151515
2024-05-02,63.786070485009915,23.05053244655274,0.0,6.085720923447639,4.611835387300164,0.0,2.4658407576895436
2024-05-03,63.62519333681833,23.24460947309991,0.0,6.070371907284554,4.600203710989076,0.0,2.459621571808124
2024-05-06,63.60599742474934,23.267766805126797,0.0,6.068540457834311,4.598815815702563,0.0,2.4588794965869845
2024-05-07,63.58407341781697,23.294215223210198,0.0,6.066448725474884,4.597230674773935,0.0,2.4580319587240207
2024-05-08,63.57311708102461,23.307432596158506,0.0,6.065403399942921,4.596438514019245,0.0,2.4576084088547137
2024-05-09,63.555321084619486,23.328901114873414,0.0,6.063705514074537,4.59515183488461,0.0,2.456920451547957
2024-05-10,63.54984739768648,23.335504395054286,0.0,6.063183278877364,4.594756078524252,0.0,2.456708849857625
2024-05-13,63.545742751185486,23.34045610881161,0.0,6.062791661508485,4.5944593059868994,0.0,2.456550172507522
2024-05-14,63.53069691604828,23.41026620675553,0.0,6.061356163867559,4.541712182443377,0.0,2.4559685308852575
2024-05-16,63.521126002765506,23.421804466778937,0.0,6.0604430192455645,4.541027972517096,0.0,2.4555985386928945
2024-05-17,63.47740995435214,23.474506556839383,0.0,6.056272145126862,4.537902779196619,0.0,2.4539085644849963
2024-05-20,63.45421026889609,23.50247504796917,0.0,6.05405870244065,4.5362442692293214,0.0,2.453011711464766
2024-05-21,63.421486626592106,23.54192519056905,0.0,6.050936595166342,4.533904906179326,0.0,2.4517466814931805
2024-05-22,63.33031149924096,23.67758997108695,0.0,6.042237730727761,4.501638763873169,0.0,2.448222035071156
2024-05-23,63.28685760845676,23.67635312974071,0.0,6.0380918686243295,4.552155197830061,0.0,2.4465421953481394
2024-05-24,63.216372077084124,23.709954646947637,0.0,6.031366963487312,4.598488945528146,0.0,2.443817366952778
2024-05-27,63.14334155198878,23.691121177924085,0.0,6.0243992448107475,4.700143871040203,0.0,2.4409941542361735
2024-05-28,63.121735271630754,23.717232419253946,0.0,6.0223378262055105,4.698535583868432,0.0,2.440158899041366
2024-05-29,62.94270375168605,23.933592437982824,0.0,6.0052567321892205,4.685209176356434,0.0,2.4332379017854766
2024-05-30,62.92391738840772,23.956295802798135,0.0,6.00346435709527,4.683810792804797,0.0,2.4325116588940707
2024-05-31,17.888030303030302,6.8115151515151515,0.0,1.7066666666666668,1.3315151515151515,0.0,0.6915151515151515
2024-06-03,62.88771819552237,24.00004261371203,0.0,6.000010653428007,4.681116266186552,0.0,2.4311122711510498
2024-06-04,62.835503941156745,24.063143664610486,0.0,5.995028979876416,4.6772296409050025,0.0,2.4290937734513465
2024-06-05,62.760681079989155,24.153567270736207,0.0,5.987890257451638,4.671660119183682,0.0,2.4262012726393176
2024-06-07,62.74600466631589,24.171303751654204,0.0,5.986490005686741,4.6705676642378435,0.0,2.425633912105316
2024-06-12,62.70201658089426,24.224463457769705,0.0,5.982293176977944,4.6672933628624085,0.0,2.4239334214956796
2024-06-14,62.69535709923583,24.232511457232526,0.0,5.981657807114901,4.666797657042414,0.0,2.4236759793743263
2024-06-17,62.694025372650856,24.23412085198579,0.0,5.98153074933754,4.666698528513698,0.0,2.4236244975121206
2024-06-18,62.5850159827397,24.365858959611113,0.0,5.971130348121564,4.658584295036603,0.0,2.419410414491017
2024-06-19,62.59165204298567,24.41509694042551,0.0,5.971763483387322,4.6018205820136675,0.0,2.419666951187832
2024-06-20,62.55981178166249,24.45354684527626,0.0,5.968725657995836,4.599479644123211,0.0,2.4184360709422044
2024-06-21,62.55848580709089,24.45514807573084,0.0,5.968599149008325,4.599382156728716,0.0,2.418384811441228
2024-06-24,62.55450822060795,24.459951359857577,0.0,5.968219654220513,4.59908971933896,0.0,2.4182310459750016
2024-06-25,62.55318247084567,24.461552318835206,0.0,5.968093166681679,4.598992248472743,0.0,2.4181797951647
