date,GOLDMAN SACHS (ASIA) SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,MERRILL LYNCH FAR EAST LTD,BOCI SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,CMB INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,39.52439895203601,31.676038631421942,20.87479676987852,0.0,1.7201062683389088,2.108842567176353,2.559718983219349,0.7193126500886781,0.0,0.816785177840234
2024-03-04,39.51690354767759,31.670850751448103,20.87092095234166,0.0,1.7125733220199741,2.103353126258882,2.5592023253133545,0.7496238849276965,0.0,0.8165720900127342
2024-03-05,36.26910862143598,29.077445428198303,19.145335778813834,4.540282116471714,1.5690075475517467,1.9230711177513806,2.347790001058871,0.688642268324131,3.6906003695593292,0.7487167508347052
2024-03-06,36.273095275661085,29.079491791991714,19.14549606666314,4.540698055242936,1.5647687996639237,1.9205912397368734,2.3476066761164516,0.6885282852403286,3.6909384683257502,0.7487853413577931
2024-03-07,36.27988141503942,29.08389783094342,19.14881484761054,4.542157305436804,1.565758770867276,1.914964734470866,2.3562875647433104,0.6722236054614165,3.6869879459246904,0.7490259795022476
2024-03-08,36.27630954619885,29.07730531092619,19.145761156112204,4.541632509043578,1.5718208714786106,1.9204551684369933,2.3522052278002397,0.6790088172677644,3.6870047214018835,0.7484966713336877
2024-03-11,36.27624385100509,29.07264593003755,19.148357240242266,4.539393834574254,1.5796934691383504,1.9073831200462747,2.3603834895709266,0.6804219462117712,3.6869845440352234,0.7484925751382873
2024-03-12,36.255341875666225,29.11345995289597,19.141572251499294,4.536158772980584,1.5789602705832912,1.900133232970308,2.3666346155402596,0.6748175821429079,3.6848601438263504,0.748061301894808
2024-03-13,36.262468239175554,29.102850540292685,19.154540720451365,4.5370504020393625,1.5734283659399015,1.906703066236033,2.3706848287787685,0.6631725710393015,3.680450329060435,0.7486509369865946
2024-03-14,36.25035477839702,29.10027777312575,19.155427458067635,4.534716223464437,1.5626593259689976,1.9412565640651132,2.372158888768606,0.6566539688831173,3.6791669897301156,0.7473280295292148
