date,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,EVERBRIGHT SECURITIES INVESTMENT,BOCI SECURITIES LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,HUAAN SECURITIES (HONG KONG) BROKERAGE,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD
2024-10-04,1139041195.0,280192617.0,219747222.0,373034048.0,388304000.0,327352555.0,0.0,1366903125.0,0.0
2024-10-07,1109137195.0,328672617.0,207627222.0,380954048.0,397824000.0,324072555.0,0.0,1349703125.0,3818287905.0
2024-10-08,1129137195.0,394672617.0,203227222.0,356114048.0,397944000.0,326240555.0,0.0,1364823125.0,0.0
2024-10-09,1141257195.0,413312617.0,202987222.0,350434048.0,407944000.0,321080555.0,0.0,1350543125.0,0.0
2024-10-10,1137313195.0,367592617.0,206307222.0,357314048.0,408384000.0,330680555.0,0.0,1366463125.0,0.0
2024-10-14,1149273195.0,381152617.0,201307222.0,354434048.0,0.0,0.0,0.0,1368823125.0,0.0
2024-10-15,1136193195.0,379232617.0,0.0,353434048.0,408344000.0,330200555.0,0.0,1370503125.0,3818447905.0
2024-10-16,1127193195.0,373072617.0,0.0,356834048.0,0.0,340200555.0,0.0,1371503125.0,0.0
2024-10-17,1121297195.0,370392617.0,0.0,359274048.0,0.0,341360555.0,0.0,1375896534.0,3818847905.0
2024-10-21,1114401195.0,364192617.0,0.0,362154048.0,0.0,341800555.0,0.0,1377976534.0,0.0
2024-10-22,1107081195.0,357352617.0,0.0,363874048.0,0.0,0.0,0.0,1378696534.0,3818927905.0
2024-10-28,1110961195.0,354752617.0,0.0,362354048.0,409344000.0,344240555.0,0.0,1383696534.0,0.0
2024-10-29,1118281195.0,362312617.0,0.0,361474048.0,408344000.0,348040555.0,0.0,1386020224.0,0.0
2024-10-30,1122801195.0,361912617.0,0.0,350074048.0,0.0,345360555.0,0.0,1386220224.0,0.0
2024-10-31,1123841195.0,375312617.0,213707222.0,360314048.0,409344000.0,345640555.0,0.0,1388700224.0,0.0
2024-11-05,1140361195.0,379552617.0,201307222.0,364194048.0,408344000.0,0.0,0.0,1394500224.0,3818927905.0
2024-11-06,1141169195.0,376112617.0,0.0,365674048.0,0.0,347360555.0,0.0,1578380224.0,0.0
2024-11-08,1144661195.0,380112617.0,0.0,365114048.0,0.0,346360555.0,0.0,1587460224.0,3818887905.0
2024-11-12,1144621195.0,371352617.0,0.0,355234048.0,0.0,345040555.0,0.0,1586300224.0,3818687905.0
2024-11-13,1145181195.0,371032617.0,0.0,354234048.0,0.0,344040555.0,0.0,1584188224.0,0.0
2024-11-18,1155421195.0,350072617.0,0.0,352234048.0,408264000.0,343840555.0,0.0,1587148224.0,0.0
2024-11-19,1162461195.0,347272617.0,189283222.0,349354048.0,0.0,345920555.0,0.0,1589148224.0,0.0
2024-12-03,1169341195.0,319832617.0,189371222.0,353098048.0,0.0,0.0,0.0,1588028224.0,3818527905.0
2024-12-11,1159213195.0,314272617.0,201691222.0,355618048.0,0.0,0.0,0.0,1588028224.0,0.0
2024-12-13,1144533195.0,318552617.0,202371222.0,358018048.0,0.0,346760555.0,0.0,1584268224.0,0.0
2024-12-17,1145573195.0,321592617.0,0.0,358418048.0,0.0,345760555.0,0.0,1583068224.0,0.0
2024-12-20,1176173195.0,328232617.0,0.0,366578048.0,408664000.0,0.0,0.0,1583548224.0,0.0
2025-01-02,1218293195.0,320512617.0,0.0,369458048.0,0.0,344120555.0,0.0,1602388224.0,3818567905.0
2025-01-03,1219293195.0,319752617.0,0.0,374618048.0,409576000.0,0.0,0.0,1601388224.0,3818767905.0
2025-01-10,1326613195.0,306072617.0,0.0,0.0,409976000.0,0.0,0.0,1601828224.0,3819607905.0
2025-01-23,1328053195.0,296552617.0,0.0,382418048.0,0.0,341440555.0,0.0,1612588224.0,0.0
2025-02-06,1328653195.0,299552617.0,0.0,387578048.0,408776000.0,340440555.0,0.0,1611484224.0,0.0
2025-02-21,1328133195.0,288272617.0,0.0,386978048.0,0.0,332680555.0,0.0,1610972224.0,0.0
2025-03-19,1306585195.0,301352617.0,0.0,389338048.0,0.0,336200555.0,0.0,1611692224.0,0.0
2025-03-26,1287785195.0,302952617.0,0.0,388818048.0,0.0,335800555.0,0.0,1611812224.0,0.0
2025-04-17,1288145195.0,303012617.0,0.0,386818048.0,406736000.0,0.0,0.0,1621092224.0,0.0
2025-04-22,1279945195.0,301092617.0,208091222.0,383818048.0,410736000.0,0.0,0.0,1622052224.0,0.0
