date,KINGSTON SECURITIES LTD,ASA SECURITIES LTD,KAM FAI SECURITIES CO LTD,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,HSBC BROKING SECURITIES (HONG KONG) LTD
2024-03-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,76.61136844685456,23.388631553145444,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27,76.83920747970397,23.160792520296027,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,74.41793817550783,22.430976091553436,0.0,0.0,3.1510857329387396,0.0,0.0,0.0
2024-04-05,69.77023956275713,21.03007169915429,0.0,4.008059685236617,2.954287794851577,2.2373412580003897,0.0,0.0
2024-04-08,60.11773488322491,18.12062396385741,13.834701930254878,3.453556574597419,2.5455708842719615,1.927811763793421,0.0,0.0
2024-04-23,59.09374203073236,17.81197312300756,13.599053732257001,3.394731716093756,2.503736621636612,1.8949751063426699,0.0,1.70178766993004
2024-04-24,59.08653459512387,17.809800665401525,13.597395108166815,3.406514287761574,2.5034312505455123,1.8947439835437185,0.0,1.7015801094569878
2024-04-25,59.08473301092059,17.809257633799447,13.596980515359833,3.4064104210790704,2.5033549194114246,1.8977352721801048,0.0,1.70152822724953
2024-04-29,59.04422639140846,17.79704817145606,13.648598260408546,3.40407509410377,2.5016386986542676,1.9040516705204493,0.0,1.7003617134484506
2024-05-02,59.04242738624769,17.796505917226245,13.651229281710089,3.4039713761107295,2.501562476791364,1.9039936564013558,0.0,1.7003099055125248
2024-05-03,59.0298374190227,17.792711062642244,13.672688170241479,3.403245527090674,2.5010290537769606,1.9005414288863869,0.0,1.6999473383395545
2024-05-06,59.028938341103,17.792440063528108,13.672479922809766,3.4031936925771036,2.500990960837913,1.902035572543093,0.0,1.699921446601014
2024-05-28,59.01096253234155,17.78702181429358,13.668316305924655,3.432609869895346,2.50022934566255,1.901456354473611,0.0,1.69940377740871
2024-05-30,59.011411794128634,17.787157230305528,13.668420365440829,3.4326360030133016,2.5002483803885696,1.9007095114272108,0.0,1.6994167152959305
2024-06-04,59.012310338225014,17.787428068515204,13.668628489226597,3.432688270442969,2.500286450710112,1.8992157912187346,0.0,1.6994425916613722
2024-06-06,59.011411794128634,17.787157230305528,13.668420365440829,3.4326360030133016,2.501771018785932,1.8991868730298487,0.0,1.6994167152959305
2024-06-13,59.02938787663938,17.79257556205328,13.672584045732666,3.4336816541194777,2.5025331093865364,1.8693033596969635,0.0,1.6999343923716947
2024-06-18,59.0298374190227,17.792711062642244,13.672688170241479,3.433707803559441,2.50179061068868,1.8693175955059003,0.0,1.6999473383395545
2024-06-19,59.02938787663938,17.79257556205328,13.672584045732666,3.4336816541194777,2.5017715582744624,1.8700649108090377,0.0,1.6999343923716947
2024-06-20,59.034782837181865,17.79420170534494,13.673833644518862,3.4339954736880984,2.4928607578354587,1.87023582442967,0.0,1.7000897570011033
2024-07-03,59.03208523364884,17.793388596545675,13.677778332043081,3.4338385567337713,2.492746846177543,1.8701503637143915,0.0,1.7000120711366935
2024-07-05,59.03028696825312,17.792846565295054,13.67736167260495,3.4337339533976925,2.4926709108556575,1.8731396450889295,0.0,1.6999602845045976
2024-07-16,59.03118608725585,17.793117576792394,13.677569999150846,3.4337862542691,2.4927088779382967,1.8716450271672596,0.0,1.699986177426252
2024-07-17,59.031815486854896,17.793307289752793,13.677715831509026,3.433822865827073,2.492735455584322,1.8705987675311515,0.0,1.7000043029407366
2024-07-18,59.027320069862256,17.79195228592501,13.67667424002717,3.441176616173789,2.4925456276884193,1.870456316864225,0.0,1.6998748434591333
2024-07-22,58.9465194829787,17.767597458621225,13.6579526835699,3.4364661009441,2.626020424265308,1.8678959097855403,0.0,1.6975479398352262
2024-07-24,58.943829939647095,17.766786779319332,13.66949667133201,3.4287048327567247,2.6259006072551996,1.8678106836003072,0.0,1.6974704860893273
2024-07-29,58.942037047105615,17.766246367548746,13.672122583419483,3.428600541954313,2.6258207353225775,1.8677538704640222,0.0,1.6974188541852415
2024-08-02,58.938451589208874,17.765165642627696,13.677373928389889,3.4283919793815927,2.625661006033219,1.8676402545593211,0.0,1.697315599799412
2024-08-12,58.936659023833705,17.764625329471237,13.676957942114951,3.4282877076101252,2.628622567862616,1.8675834517902743,0.0,1.6972639773170957
2024-08-14,58.936659023833705,17.764625329471237,13.67999936130197,3.4282877076101252,2.628622567862616,1.8645420326032534,0.0,1.6972639773170957
2024-08-20,58.92590592098086,17.76138414060044,13.677503420022038,3.4276622101533696,2.6281429707951593,1.8824470290946094,0.0,1.6969543083535203
2024-08-22,58.91694799886441,17.758684053205513,13.690626174592804,3.4271411366010813,2.6277434402376683,1.882160859308818,0.0,1.6966963371897033
