date,STANDARD CHARTERED BANK (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,GF SECURITIES (HONG KONG) BROKERAGE LTD,BANK OF CHINA (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,CGS INTERNATIONAL SECURITIES HK LTD,HANG SENG SECURITIES LTD,SHANGHAI COMMERCIAL BANK LTD,FUTU SECURITIES INTERNATIONAL
2024-03-05,0.0,0.0,75.83892617449665,0.0,0.0,24.161073825503358,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,74.58745874587459,0.0,0.0,25.412541254125415,0.0,0.0,0.0,0.0
2024-03-15,0.0,0.0,73.8562091503268,0.0,0.0,26.143790849673206,0.0,0.0,0.0,0.0
2024-03-19,0.0,50.20982193489849,25.632301236248157,0.0,0.0,9.073380968583418,15.084495860269934,0.0,0.0,0.0
2024-03-22,0.0,50.067857950689884,25.559828093191584,0.0,0.0,9.33046821985976,15.041845736258766,0.0,0.0,0.0
2024-03-26,0.0,50.34862798020693,25.416104363472787,0.0,0.0,9.27800269905533,14.957264957264957,0.0,0.0,0.0
2024-03-27,0.0,49.78632478632478,25.416104363472787,0.0,0.0,9.840305892937472,14.957264957264957,0.0,0.0,0.0
2024-03-28,0.0,49.50794005815254,25.273987922165063,0.0,0.0,10.344441959293222,14.873630060389175,0.0,0.0,0.0
2024-04-05,0.0,49.592497487998216,25.23166238695992,0.0,0.0,10.32711845483979,14.848721670202075,0.0,0.0,0.0
2024-04-08,0.0,48.36440772580105,25.23166238695992,0.0,0.0,10.32711845483979,16.07681143239924,0.0,0.0,0.0
2024-04-09,0.0,48.28354881854659,25.18947837717343,0.0,0.0,10.309852875613018,16.217119928666964,0.0,0.0,0.0
2024-04-11,0.0,48.22979291917168,25.272767757737697,0.0,0.0,10.29837452683144,16.199064796259186,0.0,0.0,0.0
2024-04-23,0.0,47.69874476987448,24.99449460471262,0.0,0.0,11.28606033913235,16.020700286280555,0.0,0.0,0.0
2024-05-03,0.0,34.2531825729422,17.948920692654386,0.0,28.188503202340478,8.104688859017948,11.50470467304499,0.0,0.0,0.0
2024-05-08,0.0,34.493144170563525,17.991598636759928,0.0,27.859237536656888,8.123959736862963,11.532059919156694,0.0,0.0,0.0
2024-05-10,0.0,34.47948027254001,17.984471557597846,0.0,27.887814926319127,8.12074156235145,11.52749168119157,0.0,0.0,0.0
2024-05-17,0.0,34.40152296343301,18.00586975489807,0.0,27.92099627191243,8.130403743951772,11.541207265804712,0.0,0.0,0.0
2024-05-27,0.0,34.40152296343301,18.00586975489807,0.0,27.52439121123186,8.130403743951772,11.937812326485286,0.0,0.0,0.0
2024-05-30,51.5180318647416,15.691242051787096,8.212548244217675,0.0,12.510092075038735,3.80325061660529,5.4232797797968235,0.0,0.0,2.8415553678127803
2024-06-07,51.518036505883224,15.691234456603983,8.212548984067357,0.0,12.510093202044306,3.8032509592314363,5.423280268367691,0.0,0.0,2.841555623802002
2024-06-25,51.5180318647416,15.691233043016698,8.212557252988075,0.0,12.510092075038735,3.80325061660529,5.4232797797968235,0.0,0.0,2.8415553678127803
2024-06-27,48.52775227773509,14.78046117994001,7.735872849065036,0.0,11.783964317251419,3.582497178023562,5.1084944078957975,5.804335838871637,0.0,2.6766219512174425
2024-07-22,48.437325040355596,14.752919078586388,7.721457724159672,0.0,11.762005926669284,3.5758215067319172,5.285316459169999,5.793519964859422,0.0,2.671634299467725
2024-08-02,48.41272152555634,14.74542540170436,7.7175356454893524,0.0,11.756031470263101,3.6247997213750356,5.2826318071663305,5.790577173240016,0.0,2.6702772552054665
2024-08-28,48.32522832283524,14.770433980021192,7.730624762238798,0.0,11.775969968184308,3.6309474645052098,5.291591271384516,5.800398124402258,0.0,2.6748061064284863
2024-09-04,48.32522832283524,14.770433980021192,7.510141792597776,0.0,11.775969968184308,3.8514304341462315,5.291591271384516,5.800398124402258,0.0,2.6748061064284863
2024-09-05,48.20259925865488,14.98671070098578,7.49108421766537,0.0,11.7460875190551,3.8416571267809783,5.278163442729474,5.785679158376538,0.0,2.6680185757518804
2024-09-12,48.32522832283524,14.770433980021192,7.510141792597776,0.0,11.775969968184308,3.8514304341462315,5.291591271384516,5.800398124402258,0.0,2.6748061064284863
2024-09-17,48.31646267684249,14.772939504307525,7.511415745866897,0.0,11.77796753838369,3.852083756350775,5.292488889590031,5.80138205205061,0.0,2.675259836607976
2024-09-20,47.95851155056442,14.74768177989196,7.371580464332672,0.0,11.690710804093584,3.823545704458906,5.9941267660153885,5.758402679711413,0.0,2.6554402509316573
2024-09-23,48.27551754219005,14.8621127575296,7.420306646597111,0.0,11.76798645864247,3.848819359924422,5.355798762302024,5.796465749073709,0.0,2.672992723740612
2024-09-25,48.187702276360845,14.887344916858611,7.432904475898479,0.0,11.787965563508006,3.8553536949077842,5.364891572315598,5.8063067016833365,0.0,2.6775307984673384
2024-09-26,48.13050276684641,15.07316164918392,7.424081509245063,0.0,11.68918631331388,3.8507773335139857,5.358523367316432,5.799414530450064,0.0,2.6743525301302475
2024-09-27,48.13050276684641,15.2596925258943,7.424081509245063,0.0,11.68918631331388,3.8507773335139857,5.17199249060605,5.799414530450064,0.0,2.6743525301302475
2024-09-30,48.40135317208112,14.953351271719484,7.4658599110834025,0.0,11.584438452855974,3.8724472630034685,5.201097448614436,5.832050253856187,0.0,2.689402226785925
2024-10-02,48.26433898706395,15.248449075057312,7.46840705291082,0.0,11.417804773575279,3.8737684333060907,5.202871917063834,5.834039985691249,0.0,2.6903197753314614
2024-10-09,48.13161871935151,15.715125684372225,7.487566158333286,0.0,11.019536536365512,3.8837060193629473,5.216219123617039,5.849006361564024,0.0,2.6972213970334593
2024-10-10,46.18839000601824,16.147427593655628,7.185268958717065,0.0,10.57464229896308,3.7269082790879655,5.005623530828979,5.612863106700035,2.970550357639492,2.5883258683895205
2024-10-14,46.378680345087226,15.801965575323077,7.214871360235669,0.0,10.535811014466196,3.742262670960344,5.108643544726257,5.6359873945044505,2.9827886503079113,2.598989444388872
2024-10-16,46.3481285943835,15.87389929789249,7.21011859561371,0.0,10.52887059552412,3.7397974719650238,5.105278248369151,5.615806073206067,2.98082375146715,2.5972773715787842
2024-10-18,46.28714568907627,15.820119151724457,7.200631826829188,0.0,10.449229270279156,3.9651343955993172,5.09856093939834,5.608417033338174,2.9769017097777404,2.593859983977361
2024-10-23,46.06742152382321,16.203350484118324,7.166450569940451,0.0,10.399626985567707,3.9626808783615783,5.074358171443575,5.581793988587932,2.962770416229958,2.581546981927264
