date,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG BANK LTD,ICBC (ASIA) SECURITIES LTD
2024-03-01,0.0,715403657.0,27809621.0,118007775.0,35524283.0,10216825.0,20505691.0,0.0,4004573.0
2024-03-04,744033858.0,713374483.0,28347621.0,118044182.0,35688283.0,10760528.0,19881691.0,0.0,4008573.0
2024-03-05,744333858.0,711808363.0,29243621.0,117371125.0,35892283.0,10754528.0,20141691.0,0.0,4012573.0
2024-03-06,0.0,711416403.0,29483621.0,117862344.0,36066283.0,10736608.0,20155691.0,0.0,0.0
2024-03-07,744393858.0,710137553.0,29599621.0,117924389.0,36090283.0,10474608.0,20169691.0,0.0,4016573.0
2024-03-08,0.0,709406298.0,29735621.0,116791854.0,36136283.0,10149143.0,20179691.0,0.0,0.0
2024-03-11,744401858.0,700754796.0,30551621.0,118104591.0,36202283.0,10269402.0,20907691.0,0.0,4118573.0
2024-03-12,0.0,699963795.0,30441621.0,118774597.0,0.0,10325290.0,21233691.0,0.0,4198573.0
2024-03-13,0.0,698902795.0,30605621.0,119542175.0,36364283.0,10127290.0,21279691.0,0.0,4278573.0
2024-03-14,744474627.0,698001585.0,31107621.0,119494704.0,36509951.0,10044505.0,20046691.0,0.0,4528573.0
2024-03-15,744498627.0,697044821.0,31343621.0,119405352.0,36625951.0,10168621.0,20056691.0,0.0,4538573.0
2024-03-18,744626627.0,697268312.0,32445621.0,120714352.0,36697951.0,10368621.0,19512691.0,0.0,0.0
2024-03-19,744752627.0,698332455.0,33197621.0,124275910.0,36789951.0,0.0,18441691.0,0.0,4568573.0
2024-03-20,0.0,700481939.0,32409621.0,123417613.0,36693951.0,10276622.0,18443693.0,0.0,0.0
