date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CHINA GALAXY INTERNATIONAL SECURITIES,BNP PARIBAS,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.,CHINA MERCHANTS BANK CO LTD
2024-03-06,79.49877942263332,0.0,0.0,20.501220577366688,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,79.40808017538366,0.0,0.0,20.591919824616348,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,72.5809420571452,0.0,0.0,18.82682592600168,0.0,0.0,0.0,0.0,0.0,8.592232016853128
2024-03-19,72.56590114317267,0.0,0.0,18.94517270291826,0.0,0.0,0.0,0.0,0.0,8.488926153909079
2024-03-20,72.55996564627937,0.0,0.0,18.951802547900947,0.0,0.0,0.0,0.0,0.0,8.488231805819684
2024-03-21,66.02411431973802,0.0,0.0,17.276347127121166,0.0,0.0,8.975885680261984,0.0,0.0,7.723652872878834
2024-03-27,66.05730029599567,0.0,0.0,17.234767392073273,0.0,0.0,8.980397267159372,0.0,0.0,7.727535044771673
2024-03-28,66.04043823589592,0.0,0.0,17.265303844794555,0.0,0.0,8.973047376350886,0.0,0.0,7.721210542958651
2024-04-02,66.06059478170246,0.0,0.0,17.23675884914579,0.0,0.0,8.977556109725686,0.0,0.0,7.725090259426063
2024-04-03,46.132541420817844,30.19062539783991,0.0,12.017688124689847,0.0,0.0,6.266709276132723,0.0,0.0,5.39243578051968
2024-04-05,41.5277318489124,26.68490042621987,0.0,10.604975014697237,10.877103542034098,0.0,5.539021164021165,0.0,0.0,4.766268004115226
2024-04-16,41.52725502398608,26.684594027938207,0.0,10.606001455928315,10.876978650212074,0.0,5.538957564512092,0.0,0.0,4.766213277423237
2024-04-18,41.5277318489124,26.68490042621987,0.0,10.604975014697237,10.877103542034098,0.0,5.539021164021165,0.0,0.0,4.766268004115226
2024-04-22,39.50659899807962,25.386862302581704,0.0,10.079284105382975,10.348006755206775,0.0,5.269585620935024,4.875240594161072,0.0,4.534421623652837
