date,HSBC BROKING SECURITIES (HONG KONG) LTD,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF COMMUNICATIONS TRUSTEE LTD,FUTU SECURITIES INTERNATIONAL,EVERBRIGHT SECURITIES INVESTMENT,TOTAL_CCASS_PCT
2024-03-06,0.0,0.0,0.0,1.8613630630785818,0.0,1.057094115021103,0.0,2.918457178099685
2024-03-12,0.0,0.0,0.0,1.8613630630785818,0.0,1.0577446344765007,0.0,2.9191076975550825
2024-03-14,0.0,0.0,0.0,1.8867333218390883,0.0,1.0447342453685486,0.0,2.931467567207637
2024-03-15,0.0,0.0,0.0,1.8860828023836909,0.0,1.0473363231901391,0.0,2.9334191255738298
2024-04-03,0.0,0.0,0.0,1.8860828023836909,1.5080342015027206,1.072056062495248,0.0,4.46617306638166
2024-07-04,0.0,2.2734484031126474,0.0,1.8860828023836909,1.5080342015027206,1.072056062495248,0.0,6.739621469494307
2024-07-09,0.0,2.2253099634132245,0.0,1.8860828023836909,1.5080342015027206,1.0850664516032,0.0,6.704493418902836
2024-07-11,0.0,2.2253099634132245,0.0,1.8860828023836909,1.5080342015027206,1.0857169710585974,0.0,6.705143938358233
2024-07-12,0.0,2.2253099634132245,2.081372385803001,1.8860828023836909,1.5080342015027206,1.0889695683355856,0.0,8.789768921438222
2024-07-24,0.0,2.2253099634132245,2.081372385803001,1.8860828023836909,1.5080342015027206,1.091571646157176,0.0,8.792370999259813
2024-07-26,0.0,2.2253099634132245,2.095683813821748,1.882179685651305,1.5080342015027206,1.0733571014060432,0.0,8.784564765795041
2024-07-30,0.0,2.2253099634132245,2.095683813821748,1.882179685651305,1.5080342015027206,1.0740076208614409,0.0,8.78521528525044
2024-08-02,0.0,2.2253099634132245,2.081372385803001,1.882179685651305,1.5080342015027206,1.087018009969393,0.0,8.783914246339645
2024-08-06,0.0,2.2253099634132245,2.081372385803001,1.882179685651305,1.5080342015027206,1.0928726850679713,0.0,8.789768921438222
2024-08-22,0.0,2.2253099634132245,2.081372385803001,1.882179685651305,1.5054321236811303,1.0954747628895616,0.0,8.789768921438222
2024-08-27,0.0,2.2253099634132245,2.081372385803001,1.882179685651305,1.5054321236811303,1.0922221656125737,0.0,8.786516324161235
2024-09-02,0.0,2.2253099634132245,2.068361996695049,1.882179685651305,1.5054321236811303,1.107834632542116,0.0,8.789118401982824
2024-09-03,0.0,2.2253099634132245,2.068361996695049,1.882179685651305,1.5054321236811303,1.1110872298191041,0.0,8.792370999259813
2024-09-12,0.0,2.2253099634132245,2.068361996695049,1.882179685651305,1.5054321236811303,1.1039315158097305,0.0,8.78521528525044
2024-09-20,2.8112848784462763,2.2253099634132245,2.068361996695049,1.8828302051067027,1.5054321236811303,1.1039315158097305,0.0,11.597150683152114
2024-09-26,2.8112848784462763,2.2253099634132245,2.068361996695049,1.882179685651305,1.5054321236811303,1.1032809963543329,0.0,11.59584964424132
2024-09-30,2.8112848784462763,2.2253099634132245,2.068361996695049,1.8548578685246058,1.5054321236811303,1.1006789185327426,0.0,11.565925749293028
2024-10-03,2.8112848784462763,2.2253099634132245,2.068361996695049,1.8548578685246058,1.5054321236811303,1.1091356714529113,0.0,11.574382502213197
2024-10-04,2.8112848784462763,2.2253099634132245,2.068361996695049,1.8613630630785818,1.5054321236811303,1.091571646157176,0.0,11.563323671471439
2024-10-07,2.7618453998360586,2.2253099634132245,2.068361996695049,1.8490031934260274,1.5132383571459016,1.0629487901196815,0.0,11.480707700635943
2024-10-08,2.7618453998360586,2.2253099634132245,2.066410438328856,1.8490031934260274,1.5132383571459016,1.0824643737816098,0.0,11.498271725931678
2024-10-09,2.7618453998360586,2.2253099634132245,2.063157841051868,1.8490031934260274,1.5132383571459016,1.0811633348708143,1.163066336383194,12.656784426127087
