date,GF SECURITIES (HONG KONG) BROKERAGE LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HSBC BROKING SECURITIES (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD
2024-03-07,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,52.99625468164793,25.131086142322097,21.872659176029963,0.0,0.0,0.0
2024-03-11,0.0,0.0,0.0,48.108566581849026,22.765055131467346,19.71162001696353,0.0,9.414758269720101,0.0
2024-03-12,0.0,0.0,0.0,48.02307822840658,22.772781265908705,19.786187001527235,0.0,9.417953504157476,0.0
2024-03-13,0.0,50.202805475747844,0.0,23.914145681933412,11.34020618556701,9.852966030082811,0.0,4.68987662666892,0.0
2024-03-14,0.0,37.83353499331338,24.60676303890976,18.022034006240844,8.546137680697957,7.457173788448067,0.0,3.5343564923899895,0.0
2024-03-15,0.0,37.85263962300198,24.60676303890976,18.022034006240844,8.546137680697957,7.438069158759472,0.0,3.5343564923899895,0.0
2024-03-26,0.0,37.98266853574614,24.62087421944692,18.032369058238817,8.55103861348286,7.35950044603033,0.0,3.453549127054925,0.0
2024-03-28,0.0,37.97782874617737,24.617737003058103,18.04281345565749,8.549949031600407,7.358562691131498,0.0,3.4531090723751277,0.0
2024-04-03,0.0,37.9729901898331,24.61460058606192,18.05325519174417,8.548859727353802,7.3576251751815525,0.0,3.452669129825456,0.0
2024-04-05,0.0,37.98750955901096,24.62401223553403,18.060158042314555,8.552128473107317,7.322202396125414,0.0,3.4539892939077235,0.0
2024-04-08,0.0,37.98508889313707,24.62244312750908,18.059007200662716,8.551583508570701,7.328108073663417,0.0,3.453769196457019,0.0
2024-04-09,0.0,37.98040213794859,24.586408755408502,18.03257826418936,8.539068465258335,7.412827691524561,0.0,3.4487146856706543,0.0
