date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,FIRST SHANGHAI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,YICKO SECURITIES LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD
2024-03-01,19.21684502972149,23.92673582444818,0.0,8.58041729020227,16.640613274577493,3.6939823245905195,8.518838968904292,12.428710586245789,5.043966809880688,1.9498898914292782
2024-03-04,19.238353636082806,23.905278705293846,0.0,8.576549823964264,16.623567412514145,3.693823064368055,8.527666735549557,12.439238520460586,5.040421848453462,1.9551002533132806
2024-03-05,19.097465075497425,23.945008723437304,0.0,8.558436768193543,16.630212303982393,3.696059803141534,8.519955233307092,12.46646625037135,5.133860289752095,1.9525355523172643
2024-03-06,19.33107572448974,24.140085894433913,0.0,8.556748635685224,16.638356690833948,3.667790936771556,8.496917900315779,12.136114671882988,5.078502422041926,1.9544071235449256
2024-03-07,11.619810348526869,14.3304443476407,40.29525940222656,5.103525774341605,9.97791200147056,2.1722947269273116,5.066429380125904,7.261206322283793,2.9916614999870053,1.18145619646969
2024-03-08,11.637826789927834,14.202630458574825,40.323651818892614,5.095154437909433,9.91215529109378,2.1720821503156404,5.07035692280138,7.371858205331705,3.0319118529681344,1.1823720721846542
2024-03-11,11.72359298669812,14.195596553013551,40.298283463657974,5.102707336428701,9.913505984783189,2.17939710770516,5.060918718459414,7.319558593312016,3.0229553065856267,1.1834839493562461
2024-03-12,11.729373547818309,14.213675369455995,40.24129455621286,5.089893102166421,9.908280004222155,2.1685667211924144,5.059941699523781,7.39139162430838,3.020005890347887,1.1775774847518024
2024-03-13,11.908193471054032,14.125215108303433,40.17883529879484,5.0769772884733495,9.91688455465312,2.167698699546511,5.057916334622959,7.378572046873366,3.0277363157098764,1.161970881968516
2024-03-14,12.109706233277919,14.196656217717315,40.50479830935207,5.084667109026491,8.998551129945179,2.20457465741994,5.09835005114884,7.593321937022202,3.0509869636784424,1.1583873914115992
