date,UBS SECURITIES HONG KONG LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,DBS BANK LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CITIBANK N.A.,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,EAST ASIA SECURITIES CO LTD
2024-03-04,0.0,0.0,0.0,62.372604141107324,37.62739585889268,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,62.255975577212176,37.744024422787824,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,54.81792037849236,33.23454345368249,0.0,0.0,0.0,11.947536167825154,0.0
2024-03-07,0.0,0.0,0.0,54.68955582172226,33.156719679806486,0.0,0.0,0.0,12.153724498471261,0.0
2024-04-02,0.0,0.0,0.0,44.898613412913576,27.22075022508555,0.0,0.0,17.902764543792102,9.977871818208772,0.0
2024-04-05,0.0,0.0,0.0,44.89861292022196,27.220750468481157,0.0,0.0,17.902764703870506,9.97787190742638,0.0
2024-04-11,0.0,0.0,0.0,44.89861292022196,27.220750468481157,0.0,0.0,17.898293930545194,9.982342680751689,0.0
2024-04-19,0.0,0.0,0.0,41.87681509836538,25.3927660686317,0.0,0.0,16.696350504083064,9.31198766186658,6.722080667053277
2024-04-26,0.0,31.485830304833073,0.0,28.69155215942534,17.39764283455909,0.0,0.0,11.439365917267331,6.380031028644276,4.6055777552708905
2024-05-02,0.0,31.49572989760529,0.0,28.69771488032466,17.40311290085848,0.0,0.0,11.442962616578004,6.353453890225705,4.6070258144078595
2024-05-03,0.0,31.49627005443318,0.0,28.696492034679338,17.403411367040736,0.0,0.0,11.44315886522532,6.3535628529806765,4.607104825640748
2024-05-09,0.0,31.493569455553384,0.0,28.694031498428252,17.401919138495536,0.0,0.0,11.442177689296889,6.361592421650849,4.6067097965750925
2024-05-10,0.0,31.496090000098615,0.0,28.69632798580089,17.401596870913906,0.0,0.0,11.44309344826162,6.355813206662971,4.607078488261997
2024-05-14,0.0,27.11421484674895,0.0,24.70396808992303,14.980609854524696,13.912441681922871,0.0,9.851079745664284,5.4715644008740325,3.966121380342133
