date,BONUS EVENTUS SECURITIES LTD,UPBEST SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,THE BANK OF EAST ASIA LTD
2024-03-05,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-07,0.0,0.0,74.42552795608894,0.0,25.57447204391106,0.0,0.0
2024-03-08,0.0,0.0,75.05394502298527,0.0,24.94605497701473,0.0,0.0
2024-03-11,0.0,0.0,74.8421151852201,0.0,25.1578848147799,0.0,0.0
2024-04-10,0.0,0.0,49.23867409850646,34.292692640118865,16.468633261374677,0.0,0.0
2024-05-13,0.0,0.0,44.16950087630623,30.76222390936752,14.884288408506213,10.183986805820041,0.0
2024-06-07,0.0,0.0,44.14497431678711,30.745142178746054,14.931551690294409,10.178331814172424,0.0
2024-06-12,0.0,0.0,44.12047498049958,30.728079407975372,14.978762512247595,10.172683099277451,0.0
2024-06-18,0.0,0.0,43.99838506556451,30.643048850106357,15.214032772985767,10.144533311343364,0.0
2024-06-19,0.0,0.0,44.0227489631812,30.66001729346478,15.167082944673371,10.150150798680645,0.0
2024-07-05,0.0,0.0,44.07812349017891,30.66001729346478,15.11170841767566,10.150150798680645,0.0
2024-07-08,0.0,0.0,44.18887254417434,30.66001729346478,15.000959363680236,10.150150798680645,0.0
2024-07-09,0.0,0.0,44.1986624642859,30.666809933843243,14.982128065901424,10.152399535969431,0.0
2024-07-25,0.0,0.0,44.07004870652748,30.615938372709305,15.178454667430104,10.135558253333109,0.0
2024-08-22,50.95650726157817,26.769640690066478,9.816097446530073,6.819348816352925,3.380826535850069,2.2575792496222866,0.0
2024-09-03,50.9439584319601,26.76304825118066,9.813680080407655,6.817669446023178,3.404620504683459,2.2570232857449475,0.0
2024-10-08,50.950232074088056,26.766344064701027,9.814888614622069,6.818509027782575,3.392724985355558,2.257301233450722,0.0
2024-10-14,50.918879305658535,26.749873109555132,9.80884891828765,6.8758492515546745,3.390637235869821,2.2559121790741856,0.0
2024-10-24,50.909480998112386,26.74493577515712,9.807038458590482,6.874580147701874,3.408468824378373,2.255495796059768,0.0
2024-10-28,50.92201284600121,26.751519292811583,9.809452553407269,6.8762723903062275,3.384691909895858,2.2560510075778573,0.0
2024-10-31,51.04074415374854,26.813893945586386,9.86933457479693,6.892305315316419,3.1224107261013785,2.2613112844503465,0.0
2024-11-04,51.02815380568247,26.807279695277565,9.866900081343957,6.91527242332287,3.1216405132351945,2.2607534811379346,0.0
2024-12-05,51.02186096063169,26.803973793637503,9.865683284953871,6.914419624728399,3.133587653383474,2.260474682665056,0.0
2024-12-20,51.02311940547235,26.80463490873395,9.865926620222242,6.912123685964941,3.1336649427480894,2.260530436858421,0.0
2025-01-03,50.60993713171106,26.58757252352541,9.786032916324782,7.665943931438172,3.1082887050476593,2.242224791952916,0.0
2025-03-04,50.39418002349183,26.474226052706527,9.744313714866983,7.633262960305698,3.521351368710056,2.2326658799188976,0.0
2025-03-14,50.39418002349183,26.474226052706527,12.238858025872931,5.13871864929975,3.521351368710056,2.2326658799188976,0.0
2025-03-17,50.39418002349183,26.474226052706527,12.238858025872931,5.13871864929975,3.5481482314259405,2.2058690172030135,0.0
2025-03-21,50.39540769514777,26.474871001328026,12.236720043541577,5.138843835565914,3.548234669205317,2.2059227552114073,0.0
2025-04-01,50.45686763577418,26.507158546448732,12.25164338917433,5.145110935118572,3.5525619343683883,2.086657559115795,0.0
2025-04-07,49.79553575003819,26.159732517675653,12.091062623748794,5.0776746062999685,3.53007034396329,2.0593079981320117,1.2866161601420925
2025-04-30,49.67595877841077,26.09691360136257,12.062027638372536,5.06548128528865,3.7617293043023246,2.054362859770596,1.2835265324925582
2025-05-02,49.521364613716614,26.015698650337775,12.024489981664388,5.0497172443455005,4.061227802885454,2.0479695758140326,1.2795321312362364
