date,BLUEMOUNT SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,HSBC BROKING SECURITIES (HONG KONG) LTD,FULBRIGHT SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-04-02,0.0,0.0,0.0,0.0,100.0,0.0
2024-05-21,0.0,0.0,0.0,0.0,100.0,0.0
2024-06-03,98.69515611470835,0.0,0.0,0.0,1.3048438852916515,0.0
2024-06-04,87.35752598282807,10.321713373091198,0.0,0.0,2.3207606440807322,0.0
2024-06-05,79.52348605821096,12.1354203287713,5.583673504334988,0.0,2.7574201086827577,0.0
2024-06-12,75.42848580801314,11.989141382469269,5.516368552830981,4.3418217695350885,2.7241824871515234,0.0
2024-06-18,75.38374271815313,11.983162047763509,5.513617378840661,4.33965637630428,2.7798214789384112,0.0
2024-06-25,74.1055039148786,11.807986028073634,5.42012613754752,4.266071317071951,2.732685643645115,1.6676269587831745
2024-06-26,74.03291131083208,11.89437755923014,5.4148166659185675,4.261892339673589,2.7300087471066252,1.6659933772390108
2024-06-27,74.13665862900642,11.798936551228199,5.4224048141832775,4.267864817221209,2.7338344927255656,1.6403006956353394
2024-07-08,74.13545043767394,11.799487731861396,5.4226581187506815,4.268064188107064,2.7339622022543195,1.6403773213525916
2024-07-12,74.11467708688835,11.796181420288494,5.421138646236168,4.266868242118585,2.761216930063606,1.6399176744047954
2024-07-17,74.10429477652924,11.794528959246072,5.420379229260512,4.266270520424417,2.7748385670248013,1.63968794751495
2024-07-30,74.01737068215508,11.780694015516508,5.531320813773817,4.261266199116705,2.771583690499756,1.6377645989381395
2024-09-24,73.99666344322695,11.777398226386602,5.529773361052607,4.260074059264827,2.798784495237468,1.6373064148315482
2024-10-24,73.99580089303848,11.778426602778811,5.529708902645527,4.26002440124632,2.798751870900349,1.6372873293905164
2024-11-18,73.99442085456249,11.778206932450196,5.5314707950094,4.259944950824655,2.7986996735429317,1.6372567936103297
2025-01-07,73.99925121445091,11.778975814450583,5.525303884194767,4.260223040266801,2.798882372812508,1.6373636738244264
2025-01-16,73.97855411113719,11.78966598324746,5.523758493079936,4.259031483934043,2.812084214615237,1.6369057139861427
2025-02-20,73.96820990050588,11.802000183150266,5.5229861216539815,4.2584359556855595,2.8116910088844893,1.6366768301198316
2025-02-28,73.91653220907939,11.793754747381298,5.575019287614714,4.255460810828419,2.823699574853312,1.6355333702428712
2025-03-13,73.89588134536919,11.790459798137324,5.573461733978885,4.254271916563467,2.8508487724139253,1.6350764335371988
2025-03-18,73.85461421535246,11.783875419839257,5.570349236153134,4.251896119846369,2.9051016831544856,1.6341633256543013
2025-03-20,73.85152103857607,11.783381887916146,5.5701159389505595,4.251718042058363,2.9189406686161092,1.624322423882747
2025-04-15,73.83090647957816,11.78009273127174,5.56856112353127,4.250531237897963,2.9460394094006292,1.6238690183202362
