date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS BANK CO LTD,UOB KAY HIAN (HONG KONG) LTD,BOCI SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-03-01,0.0,75.09174555308348,0.0,0.0,0.0,24.908254446916512
2024-03-04,0.0,75.10374674578367,0.0,0.0,0.0,24.89625325421634
2024-03-07,0.0,75.10135915936254,0.0,0.0,0.0,24.898640840637455
2024-03-11,40.75906731502785,31.154103125285797,0.0,17.75819059614011,0.0,10.328638963546236
2024-03-19,40.75906893652735,31.154100386420698,0.0,17.758191302606157,0.0,10.328639374445798
2024-03-20,33.3796443641672,25.513654225117506,18.104988079712687,14.54307288409674,0.0,8.458640446905875
2024-03-21,33.571423723431145,25.147481651494363,18.181797625572592,14.60477117512664,0.0,8.494525824375255
2024-03-28,30.71605691755402,23.008600531925854,16.635372253835946,13.362584392569014,8.505349160644107,7.772036743471057
2024-04-02,30.730775901103396,23.009642909279094,16.643343842480906,13.368987677351932,8.47148860449459,7.775761065290078
2024-04-03,30.732041983372206,23.00647097094941,16.64402953432938,13.369538468464551,8.471837622740894,7.776081420143561
2024-04-23,30.72927568684744,23.007389761144996,16.644694233020914,13.370072396544169,8.47217595543678,7.7763919670057
2024-05-23,30.729045152163547,23.0074663303072,16.64474962697502,13.370116892475808,8.472204151047915,7.776417847030512
2024-05-27,30.731806609901973,23.00054741607312,16.646245403118858,13.371318394591267,8.472965503494713,7.777116672820071
2024-08-29,30.731114962064588,23.00077707817488,16.646411617063098,13.37145190815641,8.473050106657867,7.777194327883162
2024-10-04,30.731108045516457,23.000779374819057,16.646413279219303,13.371453243305526,8.47305095269803,7.777195104441624
2024-11-18,30.66833181700874,23.158070178057383,16.612408678984824,13.344138595130822,8.455742556854434,7.761308173963802
2024-11-27,30.67109517703509,23.157147164273137,16.611746556360515,13.343606736311523,8.455405535380882,7.76099883063885
2024-12-19,30.669713524557352,23.15760866196791,16.612077611074966,13.343872660421477,8.455574042759414,7.7611534992188815
2025-01-09,30.53473745498212,23.20269318645002,16.6444189305388,13.369851256157613,8.472035826033572,7.776263345837872
2025-01-14,30.534753713925582,23.20265229390685,16.644427793253495,13.369858375251267,8.47204033716951,7.776267486493289
2025-02-06,30.52226788035587,23.206822788800434,16.647419498694717,13.37226150250481,8.473563120018508,7.7776652096256615
2025-04-02,30.51879879665002,23.20798152568411,16.64825071885642,13.372929191173878,8.473986212408736,7.778053555226835
2025-04-08,30.520017909520885,23.204913969233885,16.648915754753276,13.373463390118165,8.47432471674267,7.778364259631116
2025-04-29,30.523487070926087,23.203755339229517,16.648084468183576,13.372795648105992,8.473901590550666,7.777975883004162
