date,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,CIS SECURITIES ASSET MANAGEMENT LTD,NANYANG COMMERCIAL BANK LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,HANG SENG BANK LTD,CHIYU BANKING CORPORATION LTD,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,92.42964234491492,7.570357655085077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,78.8776442731251,6.460394771515437,0.0,0.0,0.0,0.0,0.0,0.0,14.661960955359454,0.0
2024-03-26,78.8748862303672,6.461238334858618,0.0,0.0,0.0,0.0,0.0,0.0,14.663875434774184,0.0
2024-04-05,64.98823351123242,5.302160464337383,0.0,0.0,17.627441390285497,0.0,0.0,0.0,12.082164634144702,0.0
2024-04-08,64.99382743738485,5.29400925461006,0.0,0.0,17.628958689649803,0.0,0.0,0.0,12.08320461835528,0.0
2024-04-09,65.0078164668214,5.295148717451688,0.0,0.0,17.632753081083088,0.0,0.0,0.0,12.064281734643826,0.0
2024-04-16,65.00631008451519,5.295376668883445,0.0,0.0,17.633512155383947,0.0,0.0,0.0,12.064801091217413,0.0
2024-04-22,65.01330699678525,5.295946633336756,0.0,0.0,17.635410127094755,0.0,0.0,0.0,12.055336242783238,0.0
2024-04-24,64.45458778201284,5.384164224350045,0.0,0.0,17.929173169975616,0.0,0.0,0.0,12.232074823661492,0.0
2024-04-25,64.45881991408322,5.382329062897668,0.0,0.0,17.92597303300547,0.0,0.0,0.0,12.232877990013645,0.0
2024-04-26,56.3843363788217,4.708107483016842,0.0,0.0,15.680462266573942,0.0,12.526576729179894,0.0,10.700517142407627,0.0
2024-04-29,56.38649544196485,4.704458575781464,0.0,0.0,15.68106270120387,0.0,12.52705639555291,0.0,10.700926885496907,0.0
2024-05-08,56.38865467046358,4.700809389088232,0.0,0.0,15.68166318181912,0.0,12.527536098662006,0.0,10.701336659967067,0.0
2024-05-09,56.40161351498703,4.701889696081963,0.0,0.0,15.662285733931988,0.0,12.530415089010564,0.0,10.703795965988466,0.0
2024-05-14,56.40485415683092,4.696414195920719,0.0,0.0,15.66318563475676,0.0,12.531135043368751,0.0,10.704410969122847,0.0
2024-05-17,56.413497689277584,4.687556320532162,0.0,0.0,15.659839340961318,0.0,12.533055326187666,0.0,10.706051323041267,0.0
2024-05-20,56.4047510903259,4.69097085208302,0.0,0.0,15.648243470340375,0.0,12.542184712570176,0.0,10.71384987468053,0.0
2024-05-23,53.46477956553939,4.446464485825994,0.0,0.0,14.832613770245526,0.0,11.888451379813864,0.0,10.155414407037794,5.212276391537439
2024-05-27,47.053451925852485,15.90654201833889,0.0,0.0,13.052334431671575,0.0,10.462825808290841,0.0,8.937609160118152,4.587236655728059
2024-05-30,47.05420437173768,15.906796384630834,0.0,0.0,13.05254315547256,0.0,10.462993122481508,0.0,8.937752084111201,4.58571088156621
2024-06-12,47.07959235583578,15.8991689330292,0.0,0.0,13.046284343906153,0.0,10.457976023392526,0.0,8.933466351786445,4.5835119920499015
2024-06-19,41.70779109718305,25.49510907551632,0.0,0.0,11.557697821541131,0.0,9.26471656734593,0.0,7.91415408948072,4.060531348932852
2024-06-20,41.71074419561253,25.496914243437942,0.0,0.0,11.558516158316761,0.0,9.265372550777919,0.0,7.907633999114343,4.060818852740508
2024-06-21,41.71136439941394,25.497293361179494,0.0,0.0,11.558688023762903,0.0,9.265510319100885,0.0,7.906264662829986,4.060879233712793
2024-06-27,41.71796710397169,25.494405129308028,0.0,0.0,11.557378701605852,0.0,9.26446075898366,0.0,7.905369072648708,4.060419233482069
2024-07-03,37.92375214077963,23.167556124550828,0.0,0.0,10.534133217537327,9.066102453491446,8.42358106508712,0.0,7.19299573420375,3.6918792643499003
2024-07-05,37.9322762820811,23.157880044646888,0.0,0.0,10.52505297241754,9.06937179161676,8.426618702800683,0.0,7.195589609058979,3.693210597378057
2024-07-10,37.931787759664296,23.156293918236745,0.0,0.0,10.524917422305103,9.06925498893944,8.426510178015521,0.0,7.198072699602613,3.693163033236286
2024-07-15,37.97041983882487,23.179877720439343,0.0,0.0,10.431212078712727,9.078491679255226,8.435092257254894,0.0,7.207982046580094,3.696924378932852
2024-07-18,37.97531558700115,23.182866437565934,0.0,0.0,10.419663451334397,9.079662222253454,8.436179843004814,0.0,7.208911413837791,3.6974010450024615
2024-07-19,37.97923309461784,23.18525796623244,0.0,0.0,10.410422405004413,9.080598874006384,8.437050113555037,0.0,7.209655080215153,3.6977824663687326
2024-07-24,37.961322983444205,23.1911456229955,0.0,0.0,10.413645198581166,9.083409989116387,8.439662002857398,0.0,7.211887000225619,3.6989272027797275
2024-07-25,37.96279201896354,23.188173257271345,0.0,0.0,10.414048188084172,9.083761500888423,8.439988602730084,0.0,7.212166087394667,3.6990703446677666
2024-07-26,38.01764294116248,23.21011856240833,0.0,0.0,10.398566589965132,9.098432046675137,8.453619436082942,0.0,7.116575970090682,3.7050444536153013
2024-07-30,38.02592194141886,23.215240884383636,0.0,0.0,10.374163164880239,9.101960031544715,8.456897390054644,0.0,7.119335475488631,3.7064811122292705
2024-07-31,38.032804109667254,23.21944252330614,0.0,0.0,10.3708697104209,9.103607360974983,8.458427972029419,0.0,7.107696389329562,3.7071519342717485
