date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,DBS VICKERS (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,30.232549457139275,4.916836635755663,11.939081339387805,11.576744229581536,9.604872989072282,0.0,0.0,2.6488725787587644,0.0,0.0,70.91895722969532
2024-03-04,30.233864375921275,4.884171611218639,12.214267667316145,11.513136066652521,9.607941132896961,0.0,0.0,2.6432998277302677,0.0,0.6300826567307338,71.72676333846655
2024-03-05,30.23148499907765,4.9084963250745375,11.960200876097387,11.512375824443392,9.608817745418296,7.230856787550345,0.0,2.641233526787117,0.0,0.8851508525247589,78.97861693697348
2024-03-06,30.239437126949774,4.907797257896361,12.041247053607087,11.512375824443392,9.621653857337868,7.212072233521703,0.0,2.642798906289504,0.0,0.8094264330941412,78.98680869313984
2024-03-07,30.23060065358157,4.905605726593019,12.081254302854518,11.407099795075638,9.631797516513336,7.212072233521703,0.0,2.6637749916214863,0.0,0.8095516634543322,78.9417568832156
2024-03-08,30.226969567980245,4.899970360384427,11.879134693037644,11.383368109590423,9.628791987868752,7.212698385322658,0.0,2.6365373882799568,0.0,1.0581872452591994,78.92565773772331
2024-03-11,30.239617834359528,4.906670184654643,11.896552608145521,11.35039611413298,9.644195322172237,7.212698385322658,0.0,2.657701319152226,0.0,1.024656691087715,78.93248845902751
2024-03-12,30.22772095014139,4.9036020408299645,12.153736226491482,11.353839949038232,9.596545170119585,7.212698385322658,0.0,2.6826221608302228,0.0,0.8140259876860042,78.94479087045954
2024-03-13,30.226969567980245,4.8980292898014675,10.852711565104256,11.45017853805988,9.556408839678388,7.212197463881894,0.0,2.700154411256954,0.0,2.0265959999925824,78.92324567575567
2024-03-14,30.23085170914616,4.86515882485855,10.962002291974192,11.503150980420648,9.388788002562816,7.212197463881894,0.0,2.761642518110706,0.0,2.024912277799815,78.94870406875478
2024-03-15,30.23085170914616,4.866515946271939,11.716338637316737,11.499902661415245,9.413395768340335,7.212197463881894,0.0,2.7678414209401576,0.0,1.2086991105654865,78.91574271787796
2024-03-18,30.24576482920468,4.82482985881579,11.975535740701437,11.499902598800064,9.427797259762293,7.212047750986287,0.0,2.7614546725704194,0.0,0.9913771611732334,78.9387098720142
2024-03-19,30.24063038443685,4.851047993102594,11.744670941851876,11.499777274517104,9.432055092008786,7.212047750986287,0.0,2.7294583155416343,0.0,0.9030786117365637,78.6127663641817
