date,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,0.0,9.641583946447714,8.528763422261424,6.222171455635735,6.5134908981893656,4.135982783867646,3.5694708936972748,1.1465082735796754,1.1653114914762461,0.5144572099853404,41.43774037514042
2024-03-04,0.0,9.639914639527435,8.574331000838257,6.166491677136303,6.5140842586806915,4.14276848787521,3.5658564090141973,1.0880079434489411,1.1647682741250323,0.5146452467607606,41.37086793740682
2024-03-05,0.0,9.647285054334654,8.606986720836234,6.168789904391439,6.5103026301972395,4.1274823516120485,3.5662220360775145,1.0880079434489411,1.1654577423015728,0.515501858737675,41.396036241937324
2024-03-06,0.0,9.64044118428456,8.620044830240415,6.145034591763352,6.5103026301972395,4.114104621475603,3.571560191201944,1.0880079434489411,1.1649980968505458,0.5164211496397294,41.37091523910233
2024-03-07,0.0,9.636847592576531,8.543492969669341,6.2146290916438796,6.514251402481065,4.079829737697457,3.57638646843773,1.0880079434489411,1.1626580836453164,0.5190327715205657,41.33513606112083
2024-03-08,0.0,9.662473495046498,8.571489556231906,6.216822854023782,6.5103026301972395,4.158790892579016,3.5758975728216376,1.0880079434489411,1.1573972325285597,0.5195968818468264,41.460779058724405
2024-03-11,0.0,9.677824900963705,8.613338185250429,6.197392387230359,6.513541041329477,4.1335941318165075,3.5750618538197694,1.0880079434489411,1.1521489171968309,0.5200565272978537,41.470965888353874
2024-03-12,44.27254080649578,9.697795409376134,8.60422884813007,6.210032637133607,6.513791757030038,4.125974756318629,3.575522126060048,1.0880079434489411,1.152483204797578,0.5199938483727135,85.76037133716355
2024-03-13,44.27254080649578,9.706229903402482,8.650987326284564,6.178045492337124,6.512599854589574,4.093114911954446,3.5502219032851077,1.0880079434489411,1.1525876696728115,0.5262738588122479,85.73060967028307
2024-03-14,44.27254080649578,9.707613603353876,8.694925252807757,6.17497422500526,6.506916965376874,4.076896698288502,3.54890719193732,1.0880079434489411,1.1520444523215976,0.5271513637642089,85.74997850280012
2024-03-15,44.27254080649578,9.69480040140319,8.746405543322803,6.208758165655759,6.506916965376874,4.023864979018389,3.553169358846845,1.0880079434489411,1.1370098674779987,0.5304942397716794,85.76196827081826
