date,GRANSING SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,TIGER FAITH SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,HSBC BROKING SECURITIES (HONG KONG) LTD,USMART SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.
2024-03-01,60.69086391836584,20.714397709752117,0.0,0.0,0.0,0.0,0.0,18.21344527119132,0.0,0.38129310069072697
2024-03-04,57.44511299131538,20.164604735571302,0.0,0.0,0.0,0.0,0.0,18.85425345604819,3.150814873494707,0.3852139435704111
2024-03-05,54.7709982041785,19.32058282270967,0.0,0.0,4.118734387196504,0.0,0.0,18.358481385510956,3.046387012616495,0.3848161877878761
2024-03-06,54.89131189846961,19.272415309654257,0.0,0.0,4.108466105220359,0.0,0.0,18.312712456078103,3.038792164803231,0.3763020657744432
2024-03-07,54.58038623088414,19.455257909313005,0.0,0.0,4.131249811745651,0.0,0.0,18.414266528959757,3.0556439404053863,0.3631955786920652
2024-03-08,53.950690622335195,19.65613124613482,0.0,0.0,4.286662950656663,0.0,0.0,18.652792847986284,3.0799773333344054,0.3737449995526316
2024-03-11,48.80754112264415,17.997043860361135,0.0,0.0,4.044265306787246,10.149574971584272,0.0,16.008714115971152,2.77250701121585,0.22035361143619311
2024-03-12,48.793185172213136,18.143128313662732,0.0,0.0,4.045946927064627,10.153795201906544,0.0,15.89755956348309,2.7736598297516206,0.19272499191824968
2024-03-13,48.67544284155207,18.189769110093977,0.0,0.0,4.0563479000244405,10.179897706768399,0.0,15.868948884145922,2.780790116285038,0.24880344113015124
2024-03-14,48.760883568646776,18.270469297369676,0.0,0.0,4.063467859073815,10.384912998993142,0.0,15.398607788979977,2.8108424441329234,0.3108160428036904
2024-03-15,48.35370975348019,18.46105530210943,0.0,0.0,4.125977631134209,10.437764684821937,0.0,15.497890381915461,2.790289543363165,0.33331270317560874
2024-03-18,48.182018095245255,18.53981907614503,0.0,0.0,4.204717303446838,10.442860934026633,0.0,15.400832025067643,2.8195519630820853,0.41020060298651634
2024-03-19,48.17529762725145,18.43262250239737,0.0,0.0,4.239001034093457,10.441404355090233,0.0,15.454476237182343,2.826132731250372,0.4310655127347657
2024-03-20,48.20891872783356,18.536212275094417,0.0,0.0,4.395495386583652,10.448691315904824,0.0,15.039548341775516,2.9397676033856848,0.4313663494223409
2024-03-21,48.19210231362388,18.5506758276379,0.0,0.0,4.428844505218063,10.445046564565152,0.0,15.048255139293943,2.9387421427239793,0.39633350693708336
2024-03-22,48.17826281582641,18.70486026754657,0.0,0.0,4.809740888894592,10.484544950292065,0.0,14.57294368437875,2.9708636890370514,0.2787837040245642
2024-03-25,48.03362261915374,18.64870476276685,0.0,0.0,5.018719775975344,10.453068376522046,0.0,14.53617480176091,2.961944598078694,0.3477650657424164
2024-03-27,48.02021185654923,18.650478014668607,0.0,0.0,5.024298455887602,10.450149928758952,0.0,14.532116369795666,2.9611176370108714,0.36162773732906506
2024-03-28,48.02021185654923,18.566719418877277,0.0,0.0,5.108057051678931,10.450149928758952,0.0,14.532116369795666,2.9611176370108714,0.36162773732906506
2024-04-02,48.0235638451097,18.568015444627505,0.0,0.0,5.129354723584234,10.45087938791088,0.0,14.526150395112511,2.961324333984119,0.3407118696710436
