date,BNP PARIBAS,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.
2024-03-01,32.055408439598956,29.887426646902426,10.438317804617066,4.23052617454984,4.908357702910929,4.278080059729474,1.8218013765283751,6.7935377891934765,1.6369066804442938,3.949637325525169
2024-03-04,32.21411275342495,29.925892381521912,10.43113464459188,4.224881571143275,4.899908489951672,4.312454470844055,1.823131956086412,6.798499549913122,1.6430933226955842,3.7268908598271366
2024-03-05,32.236495192068176,29.93285553644636,10.44227572463447,4.210910999889843,4.901051002516883,4.400870517724591,1.817636502893254,6.800054575688433,1.6121795257661289,3.6456704223718606
2024-03-06,31.980779320641233,29.646976829502552,10.320826843520749,4.17327636394864,4.841505374392547,4.146841608737713,1.7552440840433245,8.124011696559965,1.607178774989534,3.403359103663738
2024-03-07,32.02810372866165,29.622203644129684,10.320642516302037,4.187129167674332,4.834538564695473,4.049144052556653,1.7586573379345032,8.136804894387547,1.6338091133721804,3.4289669802859404
2024-03-08,32.09225644535733,29.51016539021208,10.405525562550215,4.171337667561437,4.858728900792688,4.052770003914759,1.7522129531634056,8.152596306963744,1.6283168061590838,3.3760899633252572
2024-03-11,31.97257465189882,29.542154107724176,10.424889087656606,4.173941778097286,4.840170745910909,3.9538751954695903,1.7525807301477458,8.346381684780377,1.6148950988602584,3.378536919454228
2024-03-12,32.01442708984123,29.551775564305338,10.431334810421031,4.166691268666326,4.855249369488297,3.8999044084224743,1.7521994190452823,8.345144839313527,1.6153710111282436,3.3679022193682564
2024-03-13,32.090550299313456,29.55789345001611,10.388180785090666,4.166306345334793,4.872458316066525,3.8628870030490536,1.782245320208387,8.340652612885869,1.615380450289628,3.323445417745515
2024-03-14,32.04902112909168,29.491689469669286,10.376598809447103,4.156466881152898,4.867519638330997,3.849432737854927,1.7840807704560209,8.413202041142215,1.5784517148119106,3.433536808042967
2024-03-15,32.13991170052069,29.471914237201922,10.363080049652734,4.162898619487184,4.839857061650496,3.875168167801963,1.7881408295980923,8.488749508410875,1.6053926172599475,3.2648872084160967
2024-03-18,32.120447829151175,29.483516481117206,10.355377467465015,4.164528094031952,4.843620950555818,3.875104144870461,1.7700162602533993,8.514986189434468,1.606625517679803,3.2657770654407066
2024-03-19,32.05177591417713,29.54511677784729,10.381354181558601,4.151860501508262,4.85850484385478,3.875843606053263,1.77269944031108,8.347265055630531,1.608715347204008,3.4068643318550587
2024-03-20,32.064634875626005,29.578843080548367,10.370975738170245,4.1527220361105215,4.851689808342908,3.8881956118476473,1.7623418833159477,8.41822325637165,1.6115956899014647,3.300778019765242
2024-03-21,32.10952907249261,29.594171461632918,10.373505468221317,4.158030338672078,4.820539139084456,3.9132080823176785,1.7746993849212123,8.498317144120179,1.6018739694799005,3.156125939057642
2024-03-22,32.07800937611862,29.605432163095895,10.384688371428394,4.158793868840955,4.818414484381852,3.904262032648912,1.7542049084825362,8.527076684102173,1.6154224591620747,3.153695651738585
2024-03-25,32.16182705068703,29.611962269173,10.351600166909376,4.159517714024004,4.828343905926419,3.8933678600308212,1.7545218803730795,8.469763079901057,1.6139191710912975,3.155176901883923
2024-03-26,32.08676181639149,29.65717721749917,10.364659157842967,4.141030282069064,4.818227217025668,3.908154279741558,1.7558171152657578,8.496302409034866,1.6099421932731863,3.161928311856267
2024-03-27,32.05321506847951,29.646222255859005,10.408722430441015,4.131972583972665,4.817207356446014,3.9070827889073554,1.7543183856861462,8.51625091081439,1.6057512498801565,3.1592569695137374
2024-03-28,32.06434220638298,29.659708509796882,10.35882418026802,4.129213618412323,4.813537982784045,3.9017552552390367,1.7574685368660568,8.45285627578697,1.6111917446083923,3.251101689855295
2024-04-02,32.0767199137022,29.71595652522264,10.364197148775043,4.139993280734915,4.818268415488976,3.8725253310919863,1.7553493446184434,8.388196827141973,1.6141306671048874,3.254662546118929
2024-04-03,32.10403392887708,29.665030256986935,10.356847294877221,4.1347689929075475,4.822256600678099,3.8709541214088734,1.7567941011787127,8.4060841559767,1.6500968465492272,3.2331337005596037
2024-04-05,32.149023826448094,29.635060194080644,10.277499261046612,4.132182285915597,4.822891026056995,3.842586781936326,1.7571058741971872,8.523488804958555,1.6492828536121682,3.210879091747823
2024-04-08,32.14349389117896,29.603498044030168,10.29591577784089,4.125782566980558,4.817421655010683,3.7096230471509317,1.755113238671791,8.681870271410673,1.658468249311728,3.2088132584136106
2024-04-09,32.08216735957258,29.67401519815654,10.297826927020326,4.115213624951935,4.814400742232425,3.702570546138529,1.7556746818721725,8.684647515022698,1.6634224934617243,3.2100609115710617
2024-04-10,32.0486355280055,29.543209347030054,10.174084360940505,4.088427264224433,4.806021095755147,3.5940608876017675,1.7450564344901534,9.165036273164217,1.6567184290107593,3.178750379777468
2024-04-11,32.09553753458037,29.54726640573049,10.199807681191082,4.074726440494503,4.816382229116463,3.4582558285279155,1.7435632151596536,9.237265133299974,1.6526007192790546,3.174594812620489
2024-04-12,32.18463676160215,29.40077808670584,10.245352037307294,4.004102851242438,4.819820156812079,3.44113500719767,1.7526636721246036,9.319871959555408,1.652597262604447,3.1790422048480704
2024-04-15,32.317666796687696,29.162684940046496,10.244170280614195,3.9570565860527185,4.819772122422829,3.4876364557819164,1.7499609182809077,9.438374629600125,1.648234503894907,3.1744427666182093
2024-04-16,32.24446937608799,29.16514943934221,10.231003925618944,3.9270758212470334,4.828622581282382,3.4851380591776717,1.7482653853340504,9.541238426161975,1.6550052440275302,3.174031741720213
2024-04-17,32.22194388466062,29.153258469995137,10.198991504934092,3.9237493794979588,4.823851131492522,3.4766515493872765,1.7495024474267564,9.635378168648824,1.6374661329563163,3.179207331000499
2024-04-18,32.141185015407295,29.094307960197654,10.134039085116008,3.8965468115219304,4.81526384026519,3.44835035604612,1.7698415682171293,9.890817594431654,1.6336661201995901,3.1759816485974284
2024-04-19,32.146733543162675,29.100002308699676,10.138488126463585,3.899530266215539,4.817036026502022,3.434153251812127,1.7479437944988623,9.898718581372188,1.6409076035513754,3.176486497721947
2024-04-22,32.125484414622704,29.1149627716568,10.197826555070327,3.9003353591219834,4.818509177608355,3.4414306140665984,1.7446036964624143,9.839142446327148,1.6386418161857423,3.179063148877929
2024-04-23,32.10045940509557,29.096700261496515,10.128299965329363,3.8765909351078918,4.8165855954623735,3.43363847580583,1.7439072386165055,9.98419097490088,1.641860768340847,3.177766379844223
2024-04-24,32.138043036367506,28.828657852686206,10.12502986875368,3.874728167173637,4.814271144092597,3.412051625881933,1.9958305772120093,9.994684831536524,1.6410718262928021,3.1756310700031007
2024-04-25,32.164490771555926,28.835240703337895,10.136515867694557,3.873763489946579,4.814419220258684,3.403050753368802,1.9959034283659354,9.961534482303112,1.6405786725163585,3.1745026106521514
2024-04-26,32.222784199883066,28.845577387966642,10.160296933236273,3.8792828356409563,4.815572420282038,3.38923406198516,1.9963815080210092,9.880333848806929,1.640971641071215,3.1695651631067143
2024-04-29,32.26823455466738,28.94689370013916,10.167885966261817,3.894300936964508,4.823896875990516,3.386198855610936,2.0014672856732845,9.702991963526571,1.6327808390037497,3.1753490221620795
