date,ORIENTAL PATRON SECURITIES LTD,BOCI SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-14,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-18,0.0,39.53766202735798,21.426438086135835,22.137267785675885,0.0,0.0,16.898632100830298,0.0,0.0
2024-04-02,0.0,39.490483861344785,21.53212815464471,22.110852574428733,0.0,0.0,16.86653540958177,0.0,0.0
2024-04-03,0.0,39.419927342028465,21.493657316419508,22.07134774581621,0.0,0.0,17.01506759573581,0.0,0.0
2024-04-08,0.0,39.42462326523319,21.484305199833223,22.073977008755733,0.0,0.0,17.017094526177853,0.0,0.0
2024-04-23,0.0,34.42554740729183,18.760076975087117,19.27497789566755,0.0,0.0,14.963332813231393,12.57606490872211,0.0
2024-04-25,0.0,34.42554740729183,18.94731367348,19.27497789566755,0.0,0.0,14.776096114838507,12.57606490872211,0.0
2024-05-08,71.54548548933715,9.795622382382975,5.391366118601175,5.484601382249782,0.0,0.0,4.204466413106214,3.578458214322713,0.0
2024-05-09,71.54442668560942,9.795477416681466,5.3927662345350145,5.484520215473864,0.0,0.0,4.2044041910850645,3.5784052566151656,0.0
2024-05-13,71.4129309069389,9.792868767569168,5.391330078413967,5.604379346057109,0.0,0.0,4.2210386151797605,3.5774522858411006,0.0
2024-05-14,70.17898425345682,9.623856812597234,5.298282856187388,5.507655175422016,0.0,1.7273216336856796,4.148189074836065,3.515710193814793,0.0
2024-05-20,69.87217533548545,9.581783175784247,5.275119790384922,5.917862157819308,0.0,1.7226653541597303,4.1300539961493365,3.500340190216998,0.0
2024-05-21,69.66744608989347,9.698045668427586,5.259663404636125,6.049190265869923,0.0,1.717617851678647,4.117952714990906,3.490084004503334,0.0
2024-05-23,69.66744608989347,9.698045668427586,5.2611067809820735,6.0477468895239745,0.0,1.717617851678647,4.117952714990906,3.490084004503334,0.0
2024-05-27,69.66342406835436,9.69748578356378,5.2665762203042465,6.047397742689721,0.0,1.7175186906445747,4.117714978494933,3.4898825159483877,0.0
2024-05-29,69.6483456227183,9.695386790955398,5.287080994502244,6.046088801027402,0.0,1.7171469387166132,4.1168237110575605,3.4891271410224958,0.0
2024-06-05,69.64432580621889,9.69482721304379,5.286775845898564,6.045739845609985,0.0,1.7228194213981676,4.116586104898636,3.4889257629319674,0.0
2024-06-07,69.6393016880681,9.69412783148175,5.308036358389843,6.036646948492281,0.0,1.7169239647958447,4.116289135766844,3.4886740730053387,0.0
