date,ABCI SECURITIES CO LTD,CHINA CONSTRUCTION BANK (ASIA),INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CITIC SECURITIES BROKERAGE (HK) LTD,SPDB INTERNATIONAL SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.
2024-03-01,0.0,0.0,0.0,0.0,0.0,34.41880773342382,34.255083314178556,15.350403724419245,11.027088874538006,4.948616353440381
2024-03-04,0.0,0.0,0.0,0.0,0.0,34.503322559324,34.32254337442323,15.259046312144253,11.080305511864944,4.83478224224357
2024-03-05,0.0,0.0,0.0,0.0,0.0,34.5300044748552,34.401666073980344,15.344458276699067,11.086147372398154,4.637723802067237
2024-03-06,0.0,0.0,0.0,0.0,0.0,34.572770839647,34.385754235989076,15.357423815815475,11.096477814776028,4.587573293772428
2024-03-07,0.0,0.0,0.0,0.0,0.0,34.49577374574696,34.39477280412019,15.3092745193541,11.097617769957022,4.702561160821732
2024-03-08,0.0,0.0,0.0,0.0,0.0,34.48944313533025,34.37953155110353,15.311691238338232,11.098754790300571,4.720579284927414
2024-03-11,0.0,0.0,0.0,0.0,0.0,34.551290391542636,34.450534586659955,15.249145229360694,11.111710754647016,4.637319037789699
2024-03-12,0.0,0.0,0.0,0.0,0.0,34.55795640285908,34.48371140491231,15.204174278604313,11.143653855096563,4.610504058527727
2024-03-13,0.0,0.0,0.0,0.0,0.0,34.75172019460442,34.45729933113317,15.30118912401535,11.234546066161535,4.255245284085529
2024-03-14,0.0,45.4021915638422,0.0,0.0,0.0,18.95305201892327,18.59977998551435,8.332335745148924,6.317164954369094,2.395475732202164
2024-03-15,0.0,45.36297745839749,0.0,0.0,0.0,18.957751698408433,18.556844138290394,8.30303145029009,6.311434466156708,2.5079607884568813
2024-03-18,0.0,45.29592177284712,0.0,0.0,0.0,18.946456498686945,18.524147005712592,8.292161466547263,6.310809863546344,2.6305033926597314
2024-03-19,0.0,45.31352472213184,0.0,0.0,0.0,18.941084143101246,18.50651838348238,8.298072548548085,6.3117186986822365,2.629081504054206
2024-03-20,0.0,45.337709627883946,0.0,0.0,0.0,18.97428899063638,18.445257122240953,8.300812790599398,6.331924496723418,2.6100069719159036
2024-03-21,0.0,45.324319414562936,0.0,0.09470499801020424,0.0,18.957618978101316,18.444699089370527,8.29848620468709,6.329925726550173,2.5502455887177544
2024-03-22,0.0,45.31573767693372,0.0,0.09468706650112486,0.0,18.95750310401186,18.42692650691456,8.34630713390576,6.336446268419246,2.5223922433137322
2024-03-25,0.0,45.321012653680434,0.0,0.09469405601402628,0.0,18.955814639908077,18.427257443686006,8.33051755218369,6.33820060974236,2.532503044785408
2024-03-26,0.0,45.30004567292392,0.0,0.09465024745075842,0.0,18.955918521607632,18.412945352924105,8.354055570041194,6.332696333524298,2.5496883015280907
