date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,FIRST SHANGHAI SECURITIES LTD,LONG BRIDGE HK LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,BANK OF CHINA (HONG KONG) LTD,ORIENT SECURITIES (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD,SINOPAC SECURITIES (ASIA) LTD,GET NICE SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,58.76524922583265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.76524922583265
2024-03-04,58.7721847305842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.7721847305842
2024-03-05,58.72985423606616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.72985423606616
2024-03-06,58.73033254673867,0.0,0.0,0.0,0.0,22.11911831769259,0.0,0.0,0.0,0.0,80.84945086443128
2024-03-07,58.700916440378684,0.0,0.0,0.0,0.0,22.11911831769259,0.0,0.0,0.0,0.0,80.82003475807127
2024-03-08,58.71215674118291,0.0,0.0,0.0,0.0,22.11911831769259,0.0,0.0,0.0,0.0,80.83127505887549
2024-03-11,58.761422740452495,0.0,0.0,0.0,0.0,22.11911831769259,0.0,0.0,0.0,0.0,80.88054105814508
2024-03-13,58.779359390672006,0.0,0.0,0.0,28.007038633315645,22.11911831769259,0.0,0.0,0.0,0.0,108.90551634168024
2024-03-14,58.761661895788755,0.0,0.0,0.0,28.007038633315645,22.11792254101129,0.0,0.0,0.0,0.0,108.88662307011569
2024-03-15,58.760705274443715,0.0,0.0,0.0,28.007038633315645,22.11792254101129,0.0,0.0,0.0,0.0,108.88566644877065
2024-03-20,58.716700692571855,0.0,0.0,0.0,28.007038633315645,22.107160550879584,0.0,0.0,0.0,0.0,108.83089987676709
2024-03-21,58.71646153723559,0.0,0.0,0.0,28.007038633315645,22.107160550879584,0.0,0.0,0.0,8.325953876559247,117.15661459799007
2024-03-27,58.698046576343565,0.0,0.0,0.0,28.007038633315645,22.107160550879584,0.0,0.0,0.0,8.325953876559247,117.13819963709804
2024-03-28,58.698764042352344,0.0,0.0,0.0,28.007038633315645,22.107160550879584,0.0,0.0,0.0,8.325953876559247,117.13891710310682
2024-04-02,58.69948150836113,0.0,0.0,0.0,28.007038633315645,22.107160550879584,0.0,0.0,0.0,8.325953876559247,117.1396345691156
2024-04-03,58.699720663697384,39.28790054130323,0.0,0.0,28.007038633315645,22.107160550879584,0.0,0.0,0.0,8.325953876559247,156.4277742657551
2024-04-05,58.71622238189933,39.28479152193185,0.0,0.0,28.007038633315645,22.088984745323817,0.0,0.0,0.0,8.325953876559247,156.4229911590299
2024-04-08,58.717418158580635,39.28479152193185,0.0,0.0,28.007038633315645,22.088984745323817,0.0,0.0,0.0,8.325953876559247,156.4241869357112
2024-04-09,58.69350262495462,39.28479152193185,0.0,0.0,28.007038633315645,22.088984745323817,0.0,0.0,0.0,8.325953876559247,156.4002714020852
2024-04-10,58.693741780290885,39.28479152193185,0.0,0.0,28.007038633315645,22.088984745323817,0.0,0.0,0.0,8.325953876559247,156.40051055742143
2024-04-12,58.67413104271755,39.28479152193185,0.0,0.0,28.02186626416377,22.088984745323817,0.0,0.0,0.0,8.325953876559247,156.39572745069623
2024-04-15,58.674609353390075,39.28479152193185,0.0,0.0,28.02186626416377,22.092093764695196,0.0,0.0,0.0,8.325953876559247,156.39931478074013
2024-04-16,58.66576060594845,39.28479152193185,0.0,0.0,28.02186626416377,22.092093764695196,0.0,0.0,0.0,8.325953876559247,156.3904660332985
2024-04-17,58.665999761284716,39.248918221492836,0.0,0.0,28.02186626416377,22.092093764695196,0.0,0.0,0.0,8.325953876559247,156.35483188819578
2024-04-19,58.68489303284926,39.248918221492836,0.0,0.0,28.065153380026853,22.092093764695196,0.0,0.0,0.0,8.325953876559247,156.4170122756234
2024-04-22,58.68513218818552,39.248918221492836,0.0,30.54587616848547,28.08309003024636,22.110030414914704,0.0,0.0,0.0,8.325953876559247,186.99900089988412
2024-04-24,58.73152832341998,39.117382786549776,0.0,30.54587616848547,28.08309003024636,22.068417386405446,0.0,0.0,0.0,8.325953876559247,186.8722485716663
