date,CHONG HING SECURITIES LTD,CITIBANK N.A.,THE BANK OF EAST ASIA LTD,THE HONGKONG AND SHANGHAI BANKING,ICBC (ASIA) SECURITIES LTD,CHINA CITIC BANK INTERNATIONAL LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,24.708355357779443,0.0,0.0,75.29164464222056,0.0
2024-03-06,0.0,78.06217943387036,0.0,0.0,5.427146098772979,0.0,0.0,16.51067446735666,0.0
2024-03-07,0.0,46.23696188279848,0.0,40.78505378373278,3.2145495952226355,0.0,0.0,9.763434738246103,0.0
2024-03-08,0.0,46.45106103711161,0.0,40.62263652032075,3.201748377621531,0.0,0.0,9.724554064946112,0.0
2024-03-13,0.0,38.79017983791336,0.0,33.06517975775133,2.5910957189948918,0.0,17.63139907929948,7.9221456060409325,0.0
2024-03-14,0.0,35.500996293257295,0.0,30.231800881616007,2.3713857450489395,0.0,16.14821504757489,7.250393346199879,8.497208686302987
2024-03-15,0.0,35.50310108195257,0.0,30.233593269418524,2.371526340142865,0.0,16.14324362965782,7.250823208669803,8.497712470158417
2024-03-19,0.0,35.606181436836394,0.0,30.185273279218922,2.367736114862904,0.0,16.117443144514567,7.239234784387587,8.484131240179629
2024-03-21,0.0,35.627270430554496,0.0,30.203151552397244,2.369138488553019,0.0,16.067760796023425,7.243522471826427,8.489156260645391
2024-03-22,0.0,35.59293784933244,0.0,30.219260115149982,2.3704020459651183,0.0,16.076330382963043,7.24738573543605,8.49368387115336
2024-03-25,44.897893834002,19.59257649297492,0.0,16.662310294192295,1.3069934294009447,0.0,8.864174841216228,3.9927995771484155,4.683251531065199
2024-03-26,45.00783876525191,19.574598283381178,0.0,16.584497021256144,1.3060119337166947,0.0,8.85751822829425,3.9898011569078164,4.6797346111920035
2024-03-27,45.01093732963081,19.581904207587844,0.0,16.579625053916327,1.305628271343436,0.0,8.85491618739637,3.9886290875406294,4.678359862584583
2024-03-28,39.38497810858756,17.12689168379267,12.520019987370718,14.501012743504727,1.1419397084953378,0.0,7.74476214380795,3.488568712467832,4.0918269119732065
2024-04-02,39.450115767069846,17.125424968582934,12.464710305143264,14.499770903692799,1.1418419148985792,0.0,7.744098896755196,3.4825607483449215,4.091476495512461
2024-04-03,39.47205189676218,17.117606728244912,12.459019812726975,14.21352779382522,1.1413206318042861,0.0,7.740563496816956,3.766301018922554,4.089608620896914
2024-04-08,39.47430453867199,17.11858361787843,12.459730840120702,14.214338949740762,1.1413857661604745,0.0,7.741005245266823,3.7608090302104555,4.089842011950366
2024-04-12,39.63349052925197,17.09370771167034,12.441624955739409,14.193683352851636,1.139727159005815,0.0,7.658523439586013,3.75534400256621,4.083898849328611
2024-04-15,39.62897390746738,17.09175971739583,12.440207111548538,14.203461817323184,1.1395972760092352,0.0,7.657650676341012,3.754916044586629,4.083433449328192
