date,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,DBS BANK (HONG KONG) LTD
2024-03-12,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-13,0.0,69.8859166011015,0.0,30.114083398898504,0.0,0.0
2024-03-14,0.0,69.6461824953445,0.0,30.353817504655495,0.0,0.0
2024-03-22,0.0,69.61640341410772,0.0,30.38359658589228,0.0,0.0
2024-04-03,0.0,49.250416093486834,29.254581279465704,21.495002627047455,0.0,0.0
2024-04-11,0.0,43.437805806575625,25.801910346462353,18.96425061848524,11.79603322847678,0.0
2024-04-18,0.0,43.44046499271218,25.803489894071074,18.959289752315335,11.796755360901406,0.0
2024-04-19,0.0,43.44578434184911,25.80664956954234,18.949366197579344,11.798199891029206,0.0
2024-04-26,0.0,43.536413009777206,25.860482693045693,18.780293154302147,11.822811142874954,0.0
2024-04-30,0.0,43.54175588426241,25.86365634249459,18.770325711662725,11.824262061580278,0.0
2024-05-06,0.0,43.41388777354611,25.787703115401023,19.008871098140894,11.789538012911974,0.0
2024-05-07,0.0,43.36083077689685,25.756187438092347,19.10785200667368,11.775129778337124,0.0
2024-05-13,0.0,43.24456064815308,25.687123373227355,19.361325983537533,11.70698999508203,0.0
2024-05-20,39.25094731644889,26.36546025724359,15.660994591435703,11.804265394202774,6.918332440669047,0.0
2024-05-29,39.26699609981416,26.335352836726933,15.667398001459324,11.80909187893881,6.92116118306077,0.0
2024-05-31,39.17656241232713,26.374567150450183,15.690727336147386,11.82667605320822,6.931467047867078,0.0
2024-06-03,39.38475341721959,26.514726146047206,15.212754331002753,11.919464047305626,6.968302058424827,0.0
2024-06-13,39.347939731743296,26.489942322254013,15.198534677340408,12.001794616010638,6.961788652651654,0.0
2024-06-20,39.30679002275794,26.604168123537132,15.182640191295135,11.951893583506784,6.95450807890301,0.0
2024-06-21,39.314131871515066,26.609137335690026,15.185476053698396,11.954125996659846,6.937128742436667,0.0
2024-06-25,39.30532198205295,26.60317450381634,15.182073145911959,12.141923390693096,6.767506977525651,0.0
2024-07-05,39.254009551458374,26.568444511121058,14.636330046115889,12.78254377925198,6.758672112052697,0.0
2024-07-08,39.685694847777,27.147250667064547,15.67399326504391,10.464331218722034,7.028730001392507,0.0
2024-07-09,39.51192025713565,27.20480560463749,15.689882051098621,10.429885449859638,7.163506637268606,0.0
2024-07-10,39.43936426532992,27.042422324080263,15.661070620367745,11.059061568508987,6.7980812217130815,0.0
2024-07-11,39.449713088241886,27.023278378291117,15.66518005898272,11.061963447681661,6.799865026802621,0.0
2024-07-12,39.557961060149,27.097428856196704,15.159374849047605,11.36671172994019,6.818523504666503,0.0
2024-07-15,39.51192025713565,27.065890643642238,15.141731123928173,11.46987042812138,6.810587547172564,0.0
2024-07-16,39.452670892398615,27.025304491001673,15.268978761878243,11.452670997365807,6.800374857355671,0.0
