date,CLSA LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CHINA GALAXY INTERNATIONAL SECURITIES
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-11,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-12,78.70636406411117,0.0,0.0,0.0,0.0,9.585640060467119,11.70799587542172,0.0
2024-03-25,78.55105333886189,0.0,0.0,0.0,0.0,9.556733425586868,11.892213235551248,0.0
2024-04-02,78.45111461472449,0.0,0.0,0.0,0.0,9.494681381842856,12.054204003432654,0.0
2024-04-03,78.50987127892229,0.0,0.0,0.0,0.0,9.426896613706948,12.063232107370753,0.0
2024-04-05,78.55890243963368,0.0,0.0,0.0,0.0,9.370331696252366,12.070765864113952,0.0
2024-04-11,78.54516754251004,0.0,0.0,0.0,0.0,9.386176993625991,12.06865546386397,0.0
2024-04-12,78.54320580639683,0.0,0.0,0.0,0.0,9.388440155250183,12.06835403835299,0.0
2024-04-18,43.21351717542042,44.98258960103116,0.0,0.0,0.0,5.150290081706577,6.653603141841848,0.0
2024-04-22,43.05260073982197,44.815085577852436,0.0,0.0,0.0,5.503486910736728,6.628826771588865,0.0
2024-04-23,43.040815935487224,44.80281832789066,0.0,0.0,0.0,5.529353476238835,6.627012260383277,0.0
2024-04-30,43.056137439655195,44.81876706289551,0.0,0.0,0.0,5.495724178721936,6.629371318727357,0.0
2024-05-02,43.050832607779036,44.813245062123876,0.0,0.0,0.0,5.5073677985313685,6.628554531565718,0.0
2024-05-08,43.01373535438089,44.774629123547065,0.0,0.0,0.0,5.5887928699805505,6.622842652091489,0.0
2024-05-21,40.274270141233245,41.923015844556346,0.0,0.0,6.554513367723825,5.267431317203613,5.980769329282974,0.0
2024-05-22,40.274785931820915,41.92355275054878,0.0,0.0,6.554597311052654,5.266218081877397,5.980845924700253,0.0
2024-06-04,40.29542839423597,41.94504027287661,0.0,0.0,6.55795680820475,5.217663173702568,5.983911350980105,0.0
2024-06-07,40.292330676014686,41.9418157404489,0.0,0.0,6.557452664109285,5.22494958269591,5.983451336731216,0.0
2024-06-18,40.24489189998541,41.892434918595455,0.0,0.0,6.549732149484392,5.336534400810846,5.976406631123897,0.0
2024-06-21,40.147273224001864,41.79081993499348,0.0,0.0,6.533845010762078,5.323590014630298,6.204471815612289,0.0
2024-07-02,40.14317335260012,41.78655222329733,0.0,0.0,6.533177769324445,5.333258444751374,6.20383821002673,0.0
2024-07-03,40.13907431847713,41.782285383156385,0.0,0.0,6.5325106641513475,5.342924900378574,6.203204733836568,0.0
2024-07-08,40.156500997285235,41.80042547431703,0.0,0.0,6.53534680243026,5.301828824480352,6.205897901487116,0.0
2024-07-09,40.11296264171352,41.75510474810453,0.0,0.0,6.528261069216404,5.362409053338368,6.241262487627172,0.0
2024-07-10,40.104777742636486,41.74658477611027,0.0,0.0,6.526929002111878,5.381719497638165,6.239988981503208,0.0
2024-07-11,40.056758836087205,41.6966000743877,0.0,0.0,6.51911407303242,5.375275769479643,6.352251247013029,0.0
2024-07-15,40.04655687936471,41.685980470560665,0.0,0.0,6.517453736011287,5.399375506191454,6.350633407871882,0.0
2024-07-17,40.05012697304911,41.68969671653044,0.0,0.0,6.518034757757837,5.3909419948395705,6.351199557823042,0.0
