date,CMB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,VICTORY SECURITIES CO LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,REALINK FINANCIAL TRADE LTD,CHINA GALAXY INTERNATIONAL SECURITIES,HANG SENG SECURITIES LTD
2024-03-01,0.0,37.6732727565615,16.055115095838197,19.97596484797516,0.0,8.464133087592412,7.198839350024477,0.0,4.9505593003797665,5.682115561628483
2024-03-04,0.0,37.62323001204567,16.03988801657573,19.93926423261052,0.0,8.386473105823693,7.189276876364922,0.0,5.147299950602525,5.674567805976951
2024-03-05,0.0,35.28149925183543,15.05443104545418,18.77468246937071,0.0,7.762093423268049,6.805635958929132,6.155409899065019,4.820367910852071,5.345880041225412
2024-03-06,0.0,35.27830905861794,15.069797887997035,18.769622587134222,0.0,7.757691832045924,6.804836967976477,6.154687245539482,4.8198019930785545,5.345252427610358
2024-03-07,0.0,35.316247080722064,15.17384587068924,18.81184248099233,0.0,7.625668219359209,6.802549005131967,6.171649538042183,4.75474259008338,5.3434552149796275
2024-03-08,0.0,35.32988093616598,15.184190738213857,18.846690132348062,0.0,7.644023323314501,6.805052892976454,6.189786756658197,4.566106086446479,5.4342691338764695
2024-03-11,0.0,35.36597306076506,15.178702876337033,18.83515528855374,0.0,7.642198961172768,6.797716790393769,6.185998387302261,4.563311467333754,5.430943168141616
2024-03-12,0.0,35.32744677021953,15.154924300517013,18.969110626779543,0.0,7.632299807909845,6.75692420439672,6.1779854912194425,4.557400482834254,5.423908316123657
2024-03-13,0.0,35.270322034377884,15.233945736893068,19.010847818345507,0.0,7.640163788448401,6.668776517283378,6.184351011297688,4.562096224564193,5.42949686878988
2024-03-14,0.0,35.14057107366049,15.549981943928422,18.962622866695064,0.0,7.6055629269282585,6.638574885594253,6.156343251404188,4.541435350782091,5.404907701007235
2024-03-15,0.0,35.067214680679626,15.613097428975827,18.96898970581861,0.0,7.582876054085141,6.61877247179057,6.137979301507899,4.527888560450026,5.483181796692297
2024-03-18,0.0,35.17213073558392,15.755750939669207,18.569073882509848,0.0,7.637122588851692,6.638574885594253,6.156343251404188,4.541435350782091,5.529568365604797
2024-03-19,0.0,35.25100768643355,15.939747812102864,18.142902679390644,0.0,7.749140897546877,6.653462540507718,6.170149454608227,4.551619964720992,5.541968964689124
2024-03-20,0.0,35.21380582834567,15.932405048672502,18.310494322522374,0.0,7.662918176183134,6.633802041438434,6.163637838644417,4.546816450407195,5.536120293786273
2024-03-21,0.0,35.16227747203187,15.983523619961332,18.326053457679514,0.0,7.6654613393522535,6.620199890843351,6.165683421851575,4.548325444222287,5.52847535405782
2024-03-22,0.0,35.194307659975046,15.94538214499267,18.31989155913129,0.0,7.689363003091146,6.616832707466888,6.162547415829868,4.546012063043616,5.525663446469483
2024-03-25,54.64148959232279,15.962849680685784,7.267566004995288,8.31669753604218,0.0,3.49074699133069,2.9510723434926707,2.7976171552953066,2.0637571571589413,2.508203538676353
2024-03-26,54.63435933759035,15.960766663086371,7.284398920062518,8.272593072232295,0.0,3.5285785704354318,2.950687253377083,2.7972520897908715,2.063487854210829,2.507876239214259
2024-03-27,54.5797297494194,15.954118797942634,7.3630675358738475,8.26432120159775,0.0,3.5250503000124085,2.9527507125556043,2.7943118280181265,2.06142454655905,2.5052253280211727
2024-03-28,54.54277204426429,15.942599961864989,7.310267338598302,8.364518156906046,0.0,3.522663374129064,2.9550460181563025,2.7985754582374556,2.0600286891420017,2.5035289587015512
2024-04-02,54.51537910543192,15.93459313255991,7.268106030972385,8.410397029562064,0.0,3.5452186529450875,2.953561909597308,2.7971699336652343,2.0733025903529207,2.502271614913173
2024-04-03,54.50103026387979,15.95013957428443,7.268481771428556,8.422488092701915,0.0,3.5485769479042855,2.9384797703813375,2.7964336983343765,2.072756882135409,2.501612998949899
2024-04-05,54.509217536038314,15.948243574749915,7.3210784611540225,8.353649581083337,0.0,3.572573321845416,2.9389211956809316,2.802719609745373,2.05876136724022,2.494835352462471
2024-04-08,54.5540181382991,15.961351282940333,7.236172170579066,8.339037393465626,0.0,3.5755095855394172,2.9413366667794927,2.821489583238726,2.060453443430869,2.5106317357273698
2024-04-09,54.56253389099635,15.968139076900881,7.2307141136560364,8.326018214321614,0.0,3.5769269670808055,2.9417958024492092,2.8361076853132188,2.060775075321007,2.496989173960881
2024-04-10,54.56362785006521,15.969175290824051,7.228281276220944,8.326185147975231,0.0,3.5768554714706022,2.9418547843909804,2.8361645482464692,2.06081639311587,2.4970392376906405
2024-04-11,54.55409625238907,15.96638567143675,7.233461984803623,8.33904933385681,0.0,3.576087451932105,2.938190771317189,2.8356691050275633,2.0604563937258455,2.496603035511038
2024-04-12,54.568551208777805,15.96345498246178,7.217618749659313,8.341258894691375,0.0,3.5754595210610676,2.938969290665482,2.8364204596656535,2.061002343697675,2.4972645493198513
2024-04-15,54.54199123768533,15.955685142627695,7.271367707092667,8.328609686456083,0.0,3.573719249431748,2.9375388158283715,2.835039898083093,2.059999198819214,2.4960490639758035
2024-04-16,54.54121045346131,15.956888261063057,7.271263615381604,8.328490460023316,0.0,3.5736680906172684,2.9374967641189857,2.8349993136750675,2.0599697093407503,2.4960133323186464
2024-04-17,54.56401856036377,15.962129003902593,7.233918331690418,8.33197327786269,0.0,3.575162531301057,2.9387251699366166,2.8361848569895103,2.0608311498727048,2.4970571180806456
2024-04-18,54.56128370577286,15.961328950993387,7.24042962002809,8.329693991035427,0.0,3.574983337210886,2.9385778753231606,2.8360427018957055,2.0607278570126843,2.4969319607278084
2024-04-19,54.56104930242148,15.9612603787615,7.257010286443364,8.325362057409595,0.0,3.560790690062777,2.9408565297055773,2.836030517836446,2.0607190038207666,2.4969212335384907
2024-04-22,54.686613548873616,15.780345056247553,7.29007416335721,8.315671221804816,0.0,3.568985327180059,2.947624479347263,2.842557225798266,2.0654614461339658,2.50266753125725
2024-04-23,54.69485667768933,15.782723689858477,7.276099630805779,8.316924675705543,0.0,3.5695232944061157,2.948068786403539,2.8429856956532764,2.065772781279067,2.5030447681988752
2024-04-24,54.67868678815916,15.77834474106467,7.267490421494209,8.362829989934983,0.0,3.5627274591593894,2.947197224624259,2.8478857482198965,2.0651620599115255,2.489675567431907
2024-04-25,54.683944877771815,15.779862040682879,7.2628787709251466,8.362198913331518,0.0,3.560199513322377,2.9474806371936437,2.848159610657902,2.0653606529614597,2.489914983153259
2024-04-26,54.69509223217051,15.693930031150552,7.244117810848634,8.363903552509392,0.0,3.6499304490500024,2.9480814828590307,2.848740209673481,2.0657816779480647,2.490422553790342
