date,MIB SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,PRUDENTIAL BROKERAGE LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,EVERBRIGHT SECURITIES INVESTMENT,CITIBANK N.A.
2024-03-05,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,0.0,67.31910470612196,0.0,32.68089529387804,0.0,0.0,0.0
2024-04-03,0.0,57.31377731007019,0.0,27.75223323726726,14.933989452662544,0.0,0.0
2024-04-18,0.0,57.31364969461061,0.0,27.752316205817195,14.934034099572186,0.0,0.0
2024-04-29,0.0,51.104988200631354,0.0,24.849666331479433,13.372064573100994,0.0,10.673280894788222
2024-05-06,0.0,50.995778528589256,0.0,24.796563415189496,13.343488912720819,0.0,10.864169143500432
2024-05-07,0.0,50.99446948858557,0.0,24.797225800847094,13.34384535468135,0.0,10.86445935588599
2024-05-22,0.0,50.66962287907102,0.0,24.639261715573593,13.365012497864646,0.0,11.326102907490746
2024-05-24,0.0,50.61588372402072,0.0,24.613129823713685,13.456895775489777,0.0,11.314090676775827
2024-05-27,0.0,49.823260908532575,0.0,24.227698871540294,14.8121233025943,0.0,11.136916917332833
2024-05-28,0.0,49.35949194983581,0.0,24.00218062017773,15.60507607503675,0.0,11.033251354949716
2024-06-03,0.0,49.25760225018369,0.0,23.95263442596505,15.77928721682923,0.0,11.01047610702203
2024-06-04,0.0,49.35949194983581,0.0,24.00218062017773,15.60507607503675,0.0,11.033251354949716
2024-06-11,0.0,49.41059503299009,0.0,24.02703066185489,15.517699956588851,0.0,11.044674348566163
2024-06-27,0.0,49.30050129644562,0.0,23.926594701621806,15.726800115847078,0.0,11.0461038860855
2024-08-21,0.0,49.22481048930003,0.0,24.043389811162864,15.702654840174771,0.0,11.029144859362336
2024-08-29,0.0,49.21168337778566,0.0,24.049605844274232,15.70671450992972,0.0,11.031996268010381
2024-08-30,0.0,49.199206333280024,0.0,24.05551405353216,15.710573140989212,0.0,11.034706472198598
2024-09-09,0.0,49.14836775566999,0.0,24.030656983483603,15.797671183588713,0.0,11.023304077257698
2024-09-16,0.0,49.14836775566999,0.0,23.927324874291322,15.901003292780992,0.0,11.023304077257698
2024-09-17,0.0,49.71343713019468,0.0,23.052700936312327,16.08382055396929,0.0,11.15004137952371
2024-09-27,0.0,49.97460476631867,0.0,23.173807416921232,15.642970122302687,0.0,11.208617694457407
2024-09-30,0.0,1.77880935809712,0.0,0.8248546574547827,0.5680196207831338,0.0,0.3989625158510787
2024-10-02,0.0,49.86980911417983,0.0,21.971874490827503,16.973202926458768,0.0,11.185113468533899
2024-10-03,0.0,50.14914477011694,0.0,22.061996693731786,16.54109391528771,0.0,11.247764620863567
2024-10-04,0.0,50.030472823934645,0.0,22.021364338471354,16.72111362043143,0.0,11.227049217162573
2024-10-08,0.0,49.76906905404136,0.0,21.860320652860366,17.225665225191754,0.0,11.144945067906518
2024-10-09,0.0,45.687990293688145,0.0,22.7875183648191,21.000731090710197,0.0,10.523760250782562
2024-10-10,0.0,49.59228361555234,0.0,19.65689830325802,20.42067960509771,0.0,10.330138476091927
2024-10-14,0.0,49.64035255133103,0.0,19.675951392030306,20.343544757446246,0.0,10.340151299192422
2024-10-15,0.0,49.59228361555234,0.0,19.65689830325802,20.42067960509771,0.0,10.330138476091927
2024-10-16,0.0,48.78912449369619,0.0,19.338550043636655,21.70948609728826,0.0,10.162839365378893
2024-10-17,0.0,48.88226097983671,0.0,19.375466561750226,21.560032639397747,0.0,10.182239819015322
2024-10-18,0.0,48.92896269567262,0.0,19.29843853615236,21.580630919787303,0.0,10.191967848387714
2024-10-21,0.0,49.44756696610176,0.0,19.541141360536308,20.691146647416552,0.0,10.320145025945376
2024-10-22,0.0,49.543424295009295,0.0,19.579023135708574,20.537401270089713,0.0,10.340151299192422
2024-10-23,0.0,49.39977726681466,0.0,19.812197053245566,20.477854787357266,0.0,10.31017089258251
2024-10-24,0.0,49.328265669964864,0.0,19.928277694776124,20.448210846090234,0.0,10.295245789168773
2024-10-28,0.0,49.32643178124012,0.0,19.928998930081203,20.448950898583163,0.0,10.295618390095521
2024-11-01,0.0,49.06598490438374,0.0,20.351779200259895,20.340979062709344,0.0,10.241256832647021
2024-11-05,0.0,49.06598490438374,0.0,21.311791426975617,19.380966835993625,0.0,10.241256832647021
2024-11-06,0.0,49.06751583037553,0.0,21.309336246997347,19.381571548727564,0.0,10.241576373899564
2024-11-12,0.0,32.13031321324263,27.02208728430911,16.586100201274633,17.304938179933835,0.0,6.956561121239793
2024-11-13,0.0,33.411245500337245,23.31363925252723,18.510469574861446,17.748907243549475,0.0,7.015738428724605
2024-11-14,0.0,33.58795931449655,22.709701655155925,18.60837241061238,17.975008436037907,0.0,7.118958183697238
2024-11-15,0.0,33.654709880717434,22.48985531132813,18.64535350205729,18.076975359151394,0.0,7.133105946745751
2024-11-18,0.0,33.32180357307794,21.896343571319672,18.495511608781882,19.23766900977841,0.0,7.048672237042096
2024-11-19,0.0,33.02041836707727,21.613379434467,18.062652647652307,20.410581033365037,0.0,6.89296851743838
2024-11-21,0.0,33.0957251534104,21.620364376638225,18.03617240032889,20.352541904877572,0.0,6.895196164744917
2024-11-25,0.0,36.32749286118672,21.620364376638225,18.03617240032889,17.120774197101245,0.0,6.895196164744917
2024-11-27,0.0,35.662605267907935,21.648349351182148,18.05951806725199,17.7254061425725,0.0,6.904121171085433
2024-11-28,0.0,35.6857007025719,21.662369023448573,18.071213579019894,17.672124350828348,0.0,6.908592344131289
2024-12-02,0.0,35.708826070257096,21.67640686602241,17.434895284027533,18.266802467616536,0.0,6.913069312076428
2024-12-12,0.0,35.639539708185715,21.63434781396702,17.40106609947386,18.42539059667848,0.0,6.899655781694928
2024-12-16,0.0,35.6857007025719,21.662369023448573,17.42360428378006,18.31973364606818,0.0,6.908592344131289
2024-12-18,0.0,33.67811188732841,21.662369023448573,17.42360428378006,20.32732246131166,0.0,6.908592344131289
2024-12-23,0.0,33.80671404912119,21.620364376638225,17.389818858773626,20.287906550722045,0.0,6.895196164744917
2025-01-09,0.0,33.80807979737808,21.621237811865253,17.386481512507704,20.288726156347344,0.0,6.895474721901618
2025-01-10,0.0,33.699167516280106,21.55158528074355,17.33047119269233,20.545514968831473,0.0,6.873261041452546
2025-01-14,0.0,33.69943892202,21.55175885250749,17.329805390351016,20.545680437924705,0.0,6.873316397196794
2025-01-17,0.0,33.76303859534184,21.51018165853936,17.29637309904358,20.57035010541997,0.0,6.860056541655244
2025-01-24,0.0,31.608012637428416,22.21001750321815,17.859112273905144,21.239608439444783,0.0,7.083249146003505
2025-01-27,0.0,31.562571446207105,22.224774343767937,17.870978274107465,21.253720518151397,0.0,7.087955417766093
2025-02-04,0.0,31.563882181262848,22.22569729742803,17.86756760815291,21.254603145747048,0.0,7.088249767409163
2025-02-06,0.0,30.56862681252821,21.524888555584884,20.457323323745623,20.58441442277411,0.0,6.8647468853671745
2025-02-11,0.0,30.551868130113995,21.530084027815146,20.46226111726588,20.58938289233127,0.0,6.866403832473711
2025-02-12,0.0,26.556834913712002,18.71476024870172,17.786568341360226,17.9530162572337,13.020283315053902,5.96853692393845
2025-02-19,0.0,26.460659792973523,18.739267557508413,17.80986016648437,17.976526048841002,13.037333605825049,5.976352828367642
2025-02-27,0.0,26.490340707312427,18.760287388438552,17.82983748141624,17.88452034213636,13.051957579111798,5.983056501584625
