date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCOM INTERNATIONAL SECURITIES LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.,BRIGHT SMART SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,2.9229236717385882,0.0,0.0,0.0,0.0,0.0,2.9229236717385882
2024-03-04,0.0,0.0,2.916438263906211,0.0,0.0,0.0,0.0,0.0,2.916438263906211
2024-03-05,4.956465452731354,0.0,2.947867548016962,0.0,0.0,0.0,0.0,0.0,7.904333000748316
2024-03-07,4.956465452731354,0.0,3.068097031678723,0.0,0.0,0.0,0.0,0.734846595160888,8.759409079570965
2024-03-08,4.956465452731354,0.0,3.069593664255425,0.0,0.0,0.0,0.0,0.734846595160888,8.760905712147668
2024-03-11,4.956465452731354,0.0,3.0705914193065604,0.0,0.0,0.0,0.0,0.734846595160888,8.761903467198803
2024-03-14,4.956465452731354,0.0,3.0705914193065604,0.0,0.0,1.1784734347717636,0.0,0.734846595160888,9.940376901970566
2024-03-15,4.956465452731354,0.0,3.070092541780993,0.0,0.0,1.1784734347717636,0.0,0.734846595160888,9.939878024445
2024-03-18,4.943993514592168,0.0,2.9812923422299824,1.374906460463956,0.0,1.1774756797206287,0.0,0.734846595160888,11.212514592167624
2024-03-19,4.9429957595410325,0.0,2.9812923422299824,1.374906460463956,0.0,1.1774756797206287,0.0,0.734846595160888,11.211516837116488
2024-03-25,4.938006984285358,0.0,2.986281117485657,1.374906460463956,0.0,1.1774756797206287,0.0,0.734846595160888,11.211516837116488
2024-04-03,4.937508106759791,0.0,2.986281117485657,1.3754053379895235,0.0,1.1774756797206287,0.0,0.734846595160888,11.211516837116488
2024-04-08,4.937508106759791,0.0,2.999750810675979,1.3754053379895235,0.0,1.1774756797206287,0.0,0.734846595160888,11.22498653030681
2024-04-29,4.937508106759791,0.0,3.0132205038663007,1.3754053379895235,0.0,1.1774756797206287,0.0,0.7218757794961337,11.225485407832377
2024-04-30,4.937508106759791,0.0,3.0296834622100275,1.3754053379895235,0.0,1.1774756797206287,0.0,0.7218757794961337,11.241948366176103
2024-05-07,4.937508106759791,0.0,3.0132205038663007,1.3754053379895235,0.0,1.1774756797206287,0.0,0.7218757794961337,11.225485407832377
2024-05-10,4.937508106759791,0.0,3.0132205038663007,1.3754053379895235,1.189324020952856,1.1774756797206287,0.0,0.7218757794961337,12.414809428785233
2024-05-20,4.937508106759791,0.0,3.0132205038663007,1.3754053379895235,1.189324020952856,1.1754801696183588,0.0,0.7218757794961337,12.412813918682964
2024-05-22,4.937508106759791,0.0,3.0137193813918683,1.3754053379895235,1.189324020952856,1.1754801696183588,0.0,0.7218757794961337,12.413312796208531
2024-05-27,4.937508106759791,0.0,3.0132205038663007,1.3754053379895235,1.189324020952856,1.1754801696183588,0.0,0.7218757794961337,12.412813918682964
2024-05-28,4.937508106759791,0.0,3.0306812172611624,1.3754053379895235,1.189324020952856,1.1754801696183588,0.0,0.7218757794961337,12.430274632077824
2024-05-31,4.937508106759791,0.0,3.0910453978548267,1.3754053379895235,1.189324020952856,1.1754801696183588,0.0,0.7967074083312548,12.56547044150661
