date,SDICS INTERNATIONAL SECURITIES (HONG,VALUABLE CAPITAL LTD,CITIBANK N.A.,HAITONG INTERNATIONAL SECURITIES CO LTD,FIRST SHANGHAI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-14,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,55.76433375289624,44.23566624710376,0.0,0.0,0.0
2024-03-19,0.0,0.0,55.76387697230064,44.23612302769936,0.0,0.0,0.0
2024-03-20,0.0,0.0,55.75519956257574,44.24480043742427,0.0,0.0,0.0
2024-03-21,49.74802427798786,0.0,19.5683120949321,15.5314003837299,15.15226324335014,0.0,0.0
2024-03-25,49.750612697474736,0.0,19.56819960014455,15.529011566729292,15.152176135651418,0.0,0.0
2024-03-28,49.75032669158907,0.0,19.568087106650424,15.529497172806275,15.152089028954228,0.0,0.0
2024-04-26,49.75032669158907,0.0,19.568087106650424,15.529784612367473,15.15180158939303,0.0,0.0
2024-04-29,49.750183689879385,0.0,19.568030860388383,15.530027412486023,15.151758037246212,0.0,0.0
2024-05-02,49.74975468968277,0.0,19.56786212354233,15.530755804466922,15.15162738230798,0.0,0.0
2024-05-03,46.010738990111534,0.0,18.097210777755024,14.363784932214955,14.013416295628806,7.514849004289685,0.0
2024-05-09,46.010616678449665,0.0,18.097162669422623,14.362151751414656,14.015239873361162,7.5148290273518965,0.0
2024-06-19,46.010494367438085,0.0,18.097114561345997,14.362379404347934,14.015202616347668,7.514809050520318,0.0
2024-06-20,46.00658075838827,0.0,18.095575237930834,14.361423563504715,14.022250592192421,7.514169847983763,0.0
2024-06-21,46.0041350908034,0.0,18.094613293768518,14.361191714233213,14.026289499579889,7.513770401614975,0.0
2024-06-24,46.00071159298382,0.0,18.093266743745673,14.359059892386439,14.033750522843782,7.51321124804028,0.0
2024-06-25,45.99810176207579,0.0,18.09244929329108,14.358942679950735,14.03763446214066,7.512871802541733,0.0
2024-06-26,45.99749053909362,0.0,18.09220888074386,14.35928339843521,14.038245210259722,7.512771971467583,0.0
2024-06-27,45.99113478288247,0.0,18.089708968952596,14.356767841184412,14.050654521429385,7.511733885551133,0.0
