date,FIRST SHANGHAI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,CMB INTERNATIONAL SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,8.774022532498796,0.0,0.0,4.989306836783823,0.0,0.0,13.763329369282621
2024-03-04,0.0,8.756449109292248,0.0,1.2541646605681271,4.988247616754935,0.0,0.0,14.998861386615312
2024-03-05,0.0,8.756449109292248,3.3093403948001927,1.2541646605681271,4.987621714010592,0.0,0.0,18.30757587867116
2024-03-07,0.0,8.756449109292248,3.3093403948001927,1.2608570052961001,4.987621714010592,0.0,0.0,18.314268223399132
2024-03-08,0.0,8.753127010110736,3.3093403948001927,1.256331246990852,4.987621714010592,0.0,0.0495907558979297,18.356011121810305
2024-03-11,53.4142241694752,8.753127010110736,3.3093403948001927,1.2717862301396246,4.987621714010592,0.0,0.0495907558979297,71.78569027443427
2024-03-12,53.4142241694752,8.753127010110736,3.3093403948001927,1.2885893115069813,4.987621714010592,0.0,0.0495907558979297,71.80249335580163
2024-03-13,53.4142241694752,8.753127010110736,3.3093403948001927,1.2876263842079925,4.987621714010592,0.0,1.680259990370727,73.43219966297545
2024-03-14,53.43073837265286,8.753127010110736,3.3093403948001927,1.2878189696677902,4.987621714010592,0.0,1.680259990370727,73.4489064516129
2024-03-15,53.43073837265286,8.753127010110736,3.3093403948001927,1.2982185844968706,4.987621714010592,0.0,1.680259990370727,73.45930606644198
2024-03-18,53.43073837265286,8.753127010110736,3.3093403948001927,1.3009147809340396,4.987621714010592,0.0,1.680259990370727,73.46200226287915
2024-03-21,53.43073837265286,8.742534809821858,3.3093403948001927,1.3028887818969668,4.987621714010592,0.0,1.680259990370727,73.4533840635532
2024-03-22,53.43073837265286,8.742534809821858,3.3093403948001927,1.306259027443428,4.987621714010592,0.0,1.680259990370727,73.45675430909967
2024-03-25,53.43073837265286,8.742534809821858,3.3086663456909005,1.3038517091959558,4.987621714010592,0.0,1.680259990370727,73.4536729417429
2024-03-26,53.43073837265286,8.742534809821858,3.3086663456909005,1.3487722676937892,4.987621714010592,0.0,1.680259990370727,73.49859350024073
2024-03-27,53.43073837265286,8.718461627347136,3.3086663456909005,1.34347616754935,4.987621714010592,0.0,1.680259990370727,73.46922421762156
2024-03-28,53.43073837265286,8.71364699085219,3.3086663456909005,1.3599422243620607,4.987621714010592,0.0,1.680259990370727,73.48087563793933
2024-04-02,53.339404718343765,8.71364699085219,3.3086663456909005,1.3750120365912375,4.987621714010592,0.0,1.680259990370727,73.40461179585941
2024-04-05,53.339404718343765,8.71364699085219,3.3086663456909005,1.393740972556572,4.9791961001444385,0.0,1.680259990370727,73.41491511795859
2024-04-08,53.339404718343765,8.714032161771785,3.3086663456909005,1.393837265286471,4.976211025517573,0.0,1.680259990370727,73.41241150698123
2024-04-09,53.339404718343765,8.714032161771785,3.3086663456909005,1.394077997111218,4.965955849783342,0.0,1.680259990370727,73.40239706307173
2024-04-10,53.339404718343765,8.714995089070774,3.3086663456909005,1.395907558979297,4.94867130476649,0.0,1.680259990370727,73.38790500722196
2024-04-11,53.339404718343765,8.714995089070774,3.3086663456909005,1.3964853153586905,4.930520125180548,0.0,1.680259990370727,73.3703315840154
2024-04-12,53.339404718343765,8.714995089070774,3.3086663456909005,1.3966779008184882,4.930375686085701,0.0,1.680259990370727,73.37037973038035
2024-04-15,53.339404718343765,8.714995089070774,3.3086663456909005,1.3972556571978816,4.929653490611459,0.0,1.680259990370727,73.37023529128551
2024-04-16,53.339404718343765,8.714995089070774,3.3086663456909005,1.3957631198844487,4.929653490611459,0.0,1.680259990370727,73.36874275397207
2024-04-17,53.339404718343765,8.714995089070774,3.3086663456909005,1.3969667790081848,4.925416610495907,0.0,1.680259990370727,73.36570953298026
2024-04-18,53.339404718343765,8.714032161771785,3.3086663456909005,1.3972075108329323,4.923635194992778,0.0,1.680259990370727,73.36320592200289
2024-04-19,53.339404718343765,8.714032161771785,3.3086663456909005,1.3972556571978816,4.923490755897929,0.0,1.680259990370727,73.363109629273
2024-04-22,53.339404718343765,8.714417332691383,3.3086663456909005,1.3968223399133366,4.923490755897929,0.0,1.680259990370727,73.36306148290804
2024-04-23,53.339404718343765,8.714417332691383,3.3086663456909005,1.3946076071256621,4.915787337506019,0.0,1.680259990370727,73.35314333172846
2024-04-24,53.339404718343765,8.714417332691383,3.3086663456909005,1.399662975445354,4.915546605681271,0.0,1.680259990370727,73.3579579682234
2024-04-25,53.339404718343765,8.714417332691383,3.3086663456909005,1.3978815599422243,4.915257727491575,0.0,1.680259990370727,73.35588767453058
2024-04-26,53.339404718343765,8.714417332691383,3.3086663456909005,1.3930669234472797,4.915113288396726,0.0,1.680259990370727,73.35092859894078
2024-04-30,53.339404718343765,9.065211747713048,3.3086663456909005,1.4248435243139144,4.156230284063553,0.0,1.680259990370727,72.97461661049591
2024-05-02,53.339404718343765,9.06501916225325,3.3086663456909005,1.4320654790563314,4.154689600385171,0.0,1.680259990370727,72.98010529610013
2024-05-03,53.339404718343765,9.06501916225325,3.3086663456909005,1.4320654790563314,4.1378865190178145,0.0,1.680259990370727,72.96330221473278
2024-05-06,53.339404718343765,9.06501916225325,3.3086663456909005,1.433991333654309,4.098406499759268,0.0,1.680259990370727,72.92574805007222
