date,CHINA SECURITIES DEPOSITORY AND CLEARING,ICBC INTERNATIONAL SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,"INDUSTRIAL BANK CO., LTD.",BANK OF CHINA (HONG KONG) LTD,CHINA CITIC BANK INTERNATIONAL LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,ADVENT SECURITIES (HONG KONG) LTD,"CHINA MINSHENG BANKING CORP., LTD.",CHINA SECURITIES DEPOSITORY AND CLEARING
2024-04-23,94.36162323414882,0.0,1.3391797183360115,1.659600326662491,0.011776014932462733,0.9979726594090481,0.8650018241299899,0.0,0.7648462223811654,0.0
2024-04-25,94.07904485202982,0.0,1.6201197439398736,1.6546304336148823,0.025542061129742263,0.9949989222450961,0.8631081980017318,0.0,0.762555789038852,0.0
2024-04-26,94.07639510184663,0.0,1.6200741130281753,1.6545838307045158,0.02699407039889016,0.9949708979536012,0.864447674525689,0.0,0.7625343115425096,0.0
2024-04-29,94.07593489729136,0.0,1.6200661879212888,1.6545757367823888,0.02732005951503752,0.9949660307375574,0.8646065063885395,0.0,0.7625305813638252,0.0
2024-04-30,94.07593489729136,0.0,1.6200661879212888,1.6545757367823888,0.026771583008224503,0.9949660307375574,0.8651549828953525,0.0,0.7625305813638252,0.0
2024-05-02,94.07232314514832,0.0,1.6200039905322063,1.6545122145067963,0.029942702933278345,0.9949278321196249,0.8657888083796641,0.0,0.7625013063801178,0.0
2024-05-03,94.07166776039533,0.0,1.619992704259266,1.6545006878213402,0.03100975155148628,0.994920900638508,0.8654122011617702,0.0,0.7624959941723012,0.0
2024-05-06,94.07120760208937,0.0,1.619984779948831,1.6544925947126305,0.029556951305419292,0.9949160339116063,0.8673497736636431,0.0,0.7624922643684897,0.0
2024-05-07,94.07558626047428,0.0,1.6200601841040547,1.6545696050759209,0.026712189257432194,0.9947399889678065,0.8658040166253286,0.0,0.7625277554951787,0.0
2024-05-08,94.07511211854988,0.0,1.6200520189840288,1.6545612660280575,0.027216055658434764,0.9947349754680093,0.865799652964161,0.0,0.7625239123474316,0.0
2024-05-09,94.07599067942189,0.0,1.6200671485361757,1.654576717859641,0.026312064239326118,0.9947442652281572,0.8657780912100517,0.0,0.7625310335047524,0.0
2024-05-10,94.07578149677349,0.0,1.6200635462362236,1.6545730388259436,0.02646024238515916,0.9947420533647648,0.865850284435376,0.0,0.7625293379790404,0.0
2024-05-13,94.07565598763097,0.0,1.6200613848639418,1.6545708314135785,0.02647503072923167,0.9947110789606006,0.8659973657344425,0.0,0.7625283206672324,0.0
2024-05-14,94.07281120355623,0.0,1.620012395305704,1.6545207983130665,0.02862359373162271,0.9946809995717651,0.8668457471939743,0.0,0.7625052623276397,0.0
2024-05-16,94.07293670510823,0.0,1.6200145565472706,1.6545230055919327,0.028564339050284937,0.9946823265652673,0.8667727875590874,0.0,0.7625062795779228,0.0
2024-05-17,94.07138887603614,0.0,1.6199879016376266,1.6544957828975189,0.029794175830061845,0.9949920659666177,0.8668474639512522,0.0,0.7624937336807868,0.0
2024-05-20,94.07130521105083,0.0,1.6199864608566876,1.6544943114260438,0.029853441171255744,0.9950652958423027,0.8668022241169424,0.0,0.762493055535946,0.0
