date,CITIBANK N.A.,MIRAE ASSET SECURITIES (HK) LTD,ABN AMRO CLEARING HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,INTERACTIVE BROKERS HONG KONG LTD,UBS SECURITIES HONG KONG LTD
2024-03-05,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,16.91504082967108,76.03290704216785,0.0,0.0,0.0,0.0,0.0,7.052052128161068,0.0,0.0
2024-03-07,16.905563962374625,76.04157953569012,0.0,0.0,0.0,0.0,0.0,7.052856501935258,0.0,0.0
2024-03-12,15.412185137556802,69.32433041362361,8.833652802955989,0.0,0.0,0.0,0.0,6.42983164586359,0.0,0.0
2024-03-14,15.412185137556802,69.32433041362361,9.873517759160343,0.0,0.0,0.0,0.0,5.389966689659236,0.0,0.0
2024-03-15,15.412185137556802,69.32433041362361,10.913382715364698,0.0,0.0,0.0,0.0,4.350101733454882,0.0,0.0
2024-03-19,13.135637032901132,73.85546190682986,11.00003249640324,0.0,0.0,0.0,0.0,2.0088685638657724,0.0,0.0
2024-03-27,13.076552663375669,73.85546190682986,11.059116865928702,0.0,0.0,0.0,0.0,2.0088685638657724,0.0,0.0
2024-04-02,12.717749512281317,71.82896661102316,10.956790566845473,0.0,0.0,2.54274541803022,0.0,1.9537478918198299,0.0,0.0
2024-04-03,12.717749512281317,71.82896661102316,11.81873816617775,0.0,0.0,2.54274541803022,0.0,1.091800292487552,0.0,0.0
2024-04-08,12.71227085660786,71.79802354400789,11.856725608057461,0.0,0.0,2.541650033457879,0.0,1.09132995786892,0.0,0.0
2024-04-09,12.71227085660786,71.79802354400789,11.84236600334866,0.0,0.0,2.556009638166681,0.0,1.09132995786892,0.0,0.0
2024-04-10,12.336712198194533,69.67689430572548,11.450700810202926,0.0,0.0,2.522303573867263,2.9124941819793255,1.1008949300304627,0.0,0.0
2024-04-12,9.477378176593891,53.52757419457059,8.796721543135732,23.070384477859925,0.0,1.9376981858434554,2.2374526013330507,0.9527908206633566,0.0,0.0
2024-04-16,9.477378176593891,53.52757419457059,8.828838087652473,23.070384477859925,0.0,1.9055816413267133,2.2374526013330507,0.9527908206633566,0.0,0.0
