date,FORTUNE ORIGIN SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,MIB SECURITIES (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-04,0.0,0.0,0.0,0.0,3.2543999999999995,0.0,0.0,0.0,0.0,3.2543999999999995
2024-03-05,0.0,0.0,0.0,2.9604,3.2523999999999997,0.0,0.0,0.0,0.0,6.2128000000000005
2024-03-06,0.0,12.716023300000002,5.7508,2.9604,3.2492,0.0,2.5787999999999998,0.0,0.0,27.255223299999997
2024-03-07,0.0,12.764423299999999,5.7508,2.9604,3.2492,0.0,2.5787999999999998,0.0,0.0,27.3036233
2024-03-11,16.0,12.764423299999999,5.7508,2.9604,3.2492,0.0,2.5787999999999998,0.0,0.0,43.3036233
2024-03-12,16.0,12.7612233,5.7508,2.9636,3.2492,0.0,2.5787999999999998,0.0,0.0,43.3036233
2024-03-13,16.0,12.860023300000002,5.7508,2.9372,3.2348000000000003,2.9208000000000003,2.5787999999999998,0.0,0.0,46.2824233
2024-03-14,16.0,12.824823299999998,5.7508,2.9372,3.2348000000000003,2.9208000000000003,2.5787999999999998,0.0,0.0,46.2472233
2024-03-15,16.0,12.823623300000001,5.7508,2.9372,3.2348000000000003,2.9208000000000003,2.5787999999999998,0.0,0.0,46.2460233
2024-03-19,16.0,12.854823300000001,5.7508,2.9372,3.2348000000000003,2.9196,2.5787999999999998,0.0,0.0,46.276023300000006
2024-03-20,16.0,12.8292233,5.7508,2.9375999999999998,3.2348000000000003,2.9295999999999998,2.5787999999999998,0.0,0.0,46.2608233
2024-03-21,16.0,12.828423299999999,5.7508,2.9455999999999998,3.2348000000000003,2.9236,2.5787999999999998,0.0,0.0,46.262023299999996
2024-03-22,16.0,12.8672233,5.7508,2.942,3.2348000000000003,2.9236,2.5787999999999998,0.0,0.0,46.2972233
2024-03-25,16.0,12.8728233,5.7508,2.942,3.2348000000000003,2.9236,2.5787999999999998,2.2568,0.0,48.5596233
2024-03-26,16.0,13.2432233,5.6452,2.8836,3.2084,2.9016,2.5688,2.2568,0.0,48.7076233
2024-03-27,16.0,13.2060233,5.6452,2.9072,3.2184,2.8952,2.5688,2.2568,0.0,48.6976233
2024-03-28,16.0,13.2252233,5.6452,2.9072,3.2184,2.8696,2.5688,2.2568,0.0,48.691223300000004
2024-04-02,16.0,13.0624233,5.6452,3.3287999999999998,3.2184,2.8696,2.5688,2.2568,0.0,48.9500233
2024-04-03,16.0,13.1532233,5.6452,3.3287999999999998,3.116,2.8696,2.5688,2.2568,0.0,48.9384233
2024-04-08,16.0,13.1532233,5.6392,3.3383999999999996,3.116,2.8696,2.5688,2.2568,0.0,48.942023299999995
2024-04-09,16.0,13.1732233,5.6392,3.338,3.116,2.8696,2.5688,2.2568,0.0,48.9616233
2024-04-10,16.0,13.1732233,5.6392,3.3388,3.116,2.8696,2.5688,2.2568,0.0,48.962423300000005
2024-04-11,16.0,13.829223299999999,5.6392,2.9372,3.116,2.826,2.5116,2.2356000000000003,0.0,49.0948233
2024-04-12,16.0,13.884823299999999,5.6392,2.9263999999999997,3.116,2.826,2.5116,2.2356000000000003,0.0,49.139623300000004
2024-04-15,16.0,14.8464233,5.6388,2.8455999999999997,3.0572,2.8556000000000004,2.54,2.2156,1.5996,51.5988233
2024-04-16,16.0,14.849623300000001,5.6376,2.8476,3.0604,2.8724,2.5276,2.2156,1.6096,51.6204233
2024-04-17,16.0,14.8160233,5.6376,2.8516,3.0604,2.8724,2.5276,2.2156,1.6596,51.64082330000001
2024-04-18,16.0,14.8852233,5.634399999999999,2.8504,3.0604,2.8724,2.5276,2.2156,1.6723999999999999,51.718423300000005
2024-04-19,16.0,14.8380233,5.634399999999999,2.8556000000000004,3.0644,2.8944,2.5276,2.2156,1.6824,51.7124233
