date,CHINA MERCHANTS SECURITIES (HK) CO LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CITIC SECURITIES BROKERAGE (HK) LTD,VICTORY SECURITIES CO LTD,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,SOFI SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HGNH INTERNATIONAL SECURITIES CO LTD,KGI ASIA LTD
2024-03-01,77.5825388070286,22.4174611929714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,73.6663777480104,26.333622251989595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,74.3927668377902,25.60723316220979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,74.33376852776284,25.666231472237154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,73.35853714991127,25.785047450042438,0.0,0.0,0.0,0.8564154000462928,0.0,0.0,0.0,0.0
2024-03-12,73.48129943936718,25.666231472237154,0.0,0.0,0.0,0.8524690883956685,0.0,0.0,0.0,0.0
2024-03-13,74.27166381044631,24.901274122643617,0.0,0.0,0.0,0.8270620669100663,0.0,0.0,0.0,0.0
2024-03-26,72.65772985574822,24.347952790324932,0.0,0.0,2.1856331050560978,0.8086842488707563,0.0,0.0,0.0,0.0
2024-03-27,72.59783878504673,24.401285046728972,0.0,0.0,2.1904205607476634,0.8104556074766355,0.0,0.0,0.0,0.0
2024-04-05,72.65772985574822,24.347952790324932,0.0,0.0,2.1856331050560978,0.8086842488707563,0.0,0.0,0.0,0.0
2024-04-15,72.73717855586227,24.277204707249748,0.0,0.0,2.179282289699259,0.8063344471887258,0.0,0.0,0.0,0.0
2024-04-22,73.12759558928828,23.929543176285264,0.0,0.0,2.1480738937419446,0.7947873406845196,0.0,0.0,0.0,0.0
2024-04-24,73.03451238722613,23.929543176285264,0.0,0.0,2.1480738937419446,0.8878705427466705,0.0,0.0,0.0,0.0
2024-04-30,73.20378603183708,23.963860605191453,0.0,0.0,2.1511544528897173,0.6811989100817438,0.0,0.0,0.0,0.0
2024-05-03,72.61468562216034,24.490693243441303,0.0,0.0,2.1984464311886267,0.6961747032097317,0.0,0.0,0.0,0.0
2024-05-06,72.48814463544754,24.7628927089508,0.0,0.0,2.222880853586248,0.526081802015412,0.0,0.0,0.0,0.0
2024-05-07,71.86268566232191,25.325856320097,0.0,0.0,2.2734161867232494,0.5380418308578357,0.0,0.0,0.0,0.0
2024-05-08,71.94771834391055,25.249320036264734,0.0,0.0,2.2665457842248413,0.5364158355998792,0.0,0.0,0.0,0.0
2024-05-10,71.29715522572666,25.834879406307977,0.0,0.0,2.3191094619666046,0.5488559059987632,0.0,0.0,0.0,0.0
2024-05-14,71.20439084724799,25.834879406307977,0.0,0.0,2.411873840445269,0.5488559059987632,0.0,0.0,0.0,0.0
2024-05-16,70.04663879060791,26.873592795110966,0.0,0.0,2.5088452878739145,0.5709231264072049,0.0,0.0,0.0,0.0
2024-05-17,70.03055644901897,26.873592795110966,0.0,0.0,2.5249276294628498,0.5709231264072049,0.0,0.0,0.0,0.0
2024-05-22,67.69244105409153,28.97018030513176,0.0,0.0,2.721914008321775,0.6154646324549237,0.0,0.0,0.0,0.0
2024-05-23,67.63176144244105,28.97018030513176,0.0,0.0,2.782593619972261,0.6154646324549237,0.0,0.0,0.0,0.0
2024-05-24,65.21982116244412,31.12891207153502,0.0,0.0,2.9899403874813713,0.6613263785394933,0.0,0.0,0.0,0.0
2024-05-28,67.56706408345752,31.12891207153502,0.0,0.0,0.6426974664679582,0.6613263785394933,0.0,0.0,0.0,0.0
2024-05-29,65.98280578350918,32.64947245017585,0.0,0.0,0.6740914419695193,0.6936303243454474,0.0,0.0,0.0,0.0
2024-06-13,66.31191950464397,32.33359133126935,0.0,0.0,0.6675696594427244,0.6869195046439629,0.0,0.0,0.0,0.0
2024-06-19,66.29256965944272,32.33359133126935,0.0,0.0,0.6869195046439629,0.6869195046439629,0.0,0.0,0.0,0.0
2024-06-20,65.95349745994528,32.64947245017585,0.0,0.0,0.7033997655334115,0.6936303243454474,0.0,0.0,0.0,0.0
2024-06-21,65.97303634232122,32.64947245017585,0.0,0.0,0.6838608831574834,0.6936303243454474,0.0,0.0,0.0,0.0
2024-06-27,65.80296127562643,31.71981776765376,0.0,0.0,0.6643887623386484,0.6738800303720577,0.0,0.0,1.1389521640091116,0.0
2024-06-28,64.66400911161732,31.71981776765376,0.0,0.0,0.6643887623386484,0.6738800303720577,0.0,0.0,2.277904328018223,0.0
2024-07-04,64.55298486146816,31.81948014852899,0.0,0.0,0.6664762448824145,0.6759973340950205,0.0,0.0,2.2850614110254215,0.0
2024-07-10,64.52442159383034,31.81948014852899,0.0,0.0,0.6950395125202323,0.6759973340950205,0.0,0.0,2.2850614110254215,0.0
2024-07-16,64.50076219512195,31.840701219512198,0.0,0.0,0.6955030487804879,0.6764481707317073,0.0,0.0,2.2865853658536586,0.0
2024-07-22,64.85475985044579,32.03911417888985,0.0,0.0,0.6998370242546256,0.6806634071517592,0.0,0.0,1.7256255392579811,0.0
2024-07-23,65.23823219250312,32.03911417888985,0.0,0.0,0.6998370242546256,0.6806634071517592,0.0,0.0,1.342153197200652,0.0
2024-07-24,65.53559547571524,31.76504134587967,0.0,0.0,0.6938503944491968,0.6748407946012737,0.0,0.0,1.330671989354624,0.0
