date,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,ABN AMRO CLEARING HONG KONG LTD,DBS BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),SHANGHAI COMMERCIAL BANK LTD,BOCI SECURITIES LTD
2024-03-01,92.17391304347827,0.0,0.0,0.0,7.82608695652174,0.0,0.0,0.0,0.0,0.0
2024-03-05,74.64788732394366,0.0,0.0,1.4084507042253522,5.633802816901409,0.0,18.30985915492958,0.0,0.0,0.0
2024-03-06,74.12587412587412,0.0,0.0,1.3986013986013985,6.293706293706294,0.0,18.181818181818183,0.0,0.0,0.0
2024-03-11,76.22377622377621,0.0,0.0,1.3986013986013985,4.195804195804196,0.0,18.181818181818183,0.0,0.0,0.0
2024-03-13,79.72027972027972,0.0,0.0,1.3986013986013985,0.6993006993006993,0.0,18.181818181818183,0.0,0.0,0.0
2024-03-22,79.7768479776848,0.0,0.0,1.394700139470014,0.697350069735007,0.0,18.13110181311018,0.0,0.0,0.0
2024-04-08,76.82584269662921,0.0,0.0,1.4044943820224718,3.51123595505618,0.0,18.258426966292134,0.0,0.0,0.0
2024-04-15,77.36916548797737,0.0,0.0,1.4144271570014144,2.828854314002829,0.0,18.387553041018386,0.0,0.0,0.0
2024-04-18,77.46478873239437,0.0,0.0,1.4084507042253522,2.8169014084507045,0.0,18.30985915492958,0.0,0.0,0.0
2024-05-03,77.05146036161335,0.0,0.0,2.086230876216968,2.781641168289291,0.0,18.08066759388039,0.0,0.0,0.0
2024-05-07,78.54356306892068,0.0,0.0,1.950585175552666,2.600780234070221,0.0,16.905071521456435,0.0,0.0,0.0
2024-05-08,75.59449311639548,0.0,0.0,1.877346683354193,5.632040050062578,0.0,16.270337922403,0.6257822277847309,0.0,0.0
2024-05-09,78.30923248053394,0.0,0.0,1.668520578420467,5.005561735261402,0.0,14.46051167964405,0.5561735261401557,0.0,0.0
2024-05-10,71.18301314459049,9.100101112234581,0.0,1.5166835187057632,4.550050556117291,0.0,13.144590495449949,0.5055611729019212,0.0,0.0
2024-05-17,68.41593780369291,8.746355685131196,0.0,1.4577259475218658,2.9154518950437316,4.8590864917395535,13.119533527696792,0.4859086491739553,0.0,0.0
2024-05-20,68.41593780369291,8.746355685131196,0.0,1.9436345966958213,0.4859086491739553,4.8590864917395535,15.063168124392615,0.4859086491739553,0.0,0.0
2024-05-21,65.22476675148431,7.633587786259542,0.0,1.6963528413910092,2.1204410517387617,4.2408821034775235,18.6598812553011,0.4240882103477523,0.0,0.0
2024-05-31,65.22476675148431,7.633587786259542,0.0,1.6963528413910092,1.6963528413910092,4.2408821034775235,19.083969465648856,0.4240882103477523,0.0,0.0
2024-06-07,64.13678065054211,7.506255212677231,0.0,2.5020850708924103,1.6680567139282736,4.170141784820683,19.599666388657212,0.4170141784820684,0.0,0.0
2024-06-11,64.13678065054211,7.923269391159299,0.0,2.5020850708924103,1.2510425354462051,4.170141784820683,19.599666388657212,0.4170141784820684,0.0,0.0
2024-06-14,57.00518902891031,8.895478131949593,0.0,2.5945144551519648,0.37064492216456635,3.7064492216456637,27.057079318013344,0.37064492216456635,0.0,0.0
2024-06-18,56.79468242245199,8.862629246676514,0.0,2.58493353028065,0.7385524372230428,3.6927621861152145,26.95716395864106,0.3692762186115214,0.0,0.0
2024-06-24,57.00518902891031,8.895478131949593,0.0,2.5945144551519648,0.37064492216456635,3.7064492216456637,27.057079318013344,0.37064492216456635,0.0,0.0
2024-06-25,55.96797671033479,8.73362445414847,0.0,4.366812227074235,0.363901018922853,3.6390101892285296,26.564774381368267,0.363901018922853,0.0,0.0
