date,UBS SECURITIES HONG KONG LTD,GRAND CHINA SECURITIES LTD,YUANTA SECURITIES (HONG KONG) CO LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CHINA GALAXY INTERNATIONAL SECURITIES,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,20.698678479999998,2.1524,0.3384,0.28670392,0.0,0.0,0.0,23.4761824
2024-03-04,0.0,20.99987848,1.8416,0.3384,0.28710392,0.0,0.0,0.0,23.4669824
2024-03-05,0.0,20.756678479999998,2.106,0.3384,0.28710392,0.0,0.752,0.0,24.2401824
2024-03-06,0.0,21.03627848,1.8496,0.3384,0.28710392,0.0,0.7688,0.0,24.2801824
2024-03-07,0.0,20.74707848,2.1319999999999997,0.3384,0.28710392,0.0,0.7688,0.0,24.2733824
2024-03-08,67.1497204,21.036678480000003,1.8467999999999998,0.3384,0.29550392000000003,0.0,0.7688,0.0,91.43590280000001
2024-03-11,67.1497204,20.59547848,2.2916,0.3384,0.29550392000000003,0.0,0.7688,0.0,91.4395028
2024-03-12,67.1497204,20.861478480000002,2.0216000000000003,0.3384,0.29550392000000003,0.0,0.7688,0.0,91.4355028
2024-03-13,67.1497204,20.57907848,2.2776,0.3384,0.29990392,0.0,0.7592,0.0,91.4039028
2024-03-14,67.1497204,20.92387848,1.9416,0.3384,0.29430392,0.0,0.7592,0.0,91.40710279999999
2024-03-15,67.1497204,20.614678480000002,2.2508,0.3384,0.29430392,0.0,0.7592,0.0,91.40710279999999
2024-03-18,67.1497204,20.901478479999998,1.9416,0.3384,0.30590392,0.0,0.7592,0.0,91.3963028
2024-03-19,67.1497204,20.614678480000002,2.2108,0.3376,0.30830392,0.0,0.7592,0.0,91.3803028
2024-03-20,67.1497204,20.80627848,1.9416,0.3376,0.32030392,0.0,0.7592,0.63306112,91.94776392
2024-03-21,67.1497204,20.78227848,1.9416,0.3376,0.35590392,0.0,0.7568,0.64226112,91.96616392
2024-03-22,67.1497204,20.50187848,2.2108,0.3376,0.36430392,0.0,0.7568,0.64226112,91.96336391999999
2024-03-25,67.15652039999999,20.78907848,1.9416,0.3376,0.36430392,0.0,0.7392,0.64226112,91.97056392
2024-03-26,67.15652039999999,20.50187848,2.198,0.3376,0.36510392,0.0,0.7392,0.64906112,91.94736392
2024-03-27,67.15652039999999,20.556678480000002,1.9416,0.3376,0.36510392,0.0,0.7392,0.64906112,91.74576392
2024-03-28,67.0529204,20.50187848,2.1676,0.35760000000000003,0.36510392,0.0,0.7412,0.66106112,91.84736392
2024-04-02,67.0529204,20.54987848,2.0056000000000003,0.35760000000000003,0.36510392,0.0,0.7412,0.66106112,91.73336392
2024-04-03,67.0529204,20.50187848,2.298,0.35760000000000003,0.36510392,0.0,0.7412,0.66106112,91.97776392
2024-04-05,67.0529204,20.78707848,2.0056000000000003,0.35760000000000003,0.36750392,0.0,0.7476,0.66266112,91.98096392000001
