date,CHINA INTERNATIONAL CAPITAL CORPORATION,TIGER BROKERS (HK) GLOBAL LTD,VICTORY SECURITIES CO LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,SPDB INTERNATIONAL SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,DBS BANK LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,0.0,39.90308504842677,22.414203694479788,0.0,0.4212816414034648,31.55755506766658,0.0,5.703874548023393
2024-03-04,0.0,0.0,0.0,39.61736261608462,22.412332057754355,0.0,0.4226169471121974,31.809365709402577,0.0,5.738322669646255
2024-03-05,0.0,37.35174964252974,0.0,24.824336428208024,14.046729646474892,0.0,0.2629853605495031,19.948921205344877,0.0,3.5652777168929632
2024-03-06,0.0,37.17960717075351,0.0,25.15420616026048,14.04374907284767,0.0,0.26177334369783717,19.813661253974324,0.0,3.547002998466174
2024-03-07,0.0,37.09003653993209,0.0,25.5386523282407,13.950147233907591,0.0,0.2611426968106992,19.645470835776717,0.0,3.514550365332196
2024-03-08,0.0,37.1463951356157,0.0,25.41169403171085,13.98515829614085,0.0,0.2615395051462594,19.69005689976117,0.0,3.5051561316251707
2024-03-11,0.0,36.94734701414003,0.0,25.855340783503934,13.932202637796179,0.0,0.27845763269866425,19.558900759916376,0.0,3.427751171944822
2024-03-12,0.0,37.05179257983007,0.0,25.754821193585226,13.90935607307006,0.0,0.27924479787609346,19.627051303350292,0.0,3.377734052288258
2024-03-13,0.0,37.02798366446856,0.0,25.349966779288515,13.870124854392598,0.0,0.2790653594388451,20.12208118059041,0.0,3.350778161821079
2024-03-14,0.0,36.901292732805096,0.0,24.771964452276755,13.439351510626011,0.0,0.2689621666655353,21.10804105943502,0.0,3.5103880781915833
2024-03-15,0.0,37.163763446168346,0.0,24.496703218054915,13.5377066711245,0.0,0.2616617915573791,21.178942262427725,0.0,3.361222610667137
