date,SILVERBRICKS SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,SINOPAC SECURITIES (ASIA) LTD,THE HONGKONG AND SHANGHAI BANKING,TSE\,USMART SECURITIES LTD,FORTUNE (HK) SECURITIES LTD,SINOLINK SECURITIES (HONG KONG) CO LTD
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,44.305639805967125,53.44212146873992,0.0,0.0,0.0,2.252238725292941,0.0,0.0
2024-03-05,0.0,44.33906959341981,53.41004355716152,0.0,0.0,0.0,2.250886849418671,0.0,0.0
2024-03-06,66.66253408546311,14.781176492545022,17.793094990045144,0.0,0.0,0.0,0.763194431946719,0.0,0.0
2024-03-12,66.66253408546311,14.784509219322084,17.789762263268084,0.0,0.0,0.0,0.763194431946719,0.0,0.0
2024-03-14,61.118841716915604,13.707800211812488,16.310356017314113,0.0,0.0,0.0,0.6997267704462301,0.0,8.163275283511565
2024-03-18,61.012577453799196,13.818178712459654,16.22099276294638,0.0,0.0,0.0,0.7991688643810437,0.0,8.149082206413727
2024-03-19,56.36914655515933,12.794711855770915,14.986475846182548,0.0,7.582431394298268,0.0,0.7383472182064024,0.0,7.528887130382538
2024-03-20,56.367558050209574,12.825349732821653,14.986053521337917,0.0,7.554037320991071,0.0,0.7383264112883908,0.0,7.528674963351394
2024-03-25,56.367558050209574,12.85071209046133,14.986053521337917,0.0,7.528674963351394,0.0,0.7383264112883908,0.0,7.528674963351394
2024-03-26,56.39298487778005,12.870605469575969,14.992813576448153,0.0,7.472865541987152,0.0,0.7386594627633871,0.0,7.532071071445285
2024-03-27,56.37073514964352,12.933164166266952,14.986898194831086,0.0,7.441735153589005,0.0,0.7383680262971746,0.0,7.529099309372257
2024-03-28,56.36914655515933,12.935617813443894,14.986475846182548,0.0,7.441525436625292,0.0,0.7383472182064024,0.0,7.528887130382538
2024-04-03,56.36438130888315,12.948613687123919,14.97957318121285,0.0,7.440896356649043,0.0,0.7382848009702527,0.0,7.52825066516079
2024-04-05,56.35961686821265,12.955972078287639,14.978306968650342,0.0,7.440267383024153,0.0,0.7382223942862713,0.0,7.527614307538941
2024-04-08,56.593065203713635,12.900453419075648,14.891452268860201,0.0,7.39712350893588,0.0,0.733941664523669,0.0,7.483963934890971
2024-04-09,56.61893347602409,12.824164389597218,14.86147757624758,0.0,7.382233993837235,0.0,0.8442909437774919,0.0,7.468899620516383
2024-04-10,56.59994533512419,12.819863583746532,14.856493522100427,0.0,7.379758233687314,0.0,0.8775445297954315,0.0,7.4663947955460985
