date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,SDICS INTERNATIONAL SECURITIES (HONG,SPDB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,HANG SENG BANK LTD,CCB INTERNATIONAL SECURITIES LTD,CHINA SECURITIES (INTERNATIONAL)
2024-03-01,37.78354769981039,46.271021246691916,0.24219300963771082,0.0,15.703238043859988,0.0,0.0,0.0,0.0
2024-03-04,37.69014620300122,46.38983772391935,0.22760235672477117,0.0,15.692413716354665,0.0,0.0,0.0,0.0
2024-03-05,37.598605965080196,46.48873702130425,0.22689915683792536,0.0,15.685757856777627,0.0,0.0,0.0,0.0
2024-03-06,37.620225260127924,46.5561255545765,0.22702962443617394,0.0,15.596619560859407,0.0,0.0,0.0,0.0
2024-03-07,37.640800649328824,46.5350084735662,0.2248248060462172,0.0,15.599366071058762,0.0,0.0,0.0,0.0
2024-03-08,33.541716639308056,41.452125734178004,0.1934235144504404,0.0,13.948503335817488,10.864230776246018,0.0,0.0,0.0
2024-03-11,33.532484105589404,41.431171792418134,0.19337027361192438,0.0,14.016313294456253,10.82666053392429,0.0,0.0,0.0
2024-03-12,33.52019671807844,41.442537629430106,0.19329941648492213,0.0,14.02127294092477,10.822693295081766,0.0,0.0,0.0
2024-03-13,33.5242416153493,41.430252866257185,0.1933227420127755,0.0,14.028183502013094,10.823999274367651,0.0,0.0,0.0
2024-03-14,33.525169286056254,41.502479880830904,0.19332809156987546,0.0,13.960670378516241,10.818352363026722,0.0,0.0,0.0
2024-03-15,33.55816485310197,41.473698887089725,0.19351836562793567,0.0,13.945618077961916,10.82899981621846,0.0,0.0,0.0
2024-03-18,33.52819465592823,41.674123193613994,0.19334553783475933,0.0,13.798838135491584,10.805498477131435,0.0,0.0,0.0
2024-03-19,33.504757889371234,41.859900835501826,0.19321038608317917,0.0,13.644185635339332,10.797945253704427,0.0,0.0,0.0
2024-03-20,33.50670282074113,41.978844233157616,0.193221601831764,0.0,13.57794442697119,10.743286917298295,0.0,0.0,0.0
2024-03-21,29.971100887540253,37.76265158486802,0.17283300458221093,0.0,11.871334843097623,9.5602119058243,0.0,10.661867774087591,0.0
