date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,DBS BANK LTD,CMB WING LUNG BANK LTD
2024-03-01,40.801429560412295,14.107320827164852,0.0,20.28637967222729,7.832326459112303,3.467600359952437,9.55335116013292,0.0,3.9515919609978982,0.0
2024-03-04,33.9702114462043,11.809173602224687,15.732148981504047,16.932437294291603,6.515841646942653,2.9109664425402584,7.963692491271587,0.0,3.293888525504618,0.8716395695162422
2024-03-05,33.990794895695444,11.812832268429387,15.737023046679536,16.952168112704154,6.488085870101119,2.9416427915858185,7.909829658353663,0.0,3.2949090235543745,0.8727143328965001
2024-03-06,33.98288351648157,11.860271282703835,15.730567142005672,16.948431253787778,6.514784297835718,2.9452623360242116,7.851082141114714,0.0,3.2935573308929342,0.8731606991535671
2024-03-07,33.934159882247734,11.833225977974122,15.808417180924508,16.962284643599855,6.472109451180005,2.950276680434003,7.874766106250741,0.0,3.2888351276508,0.8759249497382335
2024-03-08,33.93129813679649,11.835039131287447,15.80708402088413,16.96085417527266,6.4575082615024675,2.9355709126442555,7.908236507982945,0.0,3.2885577726492587,0.8758510809803437
2024-03-11,33.94683913099804,11.88786815927389,15.814323879498485,16.979470165509824,6.441181106852813,2.8806681662324816,7.864851933963204,0.0,3.3081434587620167,0.8766539989092447
2024-03-12,33.919447474384334,11.87907873939237,15.786709966745141,16.917997846945667,6.472113514493574,2.8787452012365944,7.884198089428732,0.0,3.385762539339568,0.8759466280340215
2024-03-13,33.91223216188754,11.882572183448826,15.783351832866565,16.92122213031823,6.410934625878471,2.876928767234733,7.892554887584306,0.0,3.4444431132780897,0.8757602975032382
2024-03-14,33.9286805687176,11.879497220553292,15.786099514969584,16.920235486882927,6.322126252409863,2.920131543340756,7.902954682440945,0.0,3.4649184627901475,0.8753562678948827
