date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CHINA MERCHANTS BANK CO LTD,SOOCHOW SECURITIES INTERNATIONAL,CHINA MERCHANTS SECURITIES (HK) CO LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14125795031104,0.0,2.14125795031104
2024-03-04,0.0,9.235143279905177,0.0,0.0,0.0,0.0,4.136873174624079,0.0,2.14125795031104,0.0,15.513274404840297
2024-03-05,0.0,9.235143279905177,0.0,0.0,6.326162236700418,0.0,4.136098479273026,0.0,2.14125795031104,0.0,21.83866194618966
2024-03-06,0.0,9.228171021745698,0.0,0.0,6.326162236700418,0.0,4.145394823485664,0.0,2.14125795031104,0.0,21.84098603224282
2024-03-07,0.0,9.226621631043592,0.0,0.0,6.326162236700418,0.0,4.146944214187771,0.0,2.14125795031104,0.0,21.84098603224282
2024-03-08,0.0,9.27232865675573,0.0,0.0,6.326162236700418,0.0,4.1206045722519615,0.0,2.14125795031104,0.0,21.86035341601915
2024-03-12,0.0,9.27232865675573,0.0,9.493891527156945,6.326162236700418,0.0,4.135323783921973,0.0,2.14125795031104,0.0,31.368964154846108
2024-03-13,0.0,9.292470735883114,0.0,9.495440917859051,6.326162236700418,0.0,4.135323783921973,0.0,2.14125795031104,2.522408063029214,33.913063687704806
2024-03-14,0.0,9.292470735883114,0.0,9.508610738826956,6.326162236700418,0.0,4.139197260677239,0.0,2.14125795031104,2.522408063029214,33.93010698542798
2024-03-15,15.621989985771428,9.627913822889148,7.090786548189924,9.574459843666478,6.360248832146759,5.45230588071241,4.2468799144736336,0.0,2.14125795031104,2.5379019700502776,62.6537447482111
2024-03-19,15.46472682950763,9.691438841675511,7.090786548189924,9.574459843666478,6.360248832146759,5.45230588071241,4.2523027819310055,0.0,2.14125795031104,2.5379019700502776,62.565429478191035
2024-03-20,15.439936578273928,9.685241278867085,7.089237157487818,9.580657406474904,6.360248832146759,5.45230588071241,4.2530774772820585,0.0,2.14125795031104,2.5379019700502776,62.539864531606284
2024-03-21,15.439936578273928,9.673620848601287,7.067545687658329,9.580657406474904,6.360248832146759,5.45230588071241,4.2530774772820585,0.0,2.14125795031104,2.5379019700502776,62.50655263151099
2024-03-22,15.439936578273928,9.681367802111819,7.07529264116886,9.580657406474904,6.360248832146759,5.45230588071241,4.220540272537825,0.0,2.14125795031104,2.5379019700502776,62.489509333787815
