date,CHINA MERCHANTS SECURITIES (HK) CO LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,UBS SECURITIES HONG KONG LTD,BNP PARIBAS
2024-03-01,0.0,46.81152287221483,13.790863273332176,5.944155863950041,12.777056112433478,6.555561680666303,7.876797704799612,2.6976755708146825,2.0588151131488,1.4875518086400734
2024-03-04,77.07971522058895,10.634755531546643,3.1667305286603136,1.3843413522808772,3.0526105198969526,1.5042528082025843,1.767259567568006,0.6186438342640728,0.4428183449249228,0.34887229206667314
2024-03-05,77.06898327267606,10.633497402556628,3.1845252764517653,1.3968520996071714,3.0407555584028563,1.505887423610988,1.7586640364787218,0.6188138181498164,0.44332015185144386,0.3487009602145479
2024-03-06,77.05282377045435,10.628776250816257,3.192000428105992,1.3999392725782485,3.0610493086186077,1.5067495748077087,1.7490769442110774,0.6189401329372063,0.4431918101410224,0.34745250732952815
2024-03-07,77.06323262597624,10.613247548522917,3.2014442073791956,1.4104738758686413,3.0560519611180648,1.5092698163992624,1.7360204953707121,0.6206623692540106,0.4427391861006039,0.3468579140103556
2024-03-08,77.07835410655251,10.611025680955578,3.2122671605386945,1.4225335302180953,3.0387723720120188,1.4984490685618261,1.722887663197056,0.6209890764998456,0.4448752591882034,0.34984608227617836
2024-03-11,77.0767798826374,10.608330638387708,3.2234206843389615,1.4287544032162505,3.0423351383106185,1.4963896463995319,1.7125554656407735,0.6210276225201364,0.44281701700885523,0.347589501539763
2024-03-12,77.08250607395229,10.600837728132245,3.256039231937923,1.439107090416484,3.0001581248941456,1.4969106779257177,1.6960084200427044,0.6210225272193263,0.45931831098091025,0.34809181449826243
2024-03-13,77.08264390052176,10.59385505338748,3.2665651472363404,1.4452140515244616,3.0018413915020288,1.4973313833929498,1.6856713895490545,0.6214880374167522,0.45932157455645173,0.3460680709127109
2024-03-14,77.08113931173399,10.584427547021832,3.3027132671926482,1.4478499100326987,3.00128446367729,1.4945320128465913,1.6569997569563188,0.6218345310117975,0.4621660306095738,0.347053168917259
2024-03-15,77.11270673463066,10.550782290832444,3.3170328669536313,1.4608460947495077,2.9933561855248327,1.4993981821327802,1.6338969383742314,0.6226017245635942,0.45946727094463785,0.3499117112936784
2024-03-18,77.11721257643217,10.558140885838258,3.316867895124108,1.4627254165348271,3.0004914340445934,1.4989447359426593,1.6096378925444805,0.6227406164654151,0.46138997729368486,0.3518485697797997
2024-03-19,77.1176112676562,10.550225287238531,3.347634382540085,1.470880777689025,2.9784634120650644,1.5029010681184103,1.5939596628077919,0.625357076808983,0.45950510936102307,0.3534619557148948
2024-03-20,77.1110468267835,10.537125228679374,3.3546271912652257,1.4747532196902815,3.0561014926226764,1.5016459547841339,1.5796933239550448,0.6250475854528386,0.45947688618064414,0.30048229058628867
2024-03-21,77.10188787260734,10.540527365465046,3.374773475817896,1.475578451510245,3.0278066840266504,1.5029027689144518,1.564003475456803,0.6252191848810061,0.4606473234461581,0.32665339787441544
2024-03-22,77.07664158888974,10.542695644793348,3.406347480002156,1.4812919263254904,3.0348152911907773,1.503280024830935,1.547045059622868,0.6253722286412039,0.45911271807153503,0.323398037631949
2024-03-25,77.05947483687672,10.514096694090197,3.4452748712503247,1.4759398299988657,3.0661402012729164,1.5002280666889998,1.5159161935239618,0.6249756141829095,0.4577728721325317,0.34018081998257055
