date,HEAD & SHOULDERS SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,CITYLINE SECURITIES LTD,YUET SHEUNG INTERNATIONAL SECURITIES LTD,VALUABLE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-04,0.0,0.0,0.0,0.0,0.0,63.17714683852987,36.82285316147013,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,63.16614420062696,36.83385579937304,0.0
2024-03-06,0.0,0.0,0.0,0.0,0.0,48.59221339081234,28.3173918900714,23.09039471911626
2024-03-07,0.0,0.0,0.0,0.0,0.0,48.618412184930584,28.332659388057692,23.048928427011727
2024-03-08,0.0,0.0,0.0,0.0,0.0,48.546433378196504,28.43876177658143,23.014804845222073
2024-03-11,0.0,0.0,0.0,0.0,0.0,48.42910848549946,28.611707841031148,22.95918367346939
2024-03-13,0.0,0.0,0.0,0.0,0.0,48.377145922746784,28.688304721030043,22.934549356223176
2024-03-14,0.0,0.0,0.0,0.0,0.0,48.38363514419852,28.678739101274314,22.937625754527165
2024-03-15,0.0,0.0,0.0,47.022455940875496,0.0,25.63246162592382,15.193291642978965,12.151790790221717
2024-03-20,0.0,0.0,0.0,47.03248276352264,0.0,25.63792735802118,15.175207903902196,12.154381974553983
2024-03-22,0.0,0.0,0.0,47.20022826164491,0.0,25.729367287253012,14.872672801198375,12.197731649903702
2024-03-25,0.0,0.0,0.0,47.217068645640076,0.0,25.738547167118597,14.842300556586272,12.20208363065506
2024-03-26,0.0,0.0,0.0,47.22043816456148,0.0,25.740383929208594,14.836223506743737,12.202954399486192
2024-04-05,0.0,0.0,0.0,47.25078548986004,0.0,25.75692659240217,14.781491002570693,12.210796915167094
2024-04-11,0.0,0.0,0.0,47.25753463790887,0.0,25.760605627767465,14.769318668761604,12.212541065562062
2024-04-12,0.0,0.0,0.0,47.24741163870046,0.0,25.76222777579436,14.780435558729025,12.209925026776151
2024-04-16,0.0,0.0,0.0,47.25078548986004,0.0,25.764067409311625,14.77435018566124,12.210796915167094
