date,THE HONGKONG AND SHANGHAI BANKING,EVERBRIGHT SECURITIES INVESTMENT,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CITIBANK N.A.,CORPORATE BROKERS LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-03-01,61.60056658782557,0.0,0.0,0.0,0.0,0.0,9.870623866824868,15.034701718623298,13.494107826726268,0.0
2024-03-04,52.049053059689754,0.0,0.0,15.438892768521514,0.0,0.0,8.319075069382498,12.791208417958334,11.4017706844479,0.0
2024-03-05,52.166494006643305,0.0,0.0,15.113372918664622,0.0,0.0,8.35953178801027,12.905993258050605,11.454608028631196,0.0
2024-03-06,52.14842510347022,0.0,0.0,15.110178969853472,0.0,0.0,8.347198514810648,12.942010115647554,11.452187296218112,0.0
2024-03-07,52.05564017382789,0.0,0.0,15.088389731355175,0.0,0.0,8.437158464563952,12.983138661285547,11.435672968967436,0.0
2024-03-08,52.105120523091806,0.0,0.0,14.891503201061832,0.0,0.0,8.487423914625396,13.07645041260313,11.439501948617831,0.0
2024-03-11,52.10953218407944,0.0,0.0,14.897796878710167,0.0,0.0,8.4205717539605,13.12424053284191,11.447858650407973,0.0
2024-03-12,52.120546180184625,0.0,0.0,14.904468419673583,0.0,0.0,8.401215305653642,13.116446383592754,11.4573237108954,0.0
2024-03-13,52.113202998866335,0.0,0.0,14.902368552690612,0.0,0.0,8.407076092637235,13.118120638666925,11.459231717138886,0.0
2024-03-14,50.34514030702122,0.0,0.0,14.388505592414027,0.0,0.0,8.071480689427842,12.668776349240924,11.066710526403066,3.459386535492923
2024-03-15,43.350579107591244,13.831891790530939,0.0,12.393665708568097,0.0,0.0,6.967090632608754,10.944591431024229,9.532408343368463,2.9797729863082734
2024-03-18,43.2707066630402,13.806406848165272,0.0,12.370830664666263,0.0,0.0,7.006896128166209,11.053107205839776,9.514845100327259,2.977207389795017
2024-03-19,43.27110024535679,13.805599340256352,0.0,12.370107120610847,0.0,0.0,6.994788727039839,11.06708271068077,9.514288596904235,2.977033259151165
2024-03-20,43.175800333478364,13.785442296854148,0.0,12.352045986141084,0.0,0.0,6.98165576973056,11.20569074115713,9.500397137108667,2.9989677355300466
2024-03-21,43.15609774609486,13.78101564392911,0.0,12.350998800213684,0.0,0.0,6.985252261640992,11.231284355195132,9.4973464580031,2.998004734923123
2024-03-22,38.078366569860584,12.158723777106305,0.0,10.897047551740089,0.0,11.751328207658842,6.180981879507844,9.909145135983533,8.379325238572573,2.6450816395702343
2024-03-25,38.04664533978904,12.170932299514998,0.0,10.887233362565155,0.0,11.740744629167594,6.111084521133371,10.028881862272836,8.371778581309751,2.64269940424726
2024-03-26,38.04175084313691,12.16936657441989,0.0,10.885832778446158,0.0,11.739234245406614,6.115444148161566,10.035310378328424,8.370701596942991,2.6423594351574455
2024-03-27,38.04370849067381,12.169992816114135,0.0,10.8863929688489,0.0,11.739838352275944,6.115758851977987,10.040972850469165,8.360840257343671,2.642495412296384
2024-03-28,38.04348474669734,12.164984686513328,0.0,10.881913059312627,0.0,11.735007237512846,6.141533756027403,10.083136234991292,8.30853229206425,2.641407986880915
2024-04-02,38.03761485914486,12.163107700410114,0.0,10.880234043669363,0.0,11.733196594419283,6.138014583884078,10.099581451373167,8.307250334046858,2.641000433052278
2024-04-03,38.02881342336543,12.16029330703398,0.0,10.880287465780333,0.0,11.807610906690085,6.103171656756418,10.074105763713064,8.305328138594028,2.6403893380666683
2024-04-05,38.059706641099595,12.17593404444589,0.0,10.896856123118187,0.0,11.822798019121555,6.105873078260515,9.979036084110621,8.316010566497338,2.6437854433463017
2024-04-08,38.049911524139155,12.172800423391147,0.0,10.894051687938653,0.0,11.819755281811753,6.112022515251007,9.994483191130609,8.313870342535255,2.6431050338024216
2024-04-09,38.021601719341945,12.172800423391147,0.0,10.894051687938653,0.0,11.819755281811753,6.1326114641944285,10.002204046984394,8.313870342535255,2.6431050338024216
2024-04-10,38.019644758030026,12.172173892724127,0.0,10.89091748796046,0.0,11.84488178382531,6.132295820380548,9.983674833230378,8.31344242993092,2.6429689939182346
2024-04-11,38.00742496679824,12.170733116918473,0.0,10.889628369799947,0.0,11.856345656093875,6.131569962901927,9.98918337407709,8.312458398087447,2.6426561553230017
2024-04-12,38.06125589552022,12.18797085053193,0.0,10.74795801999988,0.0,11.873138114369434,6.147984746839214,10.011061798678151,8.324231554409476,2.6463990196516995
2024-04-15,38.009893184520166,12.16822823209725,0.0,10.730547998533382,0.0,11.853905476033741,6.145743922958748,10.156829891828217,8.310747593104017,2.6241037009244774
2024-04-16,38.00109446144688,12.16541146884072,0.0,10.72806403679728,0.0,11.851161473804789,6.157181557038592,10.16476696294356,8.308823779052535,2.6234962600756453
2024-04-17,37.97769522691098,12.157393968225605,0.0,10.720993806560159,0.0,11.856202883349086,6.204530950697488,10.15806796837304,8.303347926474094,2.6217672694095437
2024-04-18,37.987459376564146,12.160519661172186,0.0,10.723750197840157,0.0,11.859251139399897,6.206126149362608,10.158108607998203,8.305482735637524,2.5993021320252794
