date,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,MERRILL LYNCH FAR EAST LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,DBS VICKERS (HONG KONG) LTD
2024-03-01,58.686577876283906,23.51425286219016,4.661760076991447,6.622197459961971,0.0,0.913819521152365,3.4988214422767165,2.1025707611434417,0.0,0.0
2024-03-04,58.66421822842227,23.519403023256558,4.614093319010833,6.597778485385805,0.0,0.9174239574039041,3.4883914152201987,2.1986915713004302,0.0,0.0
2024-03-05,55.70631649334332,22.398434982678886,4.329020123675812,6.254853276656011,5.02829544776622,0.8713823096728974,3.3086162369415586,2.1030811292652927,0.0,0.0
2024-03-06,55.689003990154696,22.432305585493808,4.31890106222612,6.225107392244104,5.027391380442872,0.8714518938664262,3.3139039970789,2.121934698493075,0.0,0.0
2024-03-07,55.68803370771877,22.430914598042655,4.3190576490961545,6.2298224940024385,5.027633542000766,0.8715285579898394,3.310711036083716,2.1222984150656545,0.0,0.0
2024-03-08,55.60354247313115,22.41597123810152,4.31252628609298,6.301665188697443,5.0190345194281045,0.8704354806577271,3.3030129227063507,2.173811891184723,0.0,0.0
2024-03-11,55.60058711879573,22.418265882547797,4.313484735756519,6.298676699080537,5.019624170611773,0.865454978748306,3.300238362282981,2.1836680521763543,0.0,0.0
2024-03-12,55.613294226871844,22.428988924147173,4.303391584439648,6.270794359247232,5.021337018680781,0.8603236702117896,3.305550762133442,2.196319454268086,0.0,0.0
2024-03-13,55.61693436849576,22.395746825144716,4.278408972823419,6.215680978900464,5.021923018026398,0.8459046699153144,3.3103455480814725,2.3150556186124476,0.0,0.0
2024-03-14,54.9883525704519,22.13304300420903,4.248151386437539,6.180932444745539,4.965044285072024,0.8376642750907107,3.2749983163250374,2.220251586819461,0.0,1.1515621308487562
2024-03-15,55.003898532990355,22.13435694877952,4.265771733939106,6.123388717881522,4.966266384953304,0.8485962528560116,3.2744637026673034,2.2314121486811076,0.0,1.1518455772517677
2024-03-18,55.068256547034856,22.21671825150135,4.222259935693631,6.0287208737736,4.971996433171494,0.848456798744822,3.2661613181432263,2.2242552722015723,0.0,1.153174569735449
