date,THE HONGKONG AND SHANGHAI BANKING,ZHONGTAI INTERNATIONAL SECURITIES LTD,ORIENT SECURITIES (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,SHANGHAI COMMERCIAL BANK LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD
2024-03-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,85.25206078618291,0.0,0.0,0.0,0.0,0.0,14.74793921381708,0.0
2024-03-18,85.25950005604753,0.0,0.0,0.0,0.0,0.0,14.74049994395247,0.0
2024-03-19,85.2619781451387,0.0,0.0,0.0,0.0,0.0,14.738021854861305,0.0
2024-03-20,85.25454137699036,0.0,0.0,0.0,0.0,0.0,14.745458623009643,0.0
2024-03-21,34.17425519955031,34.192242833052276,25.567172568858908,0.0,0.0,0.0,6.066329398538504,0.0
2024-03-22,34.14464064784614,34.20762568889889,25.57867506467214,0.0,0.0,0.0,6.069058598582837,0.0
2024-03-25,34.10610187039996,34.22764410632695,25.593643791217445,0.0,0.0,0.0,6.072610232055639,0.0
2024-03-28,34.107584965113666,34.22687373396354,25.593067747017777,0.0,0.0,0.0,6.072473553905019,0.0
2024-04-02,34.1090679930679,34.226103396277374,25.592491728747945,0.0,0.0,0.0,6.072336881906777,0.0
2024-04-05,34.112033848716045,34.22456282492742,25.591339769990775,0.0,0.0,0.0,6.072063556365764,0.0
2024-04-09,34.12834128341283,34.216092160921605,25.5850058500585,0.0,0.0,0.0,6.070560705607056,0.0
2024-04-24,33.81561694624045,34.37853235068047,25.706470136094406,0.0,0.0,0.0,6.099380566984673,0.0
2024-04-26,33.83745902565842,34.37775517124449,25.705889001921555,0.0,0.0,0.0,6.0788968011755395,0.0
2024-04-29,33.867359620381876,34.362218958309796,25.694271833691108,0.0,0.0,0.0,6.076149587617218,0.0
2024-04-30,8.039975339467494,8.13574028395543,6.083481473588294,0.0,0.0,0.0,1.4386141660785263,0.0
2024-05-08,33.949655717349586,34.33118862174061,25.67106896940964,0.0,0.0,0.0,6.04808669150017,0.0
2024-05-24,33.943690591768075,34.33428913323249,25.673387369894563,0.0,0.0,0.0,6.048632905104875,0.0
2024-06-26,30.10171391958994,30.44810187409899,22.767499599551495,11.318676918148327,0.0,0.0,5.364007688611245,0.0
2024-06-28,30.104512873903815,30.446882633243906,22.766587914948143,11.318223681576102,0.0,0.0,5.363792896328034,0.0
2024-07-10,30.112476484009125,30.43469559300324,22.757475083056477,11.33370692070608,0.0,0.0,5.361645919225073,0.0
2024-07-11,30.096465596605693,30.43469559300324,22.757475083056477,11.349717808109515,0.0,0.0,5.361645919225073,0.0
2024-07-12,30.123471613535852,30.43165035720718,22.755198014848613,11.358587981028997,0.0,0.0,5.3310920333793606,0.0
2024-07-15,30.12766638652099,30.429823508224274,22.75383199263617,11.357906111177812,0.0,0.0,5.330772001440749,0.0
2024-08-22,30.131668467603152,30.429823508224274,22.75383199263617,11.357906111177812,0.0,0.0,5.326769920358586,0.0
2024-08-29,30.145646606914212,30.42373559539053,22.749279769526247,11.355633802816902,0.0,0.0,5.325704225352112,0.0
2024-09-03,30.168,30.414,22.742,11.352,0.0,0.0,5.324,0.0
2024-09-20,30.17079316827327,30.412783488660455,22.741090356385747,11.351545938162474,0.0,0.0,5.323787048518059,0.0
