date,KINGSTON SECURITIES LTD,SILVERBRICKS SECURITIES CO LTD,CMB INTERNATIONAL SECURITIES LTD,SHANGHAI COMMERCIAL BANK LTD,BANK OF CHINA (HONG KONG) LTD,RUISEN PORT SECURITIES LTD,CMB WING LUNG BANK LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CEPA ALLIANCE SECURITIES LTD
2024-03-01,0.0,0.0,0.0,0.0,40.42790061997637,0.0,0.0,45.858512053680634,13.713587326343,0.0
2024-03-04,0.0,0.0,0.0,0.0,23.62534975880771,0.0,40.9518803860745,27.139653529564622,8.283116325553161,0.0
2024-03-05,0.0,0.0,0.0,0.0,23.624634294941284,0.0,40.94953831687777,27.137379951623213,8.288447436557728,0.0
2024-03-06,0.0,0.0,0.0,0.0,23.637334200062295,0.0,40.971551578326846,27.098211160693804,8.292903060917055,0.0
2024-03-08,0.0,0.0,0.0,0.0,23.63977805505438,0.0,40.97371981906765,27.0927416648678,8.293760461010178,0.0
2024-03-11,0.0,0.0,0.0,0.0,23.632448005623477,0.0,40.96101498778953,27.10914676046331,8.297390246123681,0.0
2024-03-12,0.0,0.0,0.0,0.0,23.911910942862225,0.0,40.80559764158794,26.995990669121518,8.28650074642832,0.0
2024-03-13,0.0,0.0,0.0,0.0,23.897897136169295,0.0,40.80979963870099,26.984353968560427,8.307949256569293,0.0
2024-03-14,0.0,0.0,0.0,0.0,23.89616834100594,0.0,40.816755758915896,26.97938756871871,8.307688331359453,0.0
2024-03-18,0.0,0.0,0.0,0.0,23.89779885396485,0.0,40.81576821534743,26.98222474910447,8.304208181583245,0.0
2024-03-19,0.0,0.0,0.0,0.0,23.926484278631015,0.0,40.80148726136325,26.97072582253207,8.301302637473661,0.0
2024-03-20,0.0,0.0,0.0,0.0,23.919010891494956,0.0,40.79225196811589,26.97696727898539,8.31176986140376,0.0
2024-03-21,0.0,0.0,0.0,0.0,23.932044797096335,0.0,40.77429476563886,26.982120280254335,8.311540157010473,0.0
2024-03-22,0.0,0.0,0.0,0.0,23.95650471147053,0.0,40.76338926837149,26.970788868572637,8.309317151585343,0.0
2024-03-25,0.0,0.0,0.0,0.0,23.94141066600119,0.0,40.71690214096427,27.03046773520949,8.311219457825048,0.0
2024-03-26,0.0,0.0,0.0,0.0,23.95187249994718,0.0,40.71020008112535,27.028075999612515,8.30985141931495,0.0
2024-03-27,0.0,0.0,0.0,0.0,23.960253269745284,0.0,40.72444459646816,27.01489252005177,8.300409613734784,0.0
2024-04-02,0.0,0.0,0.0,0.0,23.959760120940583,0.0,40.723606407866875,27.01433650080584,8.3022969703867,0.0
2024-04-03,0.0,0.0,0.0,0.0,23.96688809442649,0.0,40.73572158703647,27.024432011333943,8.272958307203098,0.0
2024-04-05,0.0,0.0,0.0,0.0,24.06390490673946,0.0,40.791990102732996,26.82879442084133,8.315310569686222,0.0
2024-04-08,0.0,0.0,0.0,0.0,24.09028473844469,0.0,40.78778559287892,26.82396768581073,8.297961982865655,0.0
2024-04-10,0.0,0.0,0.0,0.0,24.129385398393293,0.0,40.76677603792238,26.810150813552134,8.293687750132197,0.0
2024-04-11,0.0,0.0,0.0,0.0,24.13563776621146,0.0,40.76341651750873,26.80794143479559,8.29300428148422,0.0
2024-04-12,0.0,0.0,31.24442355601001,0.0,22.35807648787167,0.0,13.891658926152786,24.83114049457805,7.67470053538748,0.0
2024-04-15,0.0,0.0,31.228347731922256,0.0,22.365629080005636,0.0,13.907378889892955,24.827892535778695,7.6707517624004575,0.0
2024-04-16,0.0,0.0,31.239658623641688,0.0,22.354666768304927,0.0,13.923854014207537,24.836885185870354,7.644935407975492,0.0
2024-04-18,0.0,0.0,31.271253408014253,0.0,22.38109204034828,0.0,13.937936151612238,24.760867632864,7.6488507671612265,0.0
