date,ABN AMRO CLEARING HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD
2024-03-05,96.52173913043478,0.0,0.0,0.0,0.0,3.4782608695652173
2024-04-09,95.94202898550725,0.0,0.0,0.0,0.0,4.057971014492753
2024-05-07,67.13995943204868,30.02028397565923,0.0,0.0,0.0,2.839756592292089
2024-05-13,64.05109489051095,27.00729927007299,0.0,6.386861313868613,0.0,2.5547445255474455
2024-05-14,61.53846153846154,24.74916387959866,5.016722408026756,2.508361204013378,3.8461538461538463,2.341137123745819
2024-05-20,61.87290969899666,24.74916387959866,4.682274247491638,2.508361204013378,3.8461538461538463,2.341137123745819
2024-05-21,63.37792642140469,24.74916387959866,4.682274247491638,2.508361204013378,2.341137123745819,2.341137123745819
2024-05-24,68.98016997167139,20.96317280453258,3.9660056657223794,2.1246458923512748,1.9830028328611897,1.9830028328611897
2024-05-28,68.71428571428572,21.142857142857142,4.0,2.142857142857143,2.0,2.0
2024-07-10,68.53448275862068,21.26436781609195,4.022988505747127,2.1551724137931036,2.0114942528735633,2.0114942528735633
2024-07-15,68.71428571428572,21.142857142857142,4.0,2.142857142857143,2.0,2.0
2024-07-26,68.53448275862068,21.26436781609195,4.022988505747127,2.1551724137931036,2.0114942528735633,2.0114942528735633
2024-08-05,63.25503355704698,24.832214765100673,4.697986577181208,2.5167785234899327,2.348993288590604,2.348993288590604
2024-08-06,50.67567567567568,33.33333333333333,6.306306306306306,3.3783783783783785,3.153153153153153,3.153153153153153
2024-08-07,36.337209302325576,43.02325581395349,8.13953488372093,4.3604651162790695,4.069767441860465,4.069767441860465
2024-08-08,0.45454545454545453,67.27272727272727,12.727272727272727,6.8181818181818175,6.363636363636363,6.363636363636363
2024-08-09,0.45454545454545453,67.27272727272727,12.727272727272727,6.8181818181818175,6.363636363636363,6.363636363636363
2024-08-15,40.97035040431267,39.892183288409704,7.547169811320755,4.0431266846361185,3.7735849056603774,3.7735849056603774
2024-08-16,40.97035040431267,39.892183288409704,7.547169811320755,4.0431266846361185,3.7735849056603774,3.7735849056603774
2024-08-19,31.347962382445143,46.39498432601881,8.77742946708464,4.702194357366771,4.38871473354232,4.38871473354232
2024-08-27,53.503184713375795,31.422505307855626,5.9447983014862,3.1847133757961785,2.9723991507431,2.9723991507431
2024-08-29,71.74193548387096,19.096774193548388,3.612903225806452,1.935483870967742,1.806451612903226,1.806451612903226
2024-08-30,63.117283950617285,25.925925925925924,4.320987654320987,2.314814814814815,2.1604938271604937,2.1604938271604937
2024-09-03,64.03743315508021,26.47058823529412,3.7433155080213902,2.0053475935828877,1.8716577540106951,1.8716577540106951
2024-09-04,45.766129032258064,39.91935483870967,5.64516129032258,3.024193548387097,2.82258064516129,2.82258064516129
2024-09-05,46.57258064516129,39.91935483870967,5.64516129032258,3.024193548387097,2.82258064516129,2.0161290322580645
2024-09-10,46.666666666666664,40.0,5.656565656565657,3.0303030303030303,2.6262626262626263,2.0202020202020203
2024-09-12,46.45030425963489,40.16227180527384,5.679513184584178,3.0425963488843815,2.636916835699797,2.028397565922921
2024-09-20,68.30732292917166,23.769507803121247,3.361344537815126,1.800720288115246,1.56062424969988,1.2004801920768309
