date,THE HONGKONG AND SHANGHAI BANKING,CMB WING LUNG BANK LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,UOB KAY HIAN (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG BANK LTD
2024-03-01,6.895552117645017,0.0,1.6657227454991244,1.4699658307226848,0.0,0.0,52.90521718335385,0.0,1.416161802758047,0.0
2024-03-04,6.91701474130382,2.350547874041722,1.6656431401994582,1.4795184666825842,0.0,0.8149147559663995,52.90513757805419,0.0,1.4172762769533684,0.0
2024-03-05,6.916935136004154,0.0,1.6624589282128253,1.4821454415715565,0.5014057615295673,0.8138002817710779,0.0,0.7046770981732621,1.4149677232630593,0.0
2024-03-06,6.917094346603486,0.0,1.663016165310486,1.4767322811942802,0.0,0.8135614658720804,52.90345973715313,0.0,1.4140920649667352,0.0
2024-03-07,6.918995082343607,0.0,0.0,1.4663039869380567,0.0,0.815551598363726,52.90361894775245,0.0,1.4081216674917982,0.0
2024-03-08,6.919393108841936,0.0,1.6669964302937774,1.4644730650457427,0.0,0.0,0.0,0.0,1.4093157469867854,0.0
2024-03-11,6.916044989543291,0.0,1.667633272691104,1.4803941249789083,0.0,0.8138002817710779,52.902106447058806,0.0,1.4059723244008206,0.0
2024-03-12,6.916512750284127,0.0,1.6674740620917723,0.0,0.0,0.0,0.0,0.0,1.4048578502054991,0.0
2024-03-13,6.9156370919878025,0.0,1.6665984037954482,1.4811901779755665,0.0,0.0,0.0,0.0,1.4015940329192003,0.0
2024-03-14,6.9197815030990055,0.0,1.6947297226178568,1.4801553090799109,0.0,0.8176213361550376,0.0,0.0,1.388379553174673,0.0
2024-03-15,6.922249267388645,0.0,1.6960830127121758,1.4797572825815817,0.0,0.8216016011383289,52.90369855305212,0.0,1.384387028975233,0.0
2024-03-18,6.918428213004686,0.0,1.357044041435415,1.4987033439020487,0.0,0.8255818661216205,0.0,0.0,1.3844666342748988,0.0
2024-03-19,6.918123324706967,0.0,1.3572032520347466,1.4995790021983728,0.0,0.8295621311049118,52.9024871196018,0.0,1.3839890024769037,0.0
2024-03-20,6.886572560237412,0.0,1.3834252377446705,1.5102461123535937,0.0,0.83035818410157,52.90224830370281,0.0,1.3845462395745645,0.0
2024-03-21,6.8863337443384145,0.0,0.0,1.4970316326090662,0.0,0.8343384490848615,52.90169106660515,0.0,1.3855015031705544,0.0
2024-03-22,6.886572560237412,0.0,1.3825495794483464,1.4955191319154155,0.0,0.8366470027751705,0.0,0.0,1.3848646607732278,0.0
2024-03-25,6.8837544530239425,2.3509459005400513,1.3819127370510196,1.4936086047234356,0.0,0.8408980053826254,52.901611461305485,0.0,1.385009223997421,0.0
2024-03-26,6.884332467104816,2.3513439270383802,1.382151552950017,1.4933697888244382,0.0,0.8459131392615724,52.901850277204474,0.0,1.3873177776877301,0.0
2024-03-27,6.882819966411165,0.0,1.382231158249683,1.492096104029785,0.0,0.0,52.9008950136085,0.0,1.3893875154790414,4.994718542610756
2024-03-28,6.88357621675799,0.0,0.0,0.0,0.0,0.8477440611538866,52.90288514610013,0.0,1.3894671207787073,0.0
2024-04-02,6.87288259803798,0.0,1.3832660271453388,1.4906632086358,0.0,0.8520427473358412,52.903681199096795,0.0,1.3907408055733606,0.0
2024-04-03,6.8955223452629415,0.0,1.4721418415890501,1.4850908376591923,0.0,0.8572966971137859,52.903203567298796,0.0,1.3902631737753657,0.0
2024-04-05,6.896636819458263,0.0,1.4712661832927263,1.4792796507835868,0.0,0.8583315660094416,52.90296475139981,0.0,1.3925594682495261,0.0
2024-04-08,6.8940098445692914,0.0,1.4734155263837034,1.4706822784196774,0.0,0.8624710415920648,52.9034423831978,0.0,1.3960621014348225,0.0
2024-04-09,6.893908984654614,0.0,1.4747688164780226,1.476334254695951,0.0,0.863267094588723,52.907104226982426,0.718130393816787,1.3984502604247975,0.0
2024-04-10,6.891583873061975,0.0,1.4746560953736958,1.4725132003119912,0.0,0.0,0.0,0.0,1.397335786229476,0.0
2024-04-11,6.8912902887168075,0.0,1.475929780168349,1.472672410911323,0.0,0.8666105171746877,0.0,0.0,1.3984502604247975,0.0
2024-04-12,6.891631317820576,0.0,1.4793859238586404,1.4778467553896018,0.0,0.0,0.0,0.0,1.397654207428139,0.0
2024-04-15,6.898556978891503,0.0,1.4799431609563012,1.4777671500899359,0.5018037880278965,0.8672473595720144,52.9064673845851,0.0,1.4005996035157748,0.0
2024-04-16,6.898636584191169,2.3521399800350387,1.480580003353628,1.4651099074430693,0.0,0.867406570171346,52.90606935808677,0.7381909293325756,1.4031469731050814,0.0
