date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,DBS BANK (HONG KONG) LTD,CMB INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,CENTRAL CHINA INTERNATIONAL SECURITIES,FUTU SECURITIES INTERNATIONAL
2024-03-01,50.44951814423292,36.64874618561609,6.407227331163022,0.0,0.0,0.0,3.582268262102827,2.2659633687641674,0.6462767081209744
2024-03-04,50.416954937768075,36.67993718510571,6.420514254647053,0.0,0.0,0.0,3.57525104736734,2.265418144002509,0.6419244311093191
2024-03-05,50.46268319601346,36.74350705332958,6.4534373280503585,0.0,0.0,0.0,3.4325098071341675,2.267787504512976,0.6400751109594579
2024-03-06,50.33106283324865,36.68979506833617,6.645358588230405,0.0,0.0,0.0,3.428942744350031,2.2654308206681506,0.6394099451665998
2024-03-07,47.6667433095012,34.793551937912376,6.296960987430153,0.0,0.0,5.0979386055543365,3.388396367992036,2.1502817264733665,0.6061270651365284
2024-03-08,47.632193676227566,34.82465566414224,6.293950429402768,0.0,0.0,5.101407558057455,3.3910999731790605,2.150418474791078,0.6062742241998261
2024-03-11,47.624327387947304,34.84412612561784,6.291071506040121,0.0,0.0,5.099074117150031,3.3859691063447386,2.149434849315157,0.6059969075848006
2024-03-12,47.60561877891404,34.86466922074952,6.193303061266178,0.0,0.0,5.100663587586174,3.479719926958238,2.1501048656885047,0.6059205588373471
2024-03-13,47.69080366754413,34.8812244906814,6.196220342196882,0.0,0.0,5.099749024996174,3.474193922499538,2.051602581651663,0.606205970430213
2024-03-14,47.71610923549748,34.882172606005895,6.223710117972281,0.0,0.0,5.112411771756915,3.449034274667593,2.004820414573371,0.6117415795264685
2024-03-15,47.79561200358091,34.80912621117991,6.224248153297724,0.0,0.0,5.10824817863656,3.447122233102309,2.0037090020276187,0.6119342181749687
2024-03-18,47.714258365932935,34.76668734552237,6.282800242224648,0.0,0.0,5.095463575464695,3.528974611660417,2.000777058693063,0.611038800501869
2024-03-19,47.762132368848995,34.792776682801936,6.28337350402416,0.0,0.0,5.099540399412765,3.446942959215048,2.0023778582487513,0.6128562274483472
2024-03-20,47.719970757573265,34.84296357362952,6.306732284151388,0.0,0.0,5.088783880180441,3.4252269506460835,2.0011780528375827,0.6151445009817225
2024-03-21,47.71713836468579,34.88638822796932,6.298822542370708,0.0,0.0,5.083858347260678,3.3979933889766905,2.00108965050006,0.6147094782367576
2024-03-22,47.71162924908418,34.90591631964129,6.297586923801543,0.0,0.0,5.083610645058004,3.3980565579330246,1.99634855417869,0.6068517503032717
2024-03-25,47.76152275107294,34.89358519100654,6.274688048398612,0.0,0.0,5.079787450498488,3.389174024704507,1.9948471746545418,0.6063953596643765
2024-03-26,47.72562418006634,34.911944442457155,6.294021860576464,0.0,0.0,5.082981609927347,3.381488454745481,2.0008772101453465,0.6030622420818633
2024-03-27,47.82169742999034,34.79036470481589,6.378143657651503,0.0,0.0,5.034772876184109,3.3690992571856824,2.0023031321861096,0.6036189419863637
2024-03-28,47.8093166311111,34.76568987105747,6.3818349667957905,0.0,0.0,5.037486977028454,3.3994374162424448,2.002644728698321,0.6035894090664231
2024-04-02,47.844969015456684,34.76444993994258,6.347523347909158,0.0,0.0,5.033847732580972,3.398590754472065,2.002145951246693,0.6084732583918521
2024-04-03,47.85486816199413,34.778118593187024,6.318033488207647,0.0,0.0,5.033467641929862,3.3984666055302966,2.0019947752480034,0.6150507339030291
2024-04-05,47.83514895886504,34.7824785122632,6.324907822636175,0.0,0.0,5.0275701560335335,3.4210827986385453,2.0002965733129794,0.6085151782505307
2024-04-08,47.90336867363643,34.80107900974898,6.331884543078226,0.0,0.0,5.032632851641002,3.313336231643451,2.0031039488574396,0.6145947413944715
